year	month	superior_evaporation	superior_precipitation	superior_runoff	erie_evaporation	erie_precipitation	erie_runoff	ontario_evaporation	ontario_precipitation	ontario_runoff	michigan-huron_evaporation	michigan-huron_precipitation	michigan-huron_runoff	superior_cnbs	erie_cnbs	ontario_cnbs	michigan-huron_cnbs
2025	3	2318.695	1337.938	1157.799	425.85	723.108	1065.041	524.124	555.579	1308.217	64.601	66.085	69.964	142.683	1332.587	1342.134	68.028
2025	4	1828.559	1626.388	1581.064	674.721	814.289	1079.113	457.844	570.571	1339.254	54.85	72.994	82.132	1290.336	1204.399	1430.361	97.273
2025	5	1198.351	2041.237	1565.556	1043.863	890.08	693.444	455.594	600.923	923.594	49.633	85.996	72.263	2344.043	463.407	1009.832	104.005
2025	6	803.486	2421.418	1310.575	1193.264	951.106	485.762	488.69	617.726	612.468	42.591	93.445	53.582	3003.984	236.309	773.707	107.04
2025	7	653.245	2339.875	1149.615	1142.071	879.994	356.262	477.106	545.104	471.825	40.171	88.906	44.62	2954.591	95.296	565.337	97.861
2025	8	704.433	2325.254	1170.213	1144.264	838.807	345.534	477.73	544.983	481.761	40.359	87.781	45.133	2934.146	41.13	580.646	98.01
2025	9	1313.995	2668.976	1495.863	1285.284	876.724	479.042	508.586	604.335	670.016	52.737	91.465	58.515	2835.641	73.956	756.334	97.07
2025	10	2115.199	2012.118	1495.548	1136.017	808.366	730.349	520.625	580.27	990.613	68.806	80.568	70.492	1358.506	397.469	1058.355	80.772
2025	11	2679.618	1522.469	1342.438	804.104	769.492	997.417	576.518	593.782	1287.625	76.213	66.294	73.735	163.719	1000.971	1307.089	62.26
2025	12	2681.547	1152.987	1042.366	490.974	609.709	811.182	581.59	481.215	1122.953	74.227	49.747	61.029	-421.489	895.712	1046.879	36.526
