current_year	current_month	lake	component	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10
2025	6	erie	evaporation	1014.977	1071.514	1081.664	1288.905	1421.937	1122.024	787.843	438.505	386.388	471.758
2025	6	erie	nbs	410.662	161.543	109.492	161.358	89.338	641.098	742.313	734.321	861.204	920.501
2025	6	erie	precipitation	985.236	893.601	894.731	1005.968	920.452	911.404	694.144	513.2	525.689	571.89
2025	6	erie	runoff	441.652	330.935	308.018	395.518	553.38	811.34	774.581	652.15	705.28	793.714
2025	6	michigan-huron	evaporation	1923.41	1660.321	1472.775	2032.997	2771.554	3692.963	4038.453	3202.71	2686.963	2585.884
2025	6	michigan-huron	nbs	4421.899	4440.051	4832.836	5142.763	3995.249	3086.615	1804.097	1641.383	1687.0	2283.566
2025	6	michigan-huron	precipitation	3858.089	4032.894	4297.268	4651.994	3921.177	3293.453	2637.777	2156.216	1913.703	2008.749
2025	6	michigan-huron	runoff	2385.004	1974.315	2072.484	2361.177	2808.505	3408.871	3178.087	2646.262	2406.729	2859.141
2025	6	ontario	evaporation	385.617	403.024	440.546	459.435	483.095	555.146	643.263	596.706	475.123	456.039
2025	6	ontario	nbs	765.229	500.841	480.867	773.535	976.618	1256.587	1114.017	886.651	975.188	1114.807
2025	6	ontario	precipitation	597.984	528.601	550.928	663.59	618.743	644.976	536.352	448.099	460.499	457.085
2025	6	ontario	runoff	534.884	382.522	381.711	544.799	833.546	1149.495	1208.508	1028.338	1000.411	1135.768
2025	6	superior	evaporation	740.723	698.268	569.467	1042.351	1989.176	2911.115	3116.736	2815.551	2308.271	2107.485
2025	6	superior	nbs	3286.533	3126.341	3601.075	3785.422	2006.99	703.788	-131.767	-305.256	-90.113	216.944
2025	6	superior	precipitation	2669.449	2521.006	2931.499	3393.103	2430.137	1977.527	1591.941	1440.855	1205.967	1221.699
2025	6	superior	runoff	1526.644	1230.965	1200.213	1427.156	1612.519	1647.743	1353.628	1166.001	1043.865	1106.338
