year	month	superior_evaporation	superior_precipitation	superior_runoff	erie_evaporation	erie_precipitation	erie_runoff	ontario_evaporation	ontario_precipitation	ontario_runoff	michigan-huron_evaporation	michigan-huron_precipitation	michigan-huron_runoff	superior_cnbs	erie_cnbs	ontario_cnbs	michigan-huron_cnbs
2025	3	75.647	43.65	37.773	44.459	75.493	111.191	73.85	78.282	184.33	64.601	66.085	69.964	4.655	139.123	189.109	68.028
2025	4	57.732	51.349	49.918	68.169	82.27	109.026	62.43	77.801	182.616	54.85	72.994	82.132	40.739	121.684	195.039	97.273
2025	5	39.096	66.595	51.076	108.98	92.925	72.396	64.194	84.671	130.136	49.633	85.996	72.263	76.474	48.38	142.287	104.005
2025	6	25.368	76.45	41.378	120.559	96.093	49.078	66.636	84.231	83.514	42.591	93.445	53.582	94.843	23.875	105.5	107.04
2025	7	21.312	76.338	37.506	119.233	91.872	37.194	67.225	76.806	66.481	40.171	88.906	44.62	96.393	9.949	79.657	97.861
2025	8	22.982	75.861	38.178	119.462	87.572	36.074	67.313	76.789	67.881	40.359	87.781	45.133	95.726	4.294	81.814	98.01
2025	9	41.486	84.266	47.228	129.856	88.578	48.399	69.349	82.405	91.361	52.737	91.465	58.515	89.528	7.472	103.131	97.07
2025	10	69.008	65.645	48.792	118.601	84.394	76.249	73.357	81.761	139.579	68.806	80.568	70.492	44.321	41.496	149.124	80.772
2025	11	84.602	48.068	42.384	81.241	77.744	100.772	78.612	80.966	175.576	76.213	66.294	73.735	5.169	101.131	178.23	62.26
2025	12	87.485	37.616	34.007	51.258	63.654	84.688	81.947	67.804	158.226	74.227	49.747	61.029	-13.751	93.513	147.507	36.526
