# NAME: LAKE ERIE MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake St. Clair through the Detroit River; the outflow  
# from Lake Erie through the Niagara River and diversions. The residual net basin supplies are coordinated 
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,-150.0,1770.0,2420.0,1410.0,650.0,400.0,90.0,-100.0,-1110.0,-950.0,-200.0,-440.0 
1901,250.0,-940.0,1700.0,1490.0,1000.0,680.0,-250.0,-530.0,-1150.0,-1150.0,-620.0,-50.0 
1902,-130.0,-570.0,1930.0,1110.0,1280.0,1360.0,2010.0,-890.0,300.0,-500.0,-470.0,180.0 
1903,460.0,1800.0,3030.0,2480.0,400.0,640.0,260.0,-130.0,-800.0,-910.0,-650.0,-1150.0 
1904,940.0,530.0,4270.0,2430.0,1350.0,520.0,310.0,-460.0,-570.0,-920.0,-980.0,-630.0 
1905,820.0,-310.0,1630.0,1670.0,1830.0,1560.0,80.0,-510.0,-460.0,-1430.0,-60.0,-30.0 
1906,960.0,220.0,880.0,1580.0,410.0,660.0,30.0,-70.0,-760.0,-140.0,-100.0,1510.0 
1907,2560.0,-80.0,1890.0,550.0,1290.0,1390.0,250.0,-940.0,160.0,-190.0,-520.0,990.0 
1908,1210.0,1720.0,2930.0,1620.0,1660.0,0.0,-110.0,-600.0,-1100.0,-960.0,-1990.0,-110.0 
1909,380.0,2690.0,1470.0,1790.0,2680.0,1220.0,-330.0,-390.0,-1190.0,-1290.0,200.0,-130.0 
1910,70.0,1040.0,2150.0,1910.0,1110.0,180.0,240.0,-390.0,-550.0,-280.0,-330.0,-420.0 
1911,990.0,750.0,1020.0,2020.0,540.0,360.0,-610.0,-50.0,50.0,-370.0,-440.0,1460.0 
1912,730.0,240.0,2260.0,3080.0,1110.0,530.0,50.0,290.0,-140.0,-390.0,-1140.0,-150.0 
1913,3400.0,1030.0,5030.0,2470.0,740.0,260.0,130.0,-770.0,-1020.0,-810.0,890.0,-270.0 
1914,170.0,-40.0,1590.0,2150.0,2640.0,190.0,-10.0,-260.0,-830.0,-980.0,-710.0,-700.0 
1915,760.0,2000.0,270.0,340.0,1010.0,570.0,1070.0,730.0,400.0,-840.0,-720.0,680.0 
1916,2330.0,690.0,2560.0,2120.0,1940.0,1620.0,-130.0,-1110.0,-1140.0,-1020.0,-580.0,60.0 
1917,910.0,-10.0,1830.0,2370.0,2010.0,2080.0,1060.0,-650.0,-520.0,190.0,210.0,-90.0 
1918,-780.0,1270.0,2160.0,-790.0,910.0,80.0,-120.0,-550.0,-650.0,-160.0,-1100.0,1360.0 
1919,-350.0,-160.0,2620.0,1490.0,2490.0,210.0,-410.0,-360.0,-800.0,-230.0,-910.0,-1110.0 
1920,360.0,-900.0,1590.0,2690.0,860.0,990.0,230.0,-210.0,-870.0,-740.0,220.0,350.0 
1921,630.0,930.0,2490.0,2440.0,690.0,370.0,-470.0,-470.0,-740.0,-600.0,580.0,250.0 
1922,-330.0,670.0,2230.0,2920.0,1520.0,430.0,-90.0,-590.0,-540.0,-1210.0,-1130.0,110.0 
1923,470.0,-130.0,2130.0,1240.0,1680.0,330.0,-100.0,-1040.0,0.0,-1430.0,-460.0,2300.0 
1924,690.0,670.0,1700.0,2310.0,1620.0,1650.0,110.0,-690.0,-150.0,-740.0,-1020.0,320.0 
1925,-280.0,1650.0,2160.0,850.0,160.0,410.0,-20.0,-210.0,220.0,-860.0,570.0,-610.0 
1926,590.0,440.0,1520.0,3090.0,540.0,1010.0,120.0,460.0,1820.0,650.0,750.0,30.0 
1927,350.0,1310.0,2680.0,1040.0,1950.0,650.0,600.0,-800.0,-470.0,-660.0,1440.0,1690.0 
1928,820.0,1020.0,970.0,1560.0,600.0,2070.0,680.0,-520.0,-1260.0,-500.0,200.0,320.0 
1929,990.0,960.0,2470.0,3520.0,1410.0,-10.0,90.0,-1100.0,-850.0,-610.0,50.0,1000.0 
1930,3390.0,1470.0,1670.0,1380.0,180.0,610.0,-530.0,-890.0,-820.0,-990.0,-780.0,-50.0 
1931,360.0,440.0,1310.0,1370.0,900.0,720.0,170.0,-530.0,-400.0,-700.0,-170.0,1030.0 
1932,2570.0,1090.0,720.0,1460.0,1620.0,260.0,270.0,-290.0,-1000.0,-570.0,160.0,720.0 
1933,1200.0,160.0,2150.0,2110.0,2040.0,-30.0,-400.0,-680.0,-540.0,-950.0,-810.0,470.0 
1934,150.0,-230.0,730.0,1790.0,320.0,280.0,-540.0,-440.0,-60.0,-1530.0,-320.0,-300.0 
1935,390.0,-450.0,1740.0,440.0,1150.0,680.0,200.0,-560.0,-1080.0,-560.0,-570.0,350.0 
1936,-1260.0,390.0,3050.0,1350.0,480.0,60.0,-560.0,-820.0,-430.0,-490.0,-900.0,170.0 
1937,3330.0,1680.0,330.0,3530.0,1010.0,2490.0,820.0,120.0,-1370.0,-570.0,-710.0,570.0 
1938,340.0,3050.0,2210.0,1570.0,1050.0,660.0,500.0,-410.0,-410.0,-1060.0,-540.0,-450.0 
1939,660.0,1100.0,1980.0,2400.0,430.0,830.0,110.0,-680.0,-1090.0,-850.0,-800.0,-630.0 
1940,-190.0,830.0,1250.0,2990.0,1690.0,1270.0,220.0,130.0,-440.0,-770.0,-550.0,1650.0 
1941,530.0,110.0,880.0,1220.0,700.0,520.0,-10.0,-760.0,-1220.0,-390.0,-310.0,50.0 
1942,-170.0,1590.0,2920.0,2030.0,1550.0,620.0,490.0,-390.0,-620.0,-20.0,500.0,1200.0 
1943,240.0,1300.0,1630.0,1940.0,3800.0,1110.0,820.0,-650.0,-880.0,-570.0,-470.0,-640.0 
1944,-230.0,980.0,1530.0,3290.0,1650.0,700.0,-800.0,-580.0,-300.0,-1150.0,-450.0,-180.0 
1945,-320.0,1080.0,3220.0,1740.0,2200.0,1860.0,240.0,-730.0,730.0,250.0,-70.0,-130.0 
1946,420.0,10.0,1970.0,130.0,1490.0,1890.0,-190.0,-1030.0,-710.0,-440.0,-510.0,80.0 
1947,1200.0,-180.0,1680.0,4060.0,2720.0,2070.0,-20.0,310.0,-1210.0,-160.0,-1170.0,890.0 
1948,-500.0,1200.0,3020.0,1800.0,1890.0,870.0,-220.0,-430.0,-1070.0,-670.0,150.0,210.0 
1949,1510.0,1900.0,1340.0,1220.0,1130.0,630.0,-30.0,-800.0,-760.0,-480.0,-340.0,960.0 
1950,3820.0,1990.0,2970.0,2640.0,800.0,680.0,270.0,-340.0,-400.0,-140.0,690.0,1180.0 
1951,1760.0,2400.0,2490.0,2110.0,1310.0,720.0,-210.0,-830.0,-1110.0,-660.0,300.0,640.0 
1952,2820.0,1230.0,2000.0,1790.0,1110.0,30.0,-620.0,-410.0,-1040.0,-2080.0,-200.0,510.0 
1953,880.0,410.0,1560.0,940.0,1690.0,490.0,-450.0,-510.0,-1440.0,-1170.0,-270.0,-440.0 
1954,510.0,1760.0,2130.0,3000.0,230.0,310.0,-510.0,-440.0,-840.0,1670.0,-80.0,530.0 
1955,850.0,1300.0,2500.0,1810.0,310.0,10.0,-200.0,-210.0,-1030.0,-90.0,-130.0,200.0 
1956,-970.0,1280.0,2950.0,2280.0,2950.0,760.0,410.0,660.0,-1190.0,-620.0,-1230.0,850.0 
1957,640.0,1510.0,990.0,3620.0,1320.0,1500.0,770.0,-820.0,-310.0,-790.0,-170.0,1670.0 
1958,290.0,250.0,950.0,1470.0,620.0,1140.0,880.0,170.0,-110.0,-840.0,-320.0,-210.0 
1959,1760.0,2420.0,2220.0,2500.0,1520.0,220.0,-200.0,-80.0,-1090.0,-50.0,20.0,1570.0 
1960,1190.0,1390.0,1010.0,2010.0,1580.0,1290.0,150.0,-60.0,-1060.0,-1540.0,-470.0,-820.0 
1961,-90.0,1540.0,2020.0,3890.0,1270.0,1130.0,570.0,240.0,-500.0,-1170.0,-370.0,-200.0 
1962,570.0,900.0,2030.0,890.0,520.0,680.0,-260.0,-190.0,-650.0,-510.0,260.0,50.0 
1963,-140.0,40.0,3520.0,1530.0,740.0,210.0,-80.0,-340.0,-940.0,-760.0,-400.0,-490.0 
1964,460.0,660.0,2420.0,2500.0,820.0,660.0,-110.0,110.0,-940.0,-1120.0,-570.0,500.0 
1965,1070.0,1950.0,2080.0,1760.0,970.0,390.0,-180.0,-120.0,-260.0,-440.0,-10.0,1170.0 
1966,-10.0,1330.0,1760.0,1570.0,920.0,900.0,60.0,50.0,-1040.0,-1100.0,1010.0,2040.0 
1967,720.0,540.0,1680.0,1840.0,1600.0,930.0,100.0,-450.0,-430.0,-20.0,420.0,1580.0 
1968,1590.0,1190.0,1640.0,1060.0,2020.0,1260.0,370.0,-50.0,-500.0,-620.0,690.0,1140.0 
1969,1680.0,1020.0,790.0,3220.0,2540.0,1500.0,1650.0,-580.0,-670.0,-1020.0,300.0,470.0 
1970,30.0,1240.0,1570.0,2200.0,1360.0,1000.0,780.0,-720.0,60.0,-10.0,210.0,750.0 
1971,-120.0,2390.0,1570.0,770.0,1120.0,750.0,-260.0,10.0,-120.0,-900.0,-620.0,1390.0 
1972,20.0,990.0,2360.0,2530.0,1540.0,1580.0,650.0,200.0,580.0,-390.0,1510.0,1860.0 
1973,1210.0,510.0,3800.0,1760.0,1460.0,1940.0,340.0,-160.0,-920.0,-440.0,100.0,1150.0 
1974,1600.0,1610.0,2780.0,1870.0,2050.0,920.0,-240.0,-340.0,-490.0,-1200.0,1080.0,1190.0 
1975,1650.0,2090.0,1860.0,1160.0,1230.0,1410.0,-350.0,1530.0,-370.0,-330.0,80.0,1550.0 
1976,1180.0,3710.0,2950.0,1450.0,1250.0,1030.0,410.0,-530.0,-100.0,-460.0,-1180.0,220.0 
1977,250.0,1060.0,2850.0,2750.0,920.0,920.0,690.0,990.0,1870.0,-780.0,460.0,2390.0 
1978,760.0,480.0,3330.0,2460.0,1760.0,900.0,-70.0,-190.0,-310.0,-210.0,-460.0,650.0 
1979,890.0,1530.0,2640.0,3090.0,1410.0,920.0,370.0,320.0,270.0,-310.0,670.0,1960.0 
1980,180.0,530.0,2780.0,2220.0,1150.0,1360.0,1030.0,1020.0,-260.0,-1030.0,-160.0,570.0 
1981,-250.0,2680.0,680.0,2070.0,1200.0,2420.0,280.0,150.0,600.0,370.0,60.0,570.0 
1982,1370.0,1540.0,3640.0,1990.0,1240.0,1150.0,110.0,-520.0,-30.0,-740.0,1670.0,1860.0 
1983,470.0,720.0,1350.0,2320.0,2240.0,890.0,790.0,30.0,-950.0,-430.0,1120.0,1520.0 
1984,610.0,2400.0,2370.0,1770.0,2460.0,1080.0,-40.0,70.0,-180.0,-410.0,-360.0,1380.0 
1985,390.0,2800.0,3260.0,1530.0,790.0,590.0,130.0,-230.0,-570.0,-180.0,3200.0,70.0 
1986,1070.0,2350.0,2270.0,1540.0,1660.0,1970.0,800.0,-460.0,840.0,590.0,120.0,1520.0 
1987,450.0,470.0,1170.0,1620.0,730.0,1010.0,450.0,40.0,-90.0,-590.0,-240.0,900.0 
1988,350.0,1140.0,1130.0,1070.0,420.0,-530.0,170.0,-710.0,-810.0,-510.0,510.0,210.0 
1989,680.0,290.0,1070.0,1540.0,2580.0,2090.0,420.0,-610.0,-530.0,-600.0,-310.0,70.0 
1990,1470.0,3380.0,1210.0,1670.0,2020.0,900.0,410.0,560.0,250.0,210.0,-410.0,3210.0 
1991,770.0,1430.0,1880.0,2210.0,1020.0,-140.0,-510.0,-90.0,-1360.0,-70.0,-370.0,430.0 
1992,440.0,1010.0,1610.0,2320.0,860.0,470.0,1860.0,410.0,1070.0,30.0,1740.0,1000.0 
1993,2670.0,530.0,3150.0,2230.0,420.0,1720.0,-220.0,-370.0,-720.0,-700.0,850.0,-20.0 
1994,570.0,1070.0,1800.0,2630.0,370.0,1550.0,260.0,320.0,-670.0,-830.0,-780.0,940.0 
1995,1290.0,580.0,1070.0,1950.0,1140.0,660.0,380.0,-420.0,-1410.0,90.0,180.0,0.0 
1996,1220.0,790.0,1640.0,1850.0,2580.0,2310.0,490.0,-540.0,980.0,-630.0,650.0,1930.0 
1997,810.0,3050.0,2480.0,660.0,3040.0,2130.0,220.0,50.0,-160.0,-610.0,120.0,690.0 
1998,2690.0,1960.0,2220.0,2400.0,760.0,580.0,220.0,90.0,-1100.0,-1010.0,-1140.0,-310.0 
1999,1670.0,640.0,1110.0,2130.0,650.0,450.0,-60.0,-830.0,-950.0,-610.0,-180.0,30.0 
2000,10.0,980.0,930.0,2010.0,1800.0,2240.0,630.0,250.0,-970.0,-60.0,-370.0,220.0 
2001,90.0,1960.0,1090.0,1550.0,1270.0,580.0,-530.0,-370.0,-840.0,410.0,-130.0,1030.0 
2002,1100.0,1180.0,1810.0,2580.0,1940.0,760.0,-150.0,-730.0,-500.0,-1340.0,-520.0,1170.0 
2003,-180.0,410.0,1930.0,1620.0,2610.0,1030.0,960.0,270.0,-490.0,-250.0,50.0,1660.0 
2004,530.0,470.0,2580.0,1230.0,2680.0,1390.0,640.0,220.0,-450.0,-620.0,210.0,1140.0 
2005,3030.0,1720.0,1200.0,2780.0,690.0,100.0,450.0,-330.0,-80.0,-920.0,270.0,780.0 
2006,1780.0,1270.0,1300.0,1410.0,1420.0,870.0,1470.0,220.0,-550.0,1000.0,1030.0,1860.0 
2007,2490.0,250.0,2540.0,1720.0,610.0,180.0,-310.0,1150.0,-780.0,-900.0,-80.0,2060.0 
2008,1350.0,3120.0,3510.0,2100.0,860.0,1410.0,740.0,-680.0,-330.0,-990.0,380.0,2110.0 
