# NAME: LAKE MICHIGAN-HURON MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Superior; the outflow from Lake Michigan-Huron 
# through St. Clair River and diversions. The residual net basin supplies are coordinated
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,-180.0,4770.0,1970.0,6770.0,4920.0,4560.0,7170.0,4460.0,2110.0,2150.0,1290.0,-1620.0 
1901,430.0,640.0,8280.0,6290.0,6510.0,4940.0,5630.0,2160.0,-1930.0,1250.0,-1960.0,1200.0 
1902,-230.0,1220.0,5900.0,5940.0,7130.0,8150.0,7390.0,440.0,1080.0,-1070.0,1960.0,-1010.0 
1903,1490.0,4270.0,7750.0,6350.0,6920.0,4200.0,4240.0,2870.0,4270.0,390.0,-1660.0,180.0 
1904,1590.0,2900.0,8750.0,9380.0,10540.0,5800.0,3990.0,2200.0,1650.0,750.0,-2050.0,-1160.0 
1905,220.0,2110.0,7220.0,5410.0,9260.0,8130.0,5260.0,2230.0,760.0,-1470.0,1090.0,290.0 
1906,4610.0,3710.0,4160.0,7280.0,5830.0,6200.0,3030.0,330.0,630.0,270.0,1980.0,1320.0 
1907,4240.0,1790.0,5350.0,6020.0,7700.0,6410.0,4100.0,1760.0,2040.0,-980.0,-280.0,1140.0 
1908,-210.0,3780.0,5730.0,8450.0,10950.0,5160.0,5420.0,-1270.0,-1050.0,-1830.0,-2940.0,-30.0 
1909,1800.0,3370.0,3460.0,10710.0,9700.0,5770.0,3850.0,960.0,380.0,-2680.0,1640.0,2700.0 
1910,2220.0,1410.0,4530.0,8340.0,5630.0,3760.0,2340.0,2190.0,1690.0,460.0,320.0,-1470.0 
1911,2430.0,2430.0,3210.0,7330.0,8630.0,5150.0,1600.0,1450.0,2200.0,2250.0,2650.0,2640.0 
1912,1560.0,2630.0,2680.0,8400.0,13570.0,4620.0,5030.0,4560.0,3680.0,1070.0,2840.0,1180.0 
1913,1890.0,1650.0,7590.0,11370.0,8550.0,4810.0,3890.0,1170.0,-420.0,510.0,2650.0,-1340.0 
1914,1280.0,2130.0,3790.0,5860.0,6590.0,7160.0,3510.0,2180.0,260.0,-350.0,-1340.0,-1570.0 
1915,2460.0,4000.0,1870.0,3960.0,5530.0,6080.0,4130.0,3240.0,3680.0,-2010.0,2320.0,100.0 
1916,3730.0,2730.0,5440.0,11820.0,9760.0,8840.0,3590.0,-960.0,350.0,1130.0,810.0,3110.0 
1917,1360.0,1340.0,5470.0,8650.0,6800.0,11100.0,6720.0,1350.0,-290.0,-780.0,930.0,-350.0 
1918,2870.0,5420.0,7320.0,6610.0,10580.0,3950.0,3730.0,1760.0,-920.0,1660.0,2240.0,3830.0 
1919,910.0,970.0,7460.0,8570.0,8630.0,2890.0,2980.0,-90.0,910.0,2290.0,820.0,1330.0 
1920,-180.0,1830.0,8590.0,8590.0,4360.0,6630.0,3870.0,2220.0,1700.0,-10.0,-580.0,1720.0 
1921,2120.0,1000.0,7270.0,11020.0,4180.0,3770.0,1330.0,2080.0,1460.0,-40.0,240.0,3550.0 
1922,-10.0,4690.0,6210.0,13120.0,7750.0,5860.0,6200.0,410.0,1130.0,-2450.0,380.0,-590.0 
1923,-40.0,1160.0,5130.0,8990.0,8310.0,6110.0,2970.0,1670.0,2500.0,330.0,-1240.0,1330.0 
1924,-140.0,2650.0,5720.0,6900.0,8290.0,5610.0,4780.0,5190.0,730.0,-1950.0,-580.0,-1850.0 
1925,-210.0,2860.0,5050.0,4070.0,2360.0,5610.0,3440.0,-740.0,-50.0,-930.0,260.0,540.0 
1926,1200.0,2360.0,3980.0,7920.0,7040.0,7880.0,3800.0,2770.0,2260.0,1720.0,4690.0,1770.0 
1927,1400.0,3120.0,6320.0,6440.0,9050.0,5280.0,3990.0,-930.0,1160.0,450.0,2390.0,1620.0 
1928,1260.0,2850.0,5160.0,11820.0,7250.0,8040.0,5030.0,3870.0,1160.0,5820.0,3580.0,2540.0 
1929,3570.0,940.0,8760.0,13920.0,10890.0,6560.0,3470.0,840.0,-1100.0,130.0,-420.0,-640.0 
1930,1880.0,5300.0,4050.0,5860.0,6710.0,6840.0,4210.0,-540.0,-1890.0,-2160.0,-1550.0,-550.0 
1931,-510.0,-510.0,3220.0,3730.0,5710.0,4320.0,1600.0,-1550.0,4750.0,-580.0,4300.0,-1460.0 
1932,5810.0,2100.0,1910.0,5010.0,6660.0,3290.0,2780.0,1460.0,-1510.0,520.0,-460.0,2780.0 
1933,1720.0,1650.0,2470.0,10400.0,9680.0,4600.0,2450.0,-1790.0,-640.0,-270.0,-670.0,1080.0 
1934,2510.0,-1470.0,3960.0,7410.0,4330.0,4910.0,1210.0,-710.0,3940.0,-1420.0,3570.0,1470.0 
1935,1030.0,3190.0,5400.0,5220.0,3750.0,6880.0,3180.0,70.0,230.0,-1340.0,2350.0,-1230.0 
1936,2600.0,2590.0,5230.0,5310.0,7060.0,3530.0,910.0,2110.0,2210.0,640.0,-2220.0,1950.0 
1937,2430.0,3260.0,1150.0,9130.0,6090.0,4970.0,2370.0,1510.0,-340.0,200.0,580.0,-760.0 
1938,3330.0,6930.0,8830.0,7360.0,6760.0,6000.0,3070.0,2330.0,1020.0,-1970.0,-650.0,780.0 
1939,1040.0,3260.0,3700.0,8250.0,6690.0,7370.0,2120.0,2770.0,-1220.0,-1280.0,-910.0,-610.0 
1940,-790.0,880.0,1110.0,5600.0,8160.0,7480.0,3790.0,3330.0,1620.0,-1070.0,2370.0,2400.0 
1941,1830.0,1500.0,1430.0,8120.0,4720.0,3390.0,2590.0,-210.0,3330.0,5130.0,3940.0,1500.0 
1942,1450.0,1200.0,7820.0,6310.0,9130.0,6770.0,2860.0,-300.0,1380.0,1210.0,1440.0,1230.0 
1943,2330.0,3910.0,6980.0,8040.0,9800.0,11600.0,4550.0,2390.0,-730.0,-860.0,1230.0,-1700.0 
1944,1500.0,1670.0,4090.0,5670.0,6040.0,7080.0,2990.0,-200.0,2160.0,-1940.0,440.0,-830.0 
1945,460.0,1600.0,6180.0,6460.0,8460.0,8480.0,4020.0,1410.0,2180.0,650.0,2020.0,620.0 
1946,3530.0,3000.0,7910.0,3830.0,5790.0,5790.0,1820.0,-410.0,-220.0,-720.0,-1310.0,520.0 
1947,930.0,1660.0,3050.0,12480.0,11040.0,8250.0,4130.0,1580.0,990.0,260.0,-520.0,-2370.0 
1948,190.0,2180.0,8230.0,8310.0,6540.0,4550.0,2480.0,-70.0,-2490.0,-3380.0,3500.0,-430.0 
1949,2860.0,2560.0,2790.0,6500.0,4670.0,6520.0,3540.0,-1440.0,-1430.0,-1470.0,-1240.0,610.0 
1950,4370.0,2960.0,5730.0,9560.0,6020.0,6650.0,4830.0,1370.0,900.0,-350.0,100.0,1080.0 
1951,3030.0,4170.0,6420.0,13760.0,5760.0,5040.0,6430.0,3070.0,290.0,4390.0,3150.0,2210.0 
1952,5190.0,2520.0,5290.0,11100.0,5920.0,5600.0,6310.0,2820.0,-1790.0,-5190.0,1780.0,1820.0 
1953,1700.0,2750.0,6510.0,7320.0,6590.0,7060.0,2860.0,2100.0,-2050.0,-1030.0,-1800.0,-340.0 
1954,-300.0,3940.0,4500.0,9520.0,6350.0,9230.0,3340.0,1140.0,1950.0,7370.0,1250.0,680.0 
1955,1650.0,1620.0,3920.0,9070.0,4770.0,3810.0,1320.0,-420.0,-3730.0,1410.0,-150.0,-840.0 
1956,750.0,1530.0,4020.0,7610.0,8950.0,5080.0,4610.0,3900.0,-2060.0,-680.0,-310.0,680.0 
1957,-580.0,1810.0,3370.0,6530.0,7070.0,6780.0,5040.0,-120.0,110.0,100.0,2290.0,2720.0 
1958,1180.0,370.0,2330.0,4360.0,2010.0,4120.0,3800.0,720.0,1010.0,-1030.0,-1260.0,-1350.0 
1959,720.0,2760.0,4710.0,11100.0,7620.0,2990.0,2630.0,4820.0,640.0,2260.0,2610.0,3360.0 
1960,2640.0,3170.0,2370.0,11740.0,14070.0,7480.0,5680.0,2480.0,240.0,-1630.0,1820.0,-1790.0 
1961,-830.0,2310.0,4700.0,6100.0,4200.0,5620.0,3560.0,1610.0,3820.0,700.0,370.0,-120.0 
1962,1720.0,2880.0,4910.0,6600.0,6330.0,4170.0,2340.0,1470.0,-300.0,-560.0,-1890.0,-1040.0 
1963,-300.0,1010.0,6190.0,5810.0,6210.0,3220.0,3200.0,1930.0,-310.0,-910.0,-1160.0,-1890.0 
1964,420.0,-130.0,2280.0,6850.0,6020.0,2940.0,3210.0,920.0,720.0,-2010.0,-40.0,510.0 
1965,1350.0,2930.0,4000.0,10320.0,7380.0,3460.0,1770.0,2260.0,6080.0,980.0,2680.0,3500.0 
1966,970.0,2980.0,7090.0,5540.0,4310.0,3890.0,1280.0,330.0,-2720.0,-1400.0,4500.0,3700.0 
1967,2780.0,1960.0,4110.0,12580.0,5470.0,9170.0,2540.0,1180.0,-590.0,1560.0,2010.0,4100.0 
1968,1420.0,2290.0,4010.0,7250.0,5480.0,7480.0,3590.0,3530.0,3110.0,-1320.0,850.0,2070.0 
