# NAME: LAKE ONTARIO MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Erie through the Niagara River; the outflow from  
# Lake Ontario through the St. Lawrence River and diversions. The residual net basin supplies are coordinated 
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,770.0,1730.0,1050.0,2930.0,1020.0,870.0,790.0,330.0,0.0,10.0,870.0,700.0 
1901,660.0,90.0,2100.0,4280.0,1550.0,1810.0,780.0,570.0,250.0,-210.0,50.0,1680.0 
1902,770.0,260.0,3490.0,1890.0,1280.0,1510.0,2080.0,690.0,160.0,-10.0,400.0,230.0 
1903,350.0,1660.0,3620.0,2660.0,570.0,1240.0,1220.0,470.0,10.0,570.0,10.0,-240.0 
1904,340.0,1640.0,2850.0,3480.0,2320.0,1530.0,1230.0,800.0,230.0,550.0,-590.0,-230.0 
1905,580.0,-80.0,1690.0,2580.0,1710.0,1740.0,1310.0,1020.0,-60.0,510.0,180.0,770.0 
1906,1640.0,740.0,980.0,1950.0,1050.0,1500.0,1030.0,-30.0,-170.0,870.0,590.0,520.0 
1907,1950.0,360.0,1640.0,1650.0,1580.0,1070.0,850.0,370.0,320.0,450.0,1030.0,1270.0 
1908,950.0,1470.0,2520.0,2460.0,2870.0,1520.0,1080.0,290.0,-200.0,140.0,-210.0,-280.0 
1909,830.0,1410.0,1120.0,3180.0,2920.0,720.0,1170.0,380.0,-300.0,-70.0,310.0,230.0 
1910,700.0,790.0,2370.0,2100.0,1780.0,840.0,700.0,570.0,300.0,140.0,180.0,50.0 
1911,680.0,1180.0,1120.0,2160.0,1210.0,1220.0,440.0,100.0,400.0,260.0,250.0,1130.0 
1912,660.0,740.0,1320.0,4020.0,2710.0,1620.0,720.0,550.0,640.0,370.0,1060.0,1070.0 
1913,3010.0,-20.0,3040.0,2230.0,1440.0,970.0,390.0,320.0,-130.0,220.0,680.0,260.0 
1914,480.0,410.0,1900.0,3160.0,1620.0,830.0,420.0,500.0,160.0,-120.0,-70.0,-130.0 
1915,1160.0,1760.0,1040.0,1250.0,870.0,750.0,690.0,1520.0,450.0,60.0,-140.0,430.0 
1916,1660.0,710.0,1330.0,3620.0,2600.0,2910.0,570.0,-70.0,-230.0,-60.0,50.0,170.0 
1917,180.0,870.0,2390.0,2870.0,920.0,2120.0,1490.0,90.0,30.0,860.0,260.0,400.0 
1918,-50.0,1700.0,2690.0,2420.0,1240.0,1130.0,780.0,200.0,600.0,940.0,540.0,960.0 
1919,860.0,720.0,1750.0,2570.0,3240.0,1180.0,810.0,260.0,-100.0,230.0,200.0,100.0 
1920,60.0,400.0,2320.0,1670.0,620.0,770.0,970.0,260.0,150.0,310.0,440.0,1510.0 
1921,650.0,880.0,2620.0,1880.0,1220.0,560.0,300.0,-260.0,-310.0,0.0,450.0,370.0 
1922,150.0,1370.0,2010.0,3620.0,1230.0,1750.0,1120.0,150.0,130.0,-130.0,-210.0,-140.0 
1923,650.0,530.0,2020.0,2160.0,1520.0,1520.0,290.0,270.0,210.0,20.0,450.0,990.0 
1924,1080.0,630.0,1490.0,2580.0,2460.0,1000.0,880.0,510.0,450.0,-40.0,-300.0,-40.0 
1925,340.0,2190.0,2860.0,1560.0,1130.0,820.0,720.0,120.0,790.0,370.0,1340.0,940.0 
1926,540.0,830.0,1680.0,3440.0,1570.0,1210.0,620.0,930.0,1010.0,930.0,1800.0,740.0 
1927,930.0,1090.0,2620.0,1160.0,1640.0,1090.0,1030.0,10.0,-60.0,360.0,1770.0,1980.0 
1928,1780.0,1400.0,1610.0,2760.0,1440.0,1620.0,1200.0,680.0,-180.0,640.0,850.0,1140.0 
1929,1450.0,700.0,2750.0,3630.0,2560.0,920.0,820.0,-20.0,-40.0,200.0,350.0,300.0 
1930,1820.0,1730.0,2600.0,1880.0,1590.0,1230.0,640.0,-100.0,-50.0,-440.0,-20.0,-160.0 
1931,260.0,420.0,1390.0,1520.0,1730.0,940.0,660.0,-200.0,270.0,-60.0,240.0,640.0 
1932,2220.0,1510.0,1230.0,3040.0,1550.0,670.0,850.0,590.0,-320.0,220.0,970.0,810.0 
1933,870.0,470.0,1380.0,2900.0,1360.0,550.0,100.0,190.0,-150.0,-540.0,70.0,400.0 
1934,1190.0,300.0,1780.0,2690.0,830.0,950.0,160.0,-440.0,810.0,-580.0,540.0,260.0 
1935,1230.0,890.0,1780.0,1220.0,1430.0,1560.0,840.0,-250.0,-20.0,-70.0,170.0,420.0 
1936,540.0,640.0,4500.0,3000.0,1080.0,670.0,230.0,70.0,300.0,290.0,400.0,660.0 
1937,2500.0,1470.0,790.0,2690.0,1800.0,1130.0,350.0,320.0,-510.0,420.0,690.0,480.0 
1938,810.0,2320.0,2300.0,1950.0,1020.0,560.0,720.0,180.0,580.0,-170.0,10.0,160.0 
1939,570.0,1280.0,1950.0,3120.0,1250.0,750.0,480.0,270.0,-450.0,-40.0,-460.0,50.0 
1940,250.0,560.0,750.0,3950.0,2020.0,1330.0,1020.0,-70.0,80.0,-150.0,580.0,1300.0 
1941,990.0,710.0,960.0,2160.0,600.0,450.0,650.0,-140.0,110.0,280.0,370.0,730.0 
1942,480.0,870.0,3210.0,2400.0,1750.0,950.0,730.0,30.0,280.0,120.0,850.0,1020.0 
1943,1270.0,1520.0,2510.0,2510.0,4310.0,1810.0,820.0,500.0,-10.0,380.0,660.0,-80.0 
1944,360.0,760.0,1440.0,2530.0,1730.0,1490.0,590.0,-80.0,170.0,-240.0,60.0,450.0 
1945,620.0,890.0,3370.0,2450.0,2820.0,1560.0,1100.0,170.0,990.0,1500.0,1110.0,1190.0 
1946,890.0,1150.0,2270.0,840.0,1350.0,1080.0,410.0,80.0,150.0,690.0,470.0,630.0 
1947,1780.0,1150.0,2070.0,3970.0,2920.0,3160.0,1680.0,390.0,-90.0,-140.0,230.0,350.0 
1948,460.0,1190.0,2960.0,2470.0,2050.0,1190.0,630.0,200.0,-400.0,100.0,720.0,190.0 
1949,1450.0,1790.0,1440.0,2120.0,930.0,590.0,270.0,-360.0,80.0,30.0,-30.0,1040.0 
1950,2180.0,1210.0,1880.0,3180.0,1060.0,1020.0,760.0,450.0,-210.0,510.0,960.0,1300.0 
1951,1480.0,1900.0,2860.0,3970.0,1460.0,1340.0,1330.0,100.0,140.0,90.0,720.0,1160.0 
1952,1710.0,1410.0,2170.0,2960.0,1980.0,820.0,500.0,100.0,90.0,-550.0,330.0,740.0 
1953,940.0,830.0,2190.0,1530.0,2560.0,920.0,510.0,180.0,-70.0,-300.0,20.0,520.0 
1954,460.0,2290.0,2220.0,3230.0,1750.0,1210.0,80.0,220.0,320.0,910.0,1000.0,720.0 
1955,930.0,770.0,2890.0,2880.0,1050.0,530.0,240.0,450.0,-290.0,1920.0,500.0,130.0 
1956,680.0,760.0,2110.0,3610.0,2870.0,1070.0,660.0,680.0,-40.0,50.0,-100.0,830.0 
1957,730.0,1030.0,1640.0,1760.0,1200.0,1230.0,630.0,-310.0,170.0,-570.0,300.0,910.0 
1958,360.0,600.0,1490.0,2080.0,1110.0,950.0,530.0,120.0,590.0,-50.0,400.0,370.0 
1959,850.0,1250.0,2010.0,3600.0,1600.0,720.0,720.0,50.0,-280.0,360.0,600.0,1810.0 
1960,1010.0,1750.0,940.0,4410.0,2430.0,1420.0,390.0,100.0,-630.0,-290.0,-170.0,-400.0 
1961,-280.0,970.0,1790.0,2200.0,1480.0,1350.0,590.0,-60.0,-360.0,-530.0,50.0,70.0 
1962,270.0,600.0,1440.0,2200.0,870.0,360.0,80.0,290.0,-60.0,70.0,400.0,120.0 
1963,-60.0,-30.0,1760.0,2440.0,1510.0,270.0,230.0,300.0,-490.0,-330.0,480.0,260.0 
1964,470.0,240.0,2030.0,2210.0,1120.0,550.0,280.0,120.0,-610.0,-530.0,-180.0,280.0 
1965,390.0,1390.0,1220.0,2120.0,910.0,540.0,230.0,200.0,220.0,110.0,1060.0,1250.0 
1966,670.0,1110.0,2370.0,1220.0,750.0,650.0,-170.0,0.0,-220.0,-380.0,740.0,1050.0 
1967,800.0,280.0,940.0,2110.0,1220.0,970.0,440.0,50.0,220.0,700.0,1530.0,1160.0 
1968,760.0,560.0,1930.0,1440.0,1350.0,1200.0,420.0,170.0,360.0,-30.0,1410.0,1090.0 
1969,1220.0,720.0,1240.0,2990.0,2060.0,1430.0,640.0,-170.0,-570.0,-120.0,500.0,600.0 
1970,280.0,1030.0,1400.0,2450.0,1400.0,780.0,920.0,-130.0,200.0,600.0,840.0,1050.0 
1971,210.0,1450.0,2050.0,3040.0,1680.0,940.0,250.0,480.0,60.0,50.0,-100.0,930.0 
1972,590.0,860.0,1850.0,3220.0,2320.0,1960.0,1720.0,740.0,110.0,210.0,1500.0,2010.0 
1973,1420.0,1400.0,3250.0,2990.0,1940.0,1450.0,360.0,90.0,-230.0,520.0,580.0,1520.0 
1974,1440.0,1200.0,1800.0,2800.0,2410.0,1210.0,900.0,240.0,-80.0,-40.0,840.0,1100.0 
1975,1090.0,1180.0,2180.0,2250.0,1390.0,1350.0,50.0,180.0,440.0,460.0,540.0,1070.0 
1976,750.0,1990.0,3550.0,2640.0,2570.0,1940.0,1350.0,470.0,290.0,700.0,240.0,330.0 
1977,-200.0,350.0,3310.0,2230.0,670.0,600.0,570.0,800.0,1160.0,1210.0,1920.0,2380.0 
1978,1950.0,900.0,2060.0,3540.0,1650.0,650.0,160.0,300.0,230.0,-30.0,160.0,700.0 
1979,1700.0,700.0,3200.0,3210.0,1470.0,750.0,300.0,310.0,460.0,650.0,760.0,1500.0 
1980,520.0,-10.0,2260.0,3170.0,980.0,1050.0,980.0,0.0,-100.0,160.0,740.0,930.0 
1981,100.0,2730.0,1300.0,1420.0,1050.0,930.0,640.0,560.0,1020.0,1120.0,1410.0,710.0 
1982,600.0,500.0,2090.0,2690.0,1230.0,1730.0,420.0,190.0,450.0,40.0,1280.0,1410.0 
1983,710.0,990.0,1500.0,2470.0,2490.0,550.0,40.0,230.0,-410.0,30.0,700.0,1920.0 
1984,500.0,2400.0,1540.0,3320.0,2190.0,1160.0,460.0,520.0,200.0,20.0,180.0,1210.0 
