# NAME: LAKE ST CLAIR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Michigan-Huron through the St. Clair River; the outflow 
# from Lake St. Clair through the Detroit River. The residual net basin supplies are coordinated 
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,90.0,220.0,280.0,160.0,80.0,80.0,70.0,70.0,-30.0,-30.0,0.0,-60.0 
1901,80.0,440.0,260.0,-190.0,-190.0,-70.0,20.0,20.0,-20.0,-20.0,0.0,160.0 
1902,-130.0,170.0,20.0,-120.0,40.0,110.0,360.0,60.0,50.0,20.0,-50.0,240.0 
1903,310.0,80.0,340.0,250.0,250.0,230.0,260.0,70.0,60.0,-40.0,70.0,570.0 
1904,80.0,590.0,360.0,360.0,220.0,40.0,60.0,80.0,0.0,-30.0,0.0,180.0 
1905,110.0,490.0,500.0,-60.0,130.0,160.0,180.0,120.0,30.0,70.0,70.0,40.0 
1906,30.0,-170.0,90.0,-220.0,70.0,170.0,140.0,60.0,30.0,20.0,90.0,-10.0 
1907,530.0,140.0,160.0,130.0,220.0,30.0,90.0,100.0,60.0,70.0,10.0,110.0 
1908,190.0,480.0,420.0,220.0,260.0,150.0,110.0,120.0,-30.0,130.0,-10.0,-10.0 
1909,170.0,230.0,0.0,330.0,260.0,70.0,30.0,-20.0,-40.0,40.0,190.0,130.0 
1910,480.0,10.0,-40.0,200.0,200.0,100.0,10.0,10.0,-10.0,30.0,70.0,90.0 
1911,-110.0,240.0,-20.0,50.0,60.0,50.0,-20.0,20.0,20.0,30.0,80.0,90.0 
1912,120.0,20.0,190.0,250.0,290.0,120.0,150.0,80.0,90.0,90.0,120.0,100.0 
1913,110.0,-50.0,160.0,490.0,290.0,40.0,10.0,-10.0,-30.0,40.0,130.0,-40.0 
1914,210.0,150.0,60.0,-40.0,230.0,60.0,30.0,120.0,50.0,10.0,80.0,390.0 
1915,-110.0,300.0,-280.0,0.0,190.0,70.0,140.0,170.0,100.0,-20.0,10.0,70.0 
1916,470.0,200.0,-70.0,130.0,320.0,10.0,-30.0,70.0,-10.0,40.0,0.0,290.0 
1917,-220.0,0.0,-40.0,250.0,330.0,160.0,60.0,100.0,-110.0,110.0,110.0,30.0 
1918,150.0,340.0,-150.0,570.0,310.0,60.0,110.0,60.0,130.0,40.0,120.0,100.0 
1919,390.0,0.0,370.0,430.0,290.0,110.0,-10.0,120.0,130.0,150.0,140.0,-90.0 
1920,0.0,230.0,210.0,100.0,-120.0,50.0,40.0,50.0,-20.0,40.0,30.0,-100.0 
1921,-20.0,-270.0,370.0,230.0,10.0,20.0,20.0,0.0,-30.0,100.0,-10.0,90.0 
1922,340.0,110.0,260.0,10.0,-140.0,70.0,10.0,10.0,0.0,-10.0,30.0,80.0 
1923,250.0,50.0,220.0,100.0,40.0,70.0,30.0,-10.0,30.0,20.0,80.0,-140.0 
1924,240.0,-50.0,40.0,-20.0,60.0,90.0,30.0,10.0,-10.0,20.0,30.0,160.0 
1925,230.0,50.0,260.0,-190.0,-190.0,80.0,30.0,0.0,30.0,30.0,100.0,-250.0 
1926,80.0,-80.0,250.0,90.0,80.0,-70.0,-60.0,-40.0,60.0,130.0,250.0,140.0 
1927,-10.0,0.0,210.0,100.0,70.0,-10.0,90.0,-60.0,-20.0,0.0,140.0,80.0 
1928,490.0,510.0,90.0,-110.0,60.0,70.0,30.0,0.0,0.0,90.0,-10.0,70.0 
1929,360.0,90.0,270.0,600.0,420.0,230.0,210.0,20.0,-20.0,-40.0,0.0,210.0 
1930,290.0,190.0,190.0,360.0,280.0,110.0,120.0,20.0,0.0,150.0,-80.0,-10.0 
1931,30.0,40.0,50.0,130.0,-40.0,10.0,20.0,-30.0,80.0,70.0,50.0,160.0 
1932,80.0,220.0,-90.0,-30.0,220.0,20.0,50.0,10.0,0.0,-30.0,30.0,460.0 
1933,100.0,460.0,190.0,310.0,220.0,230.0,60.0,-20.0,-50.0,-40.0,-10.0,50.0 
1934,130.0,20.0,300.0,240.0,30.0,20.0,0.0,-50.0,0.0,-60.0,-20.0,110.0 
1935,160.0,230.0,10.0,0.0,180.0,-80.0,-10.0,-10.0,-10.0,0.0,-50.0,-40.0 
1936,110.0,140.0,60.0,-80.0,-50.0,0.0,-30.0,-30.0,80.0,-60.0,-20.0,10.0 
1937,240.0,160.0,-30.0,460.0,140.0,40.0,-10.0,-40.0,-130.0,0.0,-60.0,-30.0 
1938,40.0,300.0,420.0,140.0,80.0,10.0,10.0,-30.0,-20.0,-10.0,-10.0,40.0 
1939,-70.0,200.0,270.0,340.0,30.0,20.0,-20.0,-80.0,-10.0,-50.0,0.0,-50.0 
1940,160.0,10.0,20.0,110.0,40.0,150.0,40.0,-20.0,20.0,30.0,160.0,220.0 
