# NAME: LAKE SUPERIOR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels and the outflow from the lake and diversions. 
# The residual net basin supplies are coordinated by the US Army Corps of Engineers
# and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,-520.0,1160.0,-80.0,3340.0,3710.0,2210.0,5380.0,6420.0,7360.0,2050.0,-190.0,-1300.0 
1901,-1130.0,-260.0,1340.0,3560.0,3380.0,5720.0,5200.0,2440.0,390.0,2900.0,-320.0,-720.0 
1902,-890.0,60.0,1300.0,3630.0,4600.0,4800.0,3020.0,2120.0,2180.0,1790.0,1490.0,-500.0 
1903,-340.0,-2000.0,2620.0,4290.0,8110.0,2500.0,4690.0,2580.0,3220.0,1370.0,370.0,-2220.0 
1904,-110.0,950.0,1010.0,1980.0,6750.0,4220.0,2380.0,4280.0,3410.0,3470.0,-710.0,-1080.0 
1905,-1470.0,990.0,2820.0,3050.0,5300.0,5490.0,4300.0,3690.0,4100.0,790.0,1540.0,-380.0 
1906,-740.0,790.0,-350.0,4680.0,4440.0,5920.0,2490.0,2520.0,2170.0,910.0,800.0,-520.0 
1907,260.0,650.0,1900.0,1350.0,6640.0,4740.0,3270.0,5250.0,4160.0,620.0,-760.0,-2280.0 
1908,-640.0,670.0,310.0,3340.0,7720.0,5690.0,3970.0,1570.0,1140.0,170.0,-1560.0,-350.0 
1909,-860.0,710.0,0.0,3080.0,6800.0,2100.0,5630.0,2760.0,1520.0,890.0,2270.0,260.0 
1910,-250.0,-940.0,690.0,3460.0,3140.0,2130.0,2480.0,2900.0,1000.0,90.0,-350.0,-2040.0 
1911,-280.0,-620.0,-200.0,1990.0,6070.0,5070.0,5930.0,3620.0,2710.0,230.0,-200.0,410.0 
1912,-860.0,550.0,860.0,5650.0,4460.0,4660.0,2730.0,3790.0,1350.0,1700.0,-1530.0,30.0 
1913,-1920.0,-340.0,3480.0,4260.0,5610.0,3250.0,4830.0,3350.0,3420.0,1960.0,1580.0,-1220.0 
1914,-780.0,-90.0,0.0,4660.0,5350.0,3970.0,3650.0,2460.0,2270.0,10.0,510.0,-2650.0 
1915,1590.0,-480.0,-890.0,3710.0,4430.0,6760.0,3650.0,2150.0,5000.0,2730.0,2470.0,540.0 
1916,780.0,10.0,1030.0,7800.0,7560.0,5950.0,3390.0,2940.0,4210.0,1500.0,-570.0,610.0 
1917,-1770.0,400.0,2380.0,2170.0,4390.0,4800.0,2860.0,3500.0,1690.0,570.0,-530.0,-1220.0 
1918,30.0,450.0,-310.0,3390.0,5850.0,4890.0,2990.0,3100.0,1150.0,2760.0,1660.0,720.0 
1919,-510.0,570.0,60.0,4440.0,3790.0,3170.0,1920.0,1250.0,1670.0,-200.0,1990.0,-1090.0 
1920,470.0,690.0,4090.0,3860.0,4160.0,5580.0,3750.0,1880.0,-90.0,1320.0,-1120.0,720.0 
1921,-1780.0,-430.0,1530.0,5390.0,5100.0,2340.0,3170.0,1730.0,1100.0,-560.0,-1730.0,-2010.0 
