dayofyear	superior_sst	michigan-huron_sst	erie_sst	ontario_sst
1	276.05860465116274	276.69255813953487	276.2081395348837	277.42720930232554
2	276.0255813953488	276.6124418604651	276.09302325581393	277.3293023255814
3	275.986976744186	276.603488372093	276.0174418604651	277.29372093023255
4	275.9458139534883	276.52732558139536	275.8867441860465	277.2167441860465
5	275.8588372093023	276.44058139534883	275.77302325581394	277.1574418604651
6	275.74697674418604	276.2587209302326	275.6337209302325	277.04674418604645
7	275.69302325581396	276.1876744186047	275.53488372093017	276.97837209302327
8	275.6341860465116	276.1520930232558	275.45488372093024	276.93279069767436
9	275.58441860465115	276.13476744186045	275.34534883720926	276.93465116279066
10	275.55813953488365	276.05918604651157	275.2632558139535	276.87558139534883
11	275.4981395348837	275.9467441860465	275.1683720930232	276.7909302325581
12	275.43465116279066	275.83546511627907	274.99999999999994	276.7325581395349
13	275.3718604651163	275.7645348837209	274.8625581395348	276.5653488372093
14	275.3241860465116	275.69430232558136	274.77627906976744	276.45744186046505
15	275.26837209302323	275.67825581395346	274.68860465116273	276.41581395348834
16	275.25255813953487	275.63941860465115	274.6162790697674	276.3565116279069
17	275.2316279069767	275.60441860465113	274.54860465116275	276.3527906976744
18	275.1941860465116	275.51790697674414	274.453488372093	276.3402325581395
19	275.1297674418604	275.43372093023254	274.373488372093	276.2755813953488
20	275.0648837209302	275.3648837209302	274.2927906976744	276.156511627907
21	275.026511627907	275.32441860465116	274.22534883720925	276.0867441860465
22	274.98511627906976	275.3024418604651	274.19302325581396	276.0539534883721
23	274.9551162790698	275.2559302325581	274.1958139534883	276.0511627906977
24	274.9390697674418	275.24197674418605	274.1758139534884	276.0455813953488
25	274.88837209302324	275.19255813953487	274.06999999999994	276.00790697674415
26	274.8195348837209	275.13755813953486	274.00372093023253	275.9244186046511
27	274.80279069767437	275.11918604651163	273.97860465116275	275.89255813953486
28	274.79372093023255	275.09116279069764	273.94511627906974	275.836976744186
29	274.7553488372093	275.0590697674418	273.9195348837209	275.7655813953488
30	274.7213953488372	274.9856976744186	273.8674418604651	275.723488372093
31	274.716976744186	274.9912790697674	273.8460465116279	275.74046511627904
32	274.6760465116279	275.01255813953486	273.8420930232558	275.70395348837206
33	274.61720930232553	274.9938372093023	273.85906976744184	275.74186046511625
34	274.55186046511625	274.92186046511625	273.8427906976744	275.74046511627904
35	274.5381395348837	274.87418604651157	273.8058139534884	275.71999999999997
36	274.5188372093023	274.8530232558139	273.7902325581395	275.68465116279066
37	274.5195348837209	274.8031395348837	273.78720930232555	275.64302325581394
38	274.4962790697674	274.76616279069765	273.76744186046506	275.553488372093
39	274.4518604651162	274.7388372093023	273.73372093023255	275.48511627906976
40	274.4055813953488	274.7132558139534	273.69790697674415	275.4472093023256
41	274.3639534883721	274.6833720930232	273.65767441860464	275.4211627906976
42	274.3367441860465	274.6501162790698	273.6609302325581	275.38186046511623
43	274.31162790697675	274.6258139534883	273.65	275.373953488372
44	274.286976744186	274.56965116279065	273.63441860465116	275.313488372093
45	274.2623255813953	274.538488372093	273.6381395348837	275.2767441860465
46	274.2616279069767	274.5310465116279	273.6290697674418	275.3144186046511
47	274.2209302325581	274.5038372093023	273.6244186046511	275.2927906976744
48	274.1862790697674	274.4975581395349	273.5981395348837	275.2667441860465
49	274.16651162790697	274.4831395348837	273.59441860465114	275.2646511627907
50	274.12930232558136	274.47232558139535	273.6153488372093	275.29255813953483
51	274.1620930232558	274.47372093023256	273.60418604651164	275.3030232558139
52	274.18837209302325	274.49697674418604	273.6274418604651	275.29976744186047
53	274.14906976744186	274.4752325581395	273.63906976744187	275.32348837209304
54	274.12558139534883	274.476511627907	273.66906976744184	275.2820930232558
55	274.1013953488372	274.4440697674418	273.6609302325581	275.2620930232558
56	274.10232558139535	274.43825581395345	273.67	275.27302325581394
57	274.09860465116276	274.4325581395349	273.6890697674418	275.2393023255814
58	274.0753488372093	274.4356976744186	273.70139534883714	275.2060465116279
59	274.0788372093023	274.4359302325581	273.69837209302324	275.19906976744187
60	274.0541860465116	274.44302325581396	273.7041860465116	275.156976744186
61	274.0379069767442	274.4651162790697	273.73674418604645	275.1574418604651
62	274.03186046511627	274.45651162790693	273.73418604651164	275.11558139534884
63	274.0113953488372	274.4205813953488	273.74558139534884	275.1120930232558
64	274.01651162790694	274.43279069767436	273.7732558139534	275.1332558139535
65	274.0081395348837	274.4260465116279	273.7879069767442	275.18651162790695
66	274.0027906976744	274.4398837209302	273.8718604651163	275.2146511627907
67	274.01069767441857	274.4788372093023	273.9523255813953	275.223488372093
68	274.01744186046506	274.4848837209302	273.9939534883721	275.2413953488372
69	273.9674418604651	274.4524418604651	273.9641860465116	275.2888372093023
70	273.9909302325581	274.4482558139535	273.97627906976743	275.293488372093
71	274.03627906976743	274.4666279069767	274.03767441860464	275.293488372093
72	274.0567441860465	274.45290697674415	274.0553488372093	275.283488372093
73	274.03720930232555	274.46127906976744	274.0523255813953	275.326976744186
74	274.0306976744186	274.48790697674417	274.0648837209302	275.37930232558136
75	274.0488372093023	274.5397674418604	274.13790697674415	275.3802325581395
76	274.0639534883721	274.5386046511628	274.17558139534884	275.4458139534883
77	274.03046511627906	274.54081395348834	274.1953488372093	275.42860465116274
78	274.02441860465115	274.5459302325581	274.2448837209302	275.433488372093
79	274.0309302325581	274.55813953488365	274.30046511627904	275.426976744186
80	274.04372093023255	274.58244186046505	274.3516279069767	275.4462790697674
81	274.0506976744186	274.6024418604651	274.42465116279067	275.45976744186044
82	274.0525581395348	274.64755813953485	274.5411627906976	275.5416279069767
83	274.07837209302323	274.6712790697674	274.60255813953484	275.58441860465115
84	274.1188372093023	274.71802325581393	274.6681395348837	275.60418604651164
85	274.16279069767444	274.77127906976744	274.79186046511626	275.6262790697674
86	274.1844186046511	274.78	274.87511627906974	275.72441860465113
87	274.2160465116279	274.813488372093	275.0027906976744	275.72186046511627
88	274.2374418604651	274.87197674418604	275.16372093023256	275.8367441860465
89	274.2555813953488	274.8888372093023	275.2874418604651	275.89116279069765
90	274.27255813953485	274.91453488372093	275.36023255813956	275.91581395348834
91	274.2688372093023	274.961511627907	275.4439534883721	275.90302325581393
92	274.3190697674418	275.02395348837206	275.5667441860465	275.9181395348837
93	274.3616279069767	275.0523255813953	275.6413953488372	275.9353488372093
94	274.4186046511628	275.0841860465116	275.77093023255816	275.9720930232558
95	274.466511627907	275.10674418604646	275.83534883720927	275.973488372093
96	274.49511627906975	275.18558139534883	275.9488372093023	276.03441860465114
97	274.48046511627905	275.24732558139533	276.10186046511626	276.0795348837209
98	274.4811627906976	275.2637209302325	276.2544186046511	276.1681395348837
99	274.516976744186	275.2965116279069	276.4916279069767	276.23790697674417
100	274.5355813953488	275.3370930232558	276.58930232558134	276.2413953488372
101	274.57395348837207	275.3731395348837	276.66046511627906	276.23465116279067
102	274.6423255813953	275.4802325581395	276.84860465116276	276.30697674418604
103	274.6767441860465	275.57151162790694	277.0618604651163	276.43651162790695
104	274.7102325581395	275.5906976744186	277.1567441860465	276.53441860465114
105	274.76720930232557	275.62558139534883	277.31604651162786	276.5979069767442
106	274.8220930232558	275.68186046511624	277.4755813953488	276.6844186046511
107	274.873953488372	275.7632558139535	277.5946511627907	276.7141860465116
108	274.9088372093023	275.8577906976744	277.6988372093023	276.79976744186047
109	274.9576744186046	275.93116279069767	277.85976744186047	276.85720930232554
110	275.04511627906976	275.99290697674417	278.010465116279	276.9427906976744
111	275.0430232558139	276.03127906976744	278.2151162790698	276.993488372093
112	275.0776744186046	276.07837209302323	278.3748837209302	277.0074418604651
113	275.16767441860463	276.16081395348834	278.5444186046512	277.0062790697674
114	275.19162790697675	276.2166279069767	278.6616279069767	277.0648837209302
115	275.21395348837206	276.2603488372093	278.7409302325581	277.10976744186047
116	275.2316279069767	276.3139534883721	278.8967441860465	277.17046511627905
117	275.26488372093024	276.3795348837209	279.0867441860465	277.2483720930232
118	275.2981395348837	276.46255813953485	279.24860465116274	277.3190697674418
119	275.3120930232558	276.48674418604645	279.4458139534883	277.4174418604651
120	275.3374418604651	276.52627906976744	279.65534883720926	277.53837209302327
121	275.3713953488372	276.5960465116279	279.87046511627904	277.6079069767442
122	275.4830232558139	276.70709302325577	280.0613953488372	277.64488372093024
123	275.526976744186	276.80511627906975	280.29418604651164	277.6453488372093
124	275.59186046511627	276.90767441860464	280.5479069767442	277.7567441860465
125	275.68790697674416	276.9843023255814	280.69651162790694	277.9611627906977
126	275.76581395348836	277.0645348837209	280.94697674418603	278.1427906976744
127	275.7737209302325	277.20348837209303	281.21302325581394	278.2795348837209
128	275.79860465116275	277.28674418604646	281.45302325581395	278.4051162790697
129	275.833488372093	277.37999999999994	281.71534883720926	278.49232558139533
130	275.86279069767437	277.44441860465116	281.9725581395349	278.5937209302325
131	275.94651162790694	277.5053488372093	282.1346511627907	278.57511627906973
132	275.9613953488372	277.56604651162786	282.2086046511628	278.6416279069767
133	276.0137209302325	277.62430232558137	282.40441860465114	278.803488372093
134	276.0827906976744	277.74965116279066	282.6809302325581	278.9513953488372
