month,superior_swe,michigan-huron_swe,erie_swe,ontario_swe,superior_sst,michigan-huron_sst,erie_sst,ontario_sst,superior_lake_precipitation,michigan-huron_lake_precipitation,erie_lake_precipitation,ontario_lake_precipitation,superior_land_precipitation,michigan-huron_land_precipitation,erie_land_precipitation,ontario_land_precipitation,superior_lake_evaporation,michigan-huron_lake_evaporation,erie_lake_evaporation,ontario_lake_evaporation,superior_land_evaporation,michigan-huron_land_evaporation,erie_land_evaporation,ontario_land_evaporation,superior_lake_air_temperature,michigan-huron_lake_air_temperature,erie_lake_air_temperature,ontario_lake_air_temperature,superior_land_air_temperature,michigan-huron_land_air_temperature,erie_land_air_temperature,ontario_land_air_temperature
1,79.5640875,39.02141971923589,8.51921025,29.299005,276.35875,276.96,276.71999999999997,278.07374999999996,63.45200584223869,69.9550546074744,78.74112076225681,85.44268312217334,56.16227696055133,71.03874195052349,76.42276105872156,85.44268312217334,87.39051063238631,70.18804707811556,48.78255910240586,67.85945432263357,35.42591880309239,29.882780909971885,25.757166639252674,67.85945432263357,266.1791893570919,268.9032417742284,270.60612797499346,270.34925361643667,261.26089261363404,265.9700306942075,269.07753736250396,270.34925361643667
2,134.510175,70.52408419540446,13.64210375,41.331625,275.05999999999995,275.398125,274.10125,276.20624999999995,53.32881693538236,58.33187106952038,80.23238552034788,82.38455865739002,47.498094924161144,60.69856832720386,79.2223538126668,82.38455865739002,73.35271269656002,55.62680150392938,31.08077759362281,52.54061034643844,35.66718755091902,30.692271528489314,25.78686187798553,52.54061034643844,266.3533773476474,269.0870919512883,270.549568945603,270.131272971493,261.9703065575674,266.43129669600495,269.4694979351782,270.131272971493
3,165.697,98.28344325291715,28.012015875,75.674,274.23249999999996,274.4975,273.765,275.5075,56.06131091503694,73.52263292045669,91.68945156422416,78.37326477592231,58.0376373838334,74.750866747233,92.07151128944952,78.37326477592231,40.55070204636763,32.548956139037,17.516935461722802,34.84138843492137,39.71194816642236,39.37761735822062,39.443713237975714,34.84138843492137,270.61444191766014,272.7466114820085,274.13117378093114,273.83752478175813,268.36964724348303,271.8268266553665,274.7733523461676,273.83752478175813
4,114.41974,65.23229948404708,3.9707548750000004,35.145989875,274.56125,275.22187499999995,275.65875,276.20624999999995,80.20806440832735,98.60639515600595,100.89672372458143,92.75015049099629,82.12604509669089,104.64756435604596,113.72510000803912,92.75015049099629,19.754964303917774,17.692936585226455,15.125513076008385,21.16313731050713,53.24933242556896,61.001536381417196,69.3666489625391,21.16313731050713,274.7157869827611,277.03551013276945,279.31322334716504,278.616629823593,274.6380789778109,277.9892107040371,281.0264661895632,278.616629823593
5,68.65343875,13.924136234594506,5.1625e-06,0.077772195,275.66999999999996,276.9025,280.40125,277.88624999999996,96.04316211141074,89.62590152047649,117.97261662678238,95.86016736549945,96.64303101949389,97.82388484605828,135.86863988038365,95.86016736549945,7.647420772388506,18.707811180442114,30.462511851951536,24.26205546246015,65.10517415953869,94.92486839475876,106.63574477652826,24.26205546246015,278.6790415902815,281.7062228606632,285.70585604598483,283.9240704784351,282.054136030456,284.97157986736187,287.6102720137476,283.9240704784351
6,0.0796865875,0.0,0.0,0.0,277.25124999999997,281.54249999999996,289.02124999999995,284.62249999999995,102.34629580113285,101.96424210925912,126.49088533004178,119.05548458940427,107.12998361225273,103.84593874306677,132.49036868235214,119.05548458940427,6.792833024966747,28.979322446191855,50.54332026949603,39.94146983483769,82.40529324957896,113.20516276119186,123.9690670745512,39.94146983483769,281.5943409186429,286.7456928598797,291.5507568123759,289.36279757662,286.73440799361776,289.6412213765342,292.3679247604842,289.36279757662
7,0.0,0.0,0.0,0.0,280.29999999999995,288.4475,294.12125,290.66499999999996,78.58465067418157,65.58869268192963,93.38331666187308,77.6558777405897,77.24929897328431,74.67791930888222,93.81244953814186,77.6558777405897,11.153424296808348,48.01488193722247,75.19438767808717,62.690330274864195,92.41348029936289,116.36376237869163,123.26063616010376,62.690330274864195,286.16332697250544,292.37745077671286,295.4652088309952,294.3382275220057,290.5165351609365,293.3212813626129,295.25980753010754,294.3382275220057
8,0.0,0.0,0.0,0.0,287.4025,293.645625,297.14124999999996,295.37624999999997,65.88264383335931,76.50738535787922,83.53072041593595,93.79989270093199,68.62326444110947,80.89229907689048,73.96512855143332,93.79989270093199,25.51850359431631,60.17063102701901,87.24654048107948,79.82163144287625,72.23003505868807,85.5880998438119,96.08512735807435,79.82163144287625,289.05100678121,292.9929962016737,295.1188851295416,294.4312551904777,290.29590026997636,292.4997938040656,294.0209382142303,294.4312551904777
9,0.0,0.0,0.0,0.0,288.86749999999995,293.420625,296.58875,294.91375,77.7468960349089,73.52950067597591,86.24826600265439,86.8243005795694,83.09581084514129,72.83096626003959,79.81954725389394,86.8243005795694,41.81063736061443,74.50755454131722,99.35079891854772,88.33304828285922,51.1805753705198,57.85168645867342,66.22195789852393,88.33304828285922,286.5745464732488,289.80149037493084,292.0688012061608,291.3673277313432,285.6849034274744,288.4815767656592,290.4532567712069,291.3673277313432
10,0.0009764071428571429,0.0,0.0,0.0,285.7285714285714,289.4871428571428,292.2528571428571,291.1942857142857,87.10710850379675,106.97120605131248,127.00174603521626,112.46716695150704,82.30398580161753,102.9593537861667,99.4287667443867,112.46716695150704,54.5587966347958,78.11642464644736,104.88644972766845,86.60100801266387,42.47881620268637,45.0048127596721,53.511582623758876,86.60100801266387,281.53950918825313,284.37450437880415,286.57140492530255,285.55904875326513,279.59762094400173,282.5710863607243,284.6710826760113,285.55904875326513
11,5.257533125,0.8165637707948222,0.12005840999999999,0.104112915,281.15625,283.93062499999996,286.30625,284.505,79.11552249819485,78.4052988145361,90.35658632472487,76.2644054717199,75.88037029120194,80.26034797476382,84.6806737755287,76.2644054717199,64.87928014919441,68.66566849967127,80.54379348522517,69.81932048274071,40.09419440335204,34.157384376579536,37.63936304639864,69.81932048274071,275.2327431231432,277.9894547508523,280.09060712226983,279.2041800026413,272.15708721288377,275.7376608171096,278.04758522314233,279.2041800026413
