month,superior_target_evaporation,superior_target_precipitation,superior_target_runoff,superior_target_nbs,michigan-huron_target_evaporation,michigan-huron_target_precipitation,michigan-huron_target_runoff,michigan-huron_target_nbs,erie_target_evaporation,erie_target_precipitation,erie_target_runoff,erie_target_nbs,ontario_target_evaporation,ontario_target_precipitation,ontario_target_runoff,ontario_target_nbs
1,103.92222966666667,51.755641025641026,32.17692307692308,-12.956644558480782,80.05634671794871,59.05589743589743,58.0,44.191648384533906,44.15455338461538,66.08025641025641,84.92666666666666,142.29225973578332,94.28063776923076,70.17948717948718,145.48717948717947,190.11677914720718
2,58.87476646153846,34.955128205128204,27.192307692307693,2.355779281222891,42.90156361538462,43.46820512820513,50.24871794871795,50.88853649214898,21.927079128205126,58.00564102564102,83.03153846153846,178.1086473763845,52.67139584615384,60.16410256410256,130.45128205128205,187.0119605550419
3,42.58768374358974,42.244615384615386,38.246153846153845,52.116063183435564,31.275891717948717,56.91871794871795,77.75128205128206,112.89841233424042,17.155628384615387,71.82589743589743,116.40128205128204,279.41428423590366,37.87957566666667,65.14615384615384,196.70769230769233,339.25479081697694
4,16.3235661025641,56.79282051282051,77.75897435897436,143.18893382481625,11.204372666666666,75.11538461538461,114.91538461538461,177.6339221737316,7.5188146410256405,85.27435897435898,111.64051282051284,274.7968114770488,15.374129128205128,80.3,246.04358974358976,432.5544472192165
5,2.504304564102564,71.02923076923076,88.44871794871794,162.24315579492352,2.4202238717948714,74.26871794871795,92.07692307692308,150.7182416493764,15.023526897435898,88.22666666666667,78.26846153846154,217.70383367309702,7.417957871794872,76.5025641025641,171.97435897435898,283.85185007245434
6,-3.007454358974359,81.87384615384615,62.251282051282054,142.73900120533943,2.391837307692308,79.57615384615384,60.93589743589744,121.9761533865927,33.75574382051282,93.10128205128204,51.04923076923077,153.96341056614986,15.998314128205129,80.41794871794872,102.47692307692307,204.47407502023557
7,-0.7223892307692308,77.57820512820513,46.62820512820513,115.60098983863219,13.37680046153846,73.20769230769231,44.09743589743589,72.28431537140857,70.88980241025641,86.97307692307693,33.52717948717949,55.98626155189399,37.56831082051282,70.26410256410257,61.73846153846154,108.11513357072039
8,15.746431794871796,75.81666666666666,36.079487179487174,79.20483664084156,37.94895069230769,80.93692307692308,35.797435897435896,34.21450187307911,115.04070205128205,86.27000000000001,27.395384615384618,-13.5164721160905,65.728844,78.05384615384615,46.06410256410256,33.7005149114771
9,51.351827820512824,82.58410256410257,37.93846153846154,53.58442819127527,64.75309423076924,84.03666666666666,37.776923076923076,10.75200787928888,155.83074325641024,94.49974358974359,34.422820512820515,-51.32113685538329,78.25013966666667,84.09230769230768,57.828205128205134,31.84502295722249
10,73.72712648717948,76.76153846153846,49.35897435897436,48.1422243310376,80.46965346153846,78.01717948717949,52.294871794871796,11.777032630447753,178.56693992307692,83.10000000000001,46.325641025641026,-53.17956242396263,83.46390656410257,81.75641025641026,97.96410256410256,67.53336168778985
11,99.85389028205128,62.144615384615385,47.04358974358974,19.482931352816344,95.6034071025641,74.49000000000001,66.0,33.960216886733924,138.38310243589743,88.20025641025642,73.17307692307692,31.486017806123034,84.3689678974359,86.28205128205128,139.57435897435897,155.9381620143884
12,118.65717202564102,56.633333333333326,40.67948717948718,-8.868766180517314,109.35951371794872,68.79923076923077,68.95128205128205,36.203264930484906,95.13819315384616,82.72333333333333,88.09717948717949,134.20453461713902,104.61155356410256,82.8948717948718,162.86153846153846,195.41005374063292
