Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,166.0,138.7,193.2
1950.0,2.0,94.8,72.2,117.6
1950.0,3.0,97.0,72.5,122.4
1950.0,4.0,101.3,78.5,127.3
1950.0,5.0,47.3,26.2,69.7
1950.0,6.0,69.4,43.0,95.3
1950.0,7.0,104.0,81.6,129.6
1950.0,8.0,68.3,44.7,90.1
1950.0,9.0,86.7,60.4,112.7
1950.0,10.0,91.7,69.7,115.8
1950.0,11.0,140.6,114.1,166.3
1950.0,12.0,94.2,71.9,119.4
1951.0,1.0,79.9,58.9,101.9
1951.0,2.0,106.0,84.3,129.8
1951.0,3.0,95.2,72.2,119.6
1951.0,4.0,87.6,67.3,110.8
1951.0,5.0,78.5,55.0,102.1
1951.0,6.0,82.7,58.2,107.7
1951.0,7.0,70.3,47.3,93.9
1951.0,8.0,48.6,29.9,70.2
1951.0,9.0,74.1,50.9,97.9
1951.0,10.0,82.3,58.6,106.7
1951.0,11.0,99.6,79.2,123.0
1951.0,12.0,89.0,68.6,113.2
1952.0,1.0,118.3,96.1,141.3
1952.0,2.0,52.5,33.1,74.7
1952.0,3.0,60.8,39.4,83.8
1952.0,4.0,75.9,52.9,99.3
1952.0,5.0,86.5,61.8,111.9
1952.0,6.0,36.1,19.0,56.9
1952.0,7.0,58.9,39.1,82.8
1952.0,8.0,82.2,59.8,104.3
1952.0,9.0,75.0,51.6,98.0
1952.0,10.0,43.1,26.0,63.1
1952.0,11.0,50.9,31.0,72.5
1952.0,12.0,60.1,39.6,81.9
1953.0,1.0,64.4,42.7,84.8
1953.0,2.0,30.9,17.5,49.1
1953.0,3.0,58.6,36.9,81.0
1953.0,4.0,53.1,33.0,75.1
1953.0,5.0,118.5,92.9,143.1
1953.0,6.0,61.6,40.9,84.0
1953.0,7.0,70.1,48.6,92.6
1953.0,8.0,61.6,41.4,84.3
1953.0,9.0,61.0,39.2,85.3
1953.0,10.0,51.7,32.9,71.5
1953.0,11.0,67.8,46.2,89.4
1953.0,12.0,50.4,32.6,70.9
1954.0,1.0,58.3,39.1,79.8
1954.0,2.0,82.1,61.2,103.9
1954.0,3.0,89.8,64.7,114.8
1954.0,4.0,122.3,99.9,146.7
1954.0,5.0,37.1,18.6,58.1
1954.0,6.0,49.2,29.4,72.3
1954.0,7.0,55.3,36.2,76.0
1954.0,8.0,66.8,45.0,88.8
1954.0,9.0,62.7,41.9,86.7
1954.0,10.0,227.9,203.5,253.5
1954.0,11.0,66.3,43.2,89.0
1954.0,12.0,71.1,50.1,91.7
1955.0,1.0,77.4,57.0,102.2
1955.0,2.0,61.8,40.8,82.5
1955.0,3.0,85.4,63.1,110.1
1955.0,4.0,81.9,60.5,103.9
1955.0,5.0,45.9,25.6,68.2
1955.0,6.0,44.3,23.6,65.7
1955.0,7.0,62.1,42.1,83.5
1955.0,8.0,99.7,76.4,121.9
1955.0,9.0,65.6,43.3,88.2
1955.0,10.0,125.3,99.8,148.6
1955.0,11.0,68.1,48.5,90.5
1955.0,12.0,45.9,28.4,63.0
1956.0,1.0,29.4,15.9,45.7
1956.0,2.0,59.6,39.3,80.8
1956.0,3.0,112.2,88.8,136.6
1956.0,4.0,104.5,81.6,127.8
1956.0,5.0,162.3,136.9,188.8
1956.0,6.0,71.3,48.9,93.8
1956.0,7.0,104.8,79.5,129.4
1956.0,8.0,154.7,127.4,180.4
1956.0,9.0,59.9,37.7,81.9
1956.0,10.0,67.1,45.0,90.2
1956.0,11.0,52.6,32.8,72.4
1956.0,12.0,69.6,50.1,91.5
1957.0,1.0,83.5,60.8,105.7
1957.0,2.0,62.5,41.6,85.4
1957.0,3.0,33.6,17.8,53.1
1957.0,4.0,140.4,115.2,162.1
1957.0,5.0,93.2,70.0,116.3
1957.0,6.0,133.2,109.5,157.6
1957.0,7.0,117.1,93.7,140.8
1957.0,8.0,54.9,35.0,74.9
1957.0,9.0,109.7,87.8,133.4
1957.0,10.0,77.4,56.1,99.9
1957.0,11.0,72.7,51.5,94.8
1957.0,12.0,91.4,70.0,112.9
1958.0,1.0,53.3,33.7,75.5
1958.0,2.0,29.7,15.1,47.5
1958.0,3.0,26.3,13.2,42.7
1958.0,4.0,65.3,44.7,86.7
1958.0,5.0,52.7,31.1,76.9
1958.0,6.0,104.9,77.5,129.8
1958.0,7.0,115.2,88.3,141.3
1958.0,8.0,98.4,74.3,120.7
1958.0,9.0,114.4,90.7,138.2
1958.0,10.0,77.4,54.9,98.8
1958.0,11.0,75.3,53.7,97.4
1958.0,12.0,45.6,28.7,65.4
1959.0,1.0,132.6,107.1,156.4
1959.0,2.0,92.2,69.9,114.5
1959.0,3.0,80.1,58.9,102.8
1959.0,4.0,99.1,75.3,122.6
1959.0,5.0,83.2,60.6,107.3
1959.0,6.0,39.5,19.9,61.0
1959.0,7.0,69.0,46.1,91.3
1959.0,8.0,57.2,35.4,77.8
1959.0,9.0,66.9,41.8,89.4
1959.0,10.0,122.9,99.2,149.0
1959.0,11.0,79.7,57.5,100.9
1959.0,12.0,99.6,76.9,123.2
1960.0,1.0,90.3,67.9,111.2
1960.0,2.0,71.8,49.5,94.5
1960.0,3.0,41.6,23.4,62.2
1960.0,4.0,88.1,67.6,113.0
1960.0,5.0,110.3,88.1,134.7
1960.0,6.0,106.0,79.7,129.0
1960.0,7.0,88.3,66.4,110.8
1960.0,8.0,72.6,51.5,94.1
1960.0,9.0,47.2,26.5,66.9
1960.0,10.0,59.1,38.9,80.9
1960.0,11.0,50.0,31.0,71.3
1960.0,12.0,36.2,21.5,53.3
1961.0,1.0,37.0,21.6,54.5
