Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,238.3,230.6,246.9
1950.0,2.0,136.2,128.5,144.4
1950.0,3.0,162.6,155.1,170.5
1950.0,4.0,161.4,154.3,168.4
1950.0,5.0,68.1,60.8,75.4
1950.0,6.0,50.4,45.4,55.3
1950.0,7.0,35.7,31.9,39.7
1950.0,8.0,23.3,19.6,26.8
1950.0,9.0,57.3,52.5,61.6
1950.0,10.0,72.2,67.3,78.0
1950.0,11.0,90.9,85.0,96.9
1950.0,12.0,90.4,84.0,98.2
1951.0,1.0,134.2,126.5,142.2
1951.0,2.0,115.8,108.4,124.0
1951.0,3.0,139.7,132.0,147.8
1951.0,4.0,122.1,115.1,128.9
1951.0,5.0,81.8,74.7,89.3
1951.0,6.0,47.0,42.0,51.5
1951.0,7.0,34.0,30.3,38.4
1951.0,8.0,18.7,15.2,22.2
1951.0,9.0,25.1,21.1,29.8
1951.0,10.0,68.0,63.0,73.5
1951.0,11.0,104.2,98.1,110.9
1951.0,12.0,82.1,75.6,90.2
1952.0,1.0,198.1,190.6,206.5
1952.0,2.0,100.5,92.8,108.3
1952.0,3.0,134.5,126.8,142.5
1952.0,4.0,116.0,108.7,123.0
1952.0,5.0,78.9,71.4,86.1
1952.0,6.0,27.6,22.5,32.3
1952.0,7.0,21.4,17.8,25.5
1952.0,8.0,20.8,17.3,24.2
1952.0,9.0,34.5,30.3,38.7
1952.0,10.0,32.2,27.2,37.6
1952.0,11.0,56.7,50.5,63.0
1952.0,12.0,80.7,74.0,88.1
1953.0,1.0,94.3,86.3,102.4
1953.0,2.0,54.8,47.2,62.8
1953.0,3.0,97.0,89.3,105.3
1953.0,4.0,80.1,72.6,87.0
1953.0,5.0,74.0,66.3,80.9
1953.0,6.0,28.0,23.3,32.7
1953.0,7.0,21.3,18.1,25.3
1953.0,8.0,23.8,20.1,27.7
1953.0,9.0,21.1,16.9,25.8
1953.0,10.0,24.5,19.8,30.3
1953.0,11.0,34.9,29.0,41.3
1953.0,12.0,70.1,63.7,77.9
1954.0,1.0,86.6,78.8,94.9
1954.0,2.0,90.8,83.2,98.7
1954.0,3.0,139.8,132.0,147.6
1954.0,4.0,159.3,152.0,166.2
1954.0,5.0,53.0,45.6,59.9
1954.0,6.0,42.8,37.9,48.0
1954.0,7.0,27.5,23.6,31.3
1954.0,8.0,30.2,26.3,33.6
1954.0,9.0,19.9,16.1,24.5
1954.0,10.0,172.3,167.0,178.0
1954.0,11.0,64.0,58.0,70.5
1954.0,12.0,67.4,60.8,75.4
1955.0,1.0,89.1,81.2,97.1
1955.0,2.0,72.7,64.9,81.0
1955.0,3.0,141.4,134.1,149.3
1955.0,4.0,94.2,86.5,101.2
1955.0,5.0,42.1,34.9,49.1
1955.0,6.0,29.5,24.6,34.3
1955.0,7.0,25.0,21.3,28.9
1955.0,8.0,28.0,24.6,31.5
1955.0,9.0,20.5,16.6,25.5
1955.0,10.0,111.9,106.8,117.5
1955.0,11.0,104.7,98.6,110.9
1955.0,12.0,54.1,47.6,62.3
1956.0,1.0,41.6,33.9,50.0
1956.0,2.0,89.5,81.5,97.6
1956.0,3.0,146.9,139.1,155.1
1956.0,4.0,111.9,104.9,118.9
1956.0,5.0,136.5,129.2,143.8
1956.0,6.0,43.3,38.4,48.4
1956.0,7.0,28.6,25.3,32.6
1956.0,8.0,38.9,35.3,42.6
1956.0,9.0,21.9,18.0,26.5
1956.0,10.0,26.5,21.5,32.4
1956.0,11.0,41.7,36.0,47.5
1956.0,12.0,81.8,75.4,89.7
1957.0,1.0,75.6,67.7,83.8
1957.0,2.0,72.9,65.5,80.6
1957.0,3.0,74.3,66.7,82.5
1957.0,4.0,165.3,157.9,172.6
1957.0,5.0,67.9,60.6,75.0
1957.0,6.0,48.3,43.7,53.3
1957.0,7.0,42.5,38.8,46.9
1957.0,8.0,19.1,15.6,22.7
1957.0,9.0,41.9,37.7,46.6
1957.0,10.0,72.0,67.0,77.4
1957.0,11.0,73.3,67.6,79.6
1957.0,12.0,120.2,113.9,128.4
1958.0,1.0,69.8,62.2,78.0
1958.0,2.0,39.3,31.6,47.1
1958.0,3.0,61.4,53.6,69.3
1958.0,4.0,73.6,66.3,80.6
1958.0,5.0,46.5,39.3,53.9
1958.0,6.0,52.3,47.3,57.2
1958.0,7.0,41.1,37.1,44.8
1958.0,8.0,33.6,29.6,37.3
1958.0,9.0,36.6,32.3,41.3
1958.0,10.0,32.6,27.7,38.5
1958.0,11.0,79.1,72.9,85.2
1958.0,12.0,41.4,35.1,49.8
1959.0,1.0,104.0,96.1,112.5
1959.0,2.0,125.9,118.2,134.0
1959.0,3.0,118.0,110.5,126.0
1959.0,4.0,132.6,125.6,139.5
1959.0,5.0,88.7,81.6,95.8
1959.0,6.0,31.7,27.0,37.0
1959.0,7.0,24.0,20.3,28.1
1959.0,8.0,20.7,17.3,24.5
1959.0,9.0,26.1,22.1,30.9
1959.0,10.0,112.9,107.7,118.4
1959.0,11.0,92.8,86.7,98.9
