Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,38.810083,24.782761,50.575398
1950.0,2.0,40.703714,27.639879,52.27195
1950.0,3.0,26.439582,13.85604,37.334006
1950.0,4.0,16.34569,4.355137,29.023538
1950.0,5.0,10.83465,-0.563622,23.9615
1950.0,6.0,46.156528,32.782536,59.166144
1950.0,7.0,75.147753,61.787637,87.94352
1950.0,8.0,112.255312,99.299224,126.588604
1950.0,9.0,157.486252,143.279374,173.535927
1950.0,10.0,142.233892,128.086253,159.544487
1950.0,11.0,188.427379,172.412844,204.107599
1950.0,12.0,84.485769,67.219288,98.601494
1951.0,1.0,36.015906,23.267636,49.645014
1951.0,2.0,15.600294,2.659126,26.507311
1951.0,3.0,15.967019,5.0512,27.513845
1951.0,4.0,7.804319,-3.595328,19.292398
1951.0,5.0,18.074124,4.677073,30.702174
1951.0,6.0,36.2593,22.923206,51.030498
1951.0,7.0,78.626976,65.630955,92.516582
1951.0,8.0,123.546874,110.750935,137.393035
1951.0,9.0,178.078776,162.517528,193.13392
1951.0,10.0,170.086475,155.858607,184.468479
1951.0,11.0,167.580032,152.198315,183.137029
1951.0,12.0,79.766804,65.816767,95.707152
1952.0,1.0,34.510231,20.050327,46.213641
1952.0,2.0,26.823418,14.712827,40.310933
1952.0,3.0,20.403616,8.507804,32.108189
1952.0,4.0,10.189719,-1.291334,22.943807
1952.0,5.0,28.829736,16.185297,41.171868
1952.0,6.0,35.586359,23.041155,51.582836
1952.0,7.0,96.936253,83.825317,109.875024
1952.0,8.0,119.739543,106.05247,134.805957
1952.0,9.0,178.700144,164.236071,195.027113
1952.0,10.0,244.312868,230.668695,257.859448
1952.0,11.0,118.809763,103.113315,137.276418
1952.0,12.0,81.935047,69.130966,96.270036
1953.0,1.0,41.601045,29.483259,57.012325
1953.0,2.0,39.370193,28.041074,52.810799
1953.0,3.0,22.326925,11.437644,33.971966
1953.0,4.0,31.849674,20.413768,45.243902
1953.0,5.0,19.514796,7.16254,32.798423
1953.0,6.0,33.161657,18.522297,46.209542
1953.0,7.0,94.302133,80.29368,107.4285
1953.0,8.0,116.760983,103.899078,131.638339
1953.0,9.0,197.620625,183.1157,213.529477
1953.0,10.0,160.339157,146.616708,175.859878
1953.0,11.0,149.277099,132.961112,164.120273
1953.0,12.0,127.672902,115.783454,143.206466
1954.0,1.0,52.99104,42.084627,67.76022
1954.0,2.0,19.225544,7.297739,31.840752
1954.0,3.0,31.955228,20.632008,43.939997
1954.0,4.0,10.074774,-1.57241,22.624063
1954.0,5.0,36.433177,23.749061,48.832624
1954.0,6.0,37.135689,25.085233,50.26625
1954.0,7.0,87.053268,74.538449,99.977396
1954.0,8.0,130.056573,116.867821,144.14238
1954.0,9.0,148.014603,132.892749,163.760992
1954.0,10.0,176.256985,162.009627,190.447866
1954.0,11.0,141.217641,124.454827,156.485245
1954.0,12.0,99.001478,83.984908,111.41113
1955.0,1.0,54.083992,39.055286,66.343269
1955.0,2.0,21.459905,9.668187,32.740154
1955.0,3.0,23.168377,11.731853,33.107386
1955.0,4.0,6.32449,-4.21187,19.37065
1955.0,5.0,31.698559,20.076202,45.421197
1955.0,6.0,52.610254,39.161425,66.401097
1955.0,7.0,79.754917,65.674726,91.873728
1955.0,8.0,139.677638,125.556636,153.04137
1955.0,9.0,182.670145,167.029159,199.254958
1955.0,10.0,207.128474,194.198337,222.427718
1955.0,11.0,180.192002,166.160816,197.445328
1955.0,12.0,85.420764,72.404744,100.400663
1956.0,1.0,47.390855,33.534446,66.019386
1956.0,2.0,26.8351,15.122883,41.048379
1956.0,3.0,19.618396,6.068152,29.101911
1956.0,4.0,12.965229,0.669118,24.90072
1956.0,5.0,19.746498,4.989907,31.884026
