Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,366.3597,337.2936,393.9257
1950.0,2.0,191.138,165.5549,215.4448
1950.0,3.0,232.8895,207.1423,259.8878
1950.0,4.0,246.3361,220.2728,275.498
1950.0,5.0,104.1648,78.4058,130.2391
1950.0,6.0,74.185,44.9354,101.9688
1950.0,7.0,64.5298,38.7142,91.3856
1950.0,8.0,-20.6496,-46.0563,2.7913
1950.0,9.0,-14.4926,-42.2156,13.1262
1950.0,10.0,21.5283,-2.9213,48.4506
1950.0,11.0,43.3733,13.6062,70.1557
1950.0,12.0,101.2818,74.0352,128.6084
1951.0,1.0,178.2424,155.0125,202.2686
1951.0,2.0,207.0923,182.2898,232.027
1951.0,3.0,219.7077,193.0505,248.8237
1951.0,4.0,201.8582,176.3681,227.4794
1951.0,5.0,142.2509,115.0536,168.6216
1951.0,6.0,92.9664,67.4348,120.5684
1951.0,7.0,25.8962,0.5237,49.9623
1951.0,8.0,-56.428,-79.5141,-32.3175
1951.0,9.0,-79.5951,-104.9282,-53.282
1951.0,10.0,-20.5005,-45.8324,7.8743
1951.0,11.0,36.551,11.1969,64.3957
1951.0,12.0,91.3801,67.729,119.4681
1952.0,1.0,282.7632,258.3459,306.9578
1952.0,2.0,126.8269,104.486,149.2586
1952.0,3.0,174.5793,150.1133,199.6484
1952.0,4.0,181.219,157.0659,207.5797
1952.0,5.0,136.2757,110.5742,164.9242
1952.0,6.0,27.8199,5.2192,51.316
1952.0,7.0,-16.4849,-39.6483,8.6585
1952.0,8.0,-16.9839,-42.4603,8.0231
1952.0,9.0,-70.1623,-94.9627,-43.6034
1952.0,10.0,-168.4187,-190.4537,-147.7728
1952.0,11.0,-10.7009,-35.8569,13.0189
1952.0,12.0,59.1082,35.5603,81.9768
1953.0,1.0,116.5803,92.3624,141.1967
1953.0,2.0,46.2554,27.1459,66.8216
1953.0,3.0,132.863,107.8091,158.3342
1953.0,4.0,100.5,78.1543,124.4686
1953.0,5.0,172.9227,146.9673,199.9732
1953.0,6.0,56.9086,32.4715,80.7727
1953.0,7.0,-2.8338,-27.901,20.4491
1953.0,8.0,-31.2392,-53.3346,-7.349
