Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,95.709892,81.416315,110.127236
1950.0,2.0,59.667369,45.053645,73.349241
1950.0,3.0,36.461632,23.374067,47.8038
1950.0,4.0,23.005784,10.806646,35.571254
1950.0,5.0,0.003105,-10.991856,10.927762
1950.0,6.0,-0.185198,-12.558747,12.95516
1950.0,7.0,14.147797,0.029098,27.726384
1950.0,8.0,47.475357,33.101672,62.092494
1950.0,9.0,50.110613,36.400673,64.765222
1950.0,10.0,59.850288,46.763538,72.819178
1950.0,11.0,120.44593,104.776653,136.278509
1950.0,12.0,109.606297,93.266352,124.600907
1951.0,1.0,67.166145,51.387053,80.864723
1951.0,2.0,36.210475,22.742265,49.865009
1951.0,3.0,31.352625,18.993189,42.788955
1951.0,4.0,3.084332,-9.139088,15.128047
1951.0,5.0,-0.514043,-11.755425,10.136819
1951.0,6.0,4.645428,-7.614079,17.76709
1951.0,7.0,9.170894,-4.483308,22.852026
1951.0,8.0,36.556564,21.065866,50.979483
1951.0,9.0,73.95138,58.632879,89.713317
1951.0,10.0,70.16417,57.644907,84.575628
1951.0,11.0,117.362031,101.94829,132.566591
1951.0,12.0,97.528414,81.946625,111.888694
1952.0,1.0,58.279241,44.821768,72.354059
1952.0,2.0,46.452621,33.408927,60.164689
1952.0,3.0,33.09744,21.062598,45.024244
1952.0,4.0,4.26577,-8.187563,16.108497
1952.0,5.0,0.541052,-10.30003,11.429247
1952.0,6.0,1.18121,-10.862235,13.18714
1952.0,7.0,16.984848,2.493539,31.063016
1952.0,8.0,41.402154,27.179735,56.726556
1952.0,9.0,76.28204,61.862183,90.959449
1952.0,10.0,136.726343,125.113189,150.131887
1952.0,11.0,86.494112,72.572386,102.404597
1952.0,12.0,85.369035,69.170431,100.431478
1953.0,1.0,85.503822,71.66749,99.04015
1953.0,2.0,56.644636,42.496209,70.526285
1953.0,3.0,31.182422,18.892603,42.8919
1953.0,4.0,23.851876,12.082058,35.249188
1953.0,5.0,3.046276,-8.582551,13.893345
1953.0,6.0,1.298347,-10.889833,13.098742
1953.0,7.0,33.008717,20.534178,48.391528
1953.0,8.0,42.542443,28.183299,57.68011
1953.0,9.0,94.949977,80.593226,108.750933
1953.0,10.0,74.946245,60.968501,87.506569
1953.0,11.0,95.718676,81.11245,112.63941
1953.0,12.0,126.018315,111.148283,140.966812
1954.0,1.0,116.045394,102.76592,130.78073
1954.0,2.0,41.597624,26.864899,54.413843
1954.0,3.0,56.973478,45.525164,68.875961
1954.0,4.0,19.689156,7.455462,32.180805
1954.0,5.0,7.22193,-3.757405,18.300796
1954.0,6.0,3.790248,-7.720489,16.635309
1954.0,7.0,26.423003,12.29381,40.041811
1954.0,8.0,58.378938,43.971343,72.65975
1954.0,9.0,58.859154,44.862346,73.438254
1954.0,10.0,76.974588,62.201937,90.407449
1954.0,11.0,86.40343,71.964797,100.936753
1954.0,12.0,109.105607,93.360201,123.136708
1955.0,1.0,97.587901,83.03296,112.166795
1955.0,2.0,52.892788,38.365522,67.679692
1955.0,3.0,46.790578,33.800393,58.987033
1955.0,4.0,4.616327,-7.7189,17.027536
1955.0,5.0,6.309748,-4.370982,17.669427
1955.0,6.0,13.516452,1.832572,25.355467
1955.0,7.0,31.618911,18.4031,45.385726
1955.0,8.0,71.810797,56.602062,86.889716
1955.0,9.0,93.153539,78.466784,106.861386
1955.0,10.0,83.446972,70.487396,97.550154
1955.0,11.0,132.326441,117.426228,147.271963
1955.0,12.0,129.586413,114.672739,142.816768
1956.0,1.0,73.309367,59.79454,88.429774
1956.0,2.0,51.209966,37.929438,65.239475
1956.0,3.0,36.849381,23.058988,48.17074
1956.0,4.0,17.232685,4.785891,28.563544
1956.0,5.0,0.376888,-11.115365,11.374804
1956.0,6.0,4.700365,-7.275791,17.040009
1956.0,7.0,19.880154,6.144423,32.863745
1956.0,8.0,32.693107,16.464099,47.402003
1956.0,9.0,80.335775,65.037035,94.67076
1956.0,10.0,59.233728,45.302486,72.830044
1956.0,11.0,108.816325,94.310433,123.19904
1956.0,12.0,97.548864,83.457326,111.405394
