Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,100.332,80.52,120.577
1950.0,2.0,71.17,50.258,91.159
1950.0,3.0,122.385,104.226,140.764
1950.0,4.0,187.368,167.271,206.862
1950.0,5.0,166.653,147.72,185.399
1950.0,6.0,161.527,141.227,181.737
1950.0,7.0,127.257,108.709,148.623
1950.0,8.0,67.934,49.628,87.849
1950.0,9.0,64.354,45.355,84.289
1950.0,10.0,50.218,31.147,70.838
1950.0,11.0,23.088,2.463,43.711
1950.0,12.0,34.362,14.172,53.98
1951.0,1.0,69.887,51.164,87.208
1951.0,2.0,94.529,78.936,111.107
1951.0,3.0,141.15,124.649,158.781
1951.0,4.0,270.841,253.578,288.627
1951.0,5.0,162.765,146.262,181.454
1951.0,6.0,127.409,110.172,144.624
1951.0,7.0,160.631,142.674,178.852
1951.0,8.0,98.436,81.508,115.885
1951.0,9.0,55.224,36.581,73.001
1951.0,10.0,155.066,135.965,173.917
1951.0,11.0,81.186,62.344,100.757
1951.0,12.0,61.11,43.261,79.276
1952.0,1.0,113.508,96.613,129.611
1952.0,2.0,64.298,48.501,80.962
1952.0,3.0,112.683,96.529,130.966
1952.0,4.0,211.402,194.424,229.774
1952.0,5.0,164.388,146.849,182.168
1952.0,6.0,131.458,115.682,148.839
1952.0,7.0,162.559,144.246,179.07
1952.0,8.0,88.241,70.602,105.076
1952.0,9.0,9.65,-6.299,27.277
1952.0,10.0,-67.967,-83.345,-50.257
1952.0,11.0,55.271,35.356,72.548
1952.0,12.0,46.554,29.292,64.437
1953.0,1.0,35.763,18.863,51.053
1953.0,2.0,64.816,47.45,81.512
1953.0,3.0,129.906,113.595,146.268
1953.0,4.0,145.49,129.346,161.634
1953.0,5.0,177.934,159.924,195.495
1953.0,6.0,156.748,140.144,175.01
1953.0,7.0,91.491,74.439,107.895
1953.0,8.0,69.484,52.999,85.57
1953.0,9.0,8.735,-9.1,26.375
1953.0,10.0,18.519,1.909,35.361
1953.0,11.0,-11.778,-29.936,6.125
1953.0,12.0,-9.161,-26.824,8.705
1954.0,1.0,-6.351,-22.619,9.741
1954.0,2.0,88.447,72.403,104.113
1954.0,3.0,89.712,72.737,106.87
1954.0,4.0,199.788,183.32,218.538
1954.0,5.0,166.234,149.229,181.939
1954.0,6.0,206.956,189.798,224.322
1954.0,7.0,96.911,80.471,113.459
1954.0,8.0,52.195,35.887,69.019
1954.0,9.0,97.421,80.579,115.255
1954.0,10.0,208.652,190.849,227.137
1954.0,11.0,53.808,36.592,72.133
1954.0,12.0,18.755,2.009,36.16
1955.0,1.0,37.53,20.299,54.212
1955.0,2.0,42.359,26.423,57.844
1955.0,3.0,80.323,64.431,98.894
1955.0,4.0,183.303,166.978,202.372
1955.0,5.0,131.256,115.483,147.789
1955.0,6.0,90.092,73.584,106.786
1955.0,7.0,52.426,35.795,69.041
1955.0,8.0,18.872,2.327,35.678
1955.0,9.0,-28.419,-44.242,-12.003
1955.0,10.0,75.055,57.394,92.522
1955.0,11.0,18.097,0.246,35.247
1955.0,12.0,-19.524,-37.248,-2.681
1956.0,1.0,14.448,-0.846,30.501
1956.0,2.0,38.635,22.719,54.196
1956.0,3.0,81.381,64.148,97.805
1956.0,4.0,164.449,147.106,181.368
1956.0,5.0,227.671,210.795,244.969
1956.0,6.0,127.562,111.152,144.203
1956.0,7.0,122.262,105.175,138.512
1956.0,8.0,115.501,98.166,132.434
1956.0,9.0,8.668,-9.073,25.691
1956.0,10.0,32.673,16.386,50.669
1956.0,11.0,13.937,-3.948,32.01
1956.0,12.0,12.248,-4.399,29.713
1957.0,1.0,-1.777,-18.951,16.038
1957.0,2.0,42.797,27.364,57.195
1957.0,3.0,70.499,54.608,85.012
1957.0,4.0,139.043,122.817,154.616
1957.0,5.0,180.682,164.934,198.347
1957.0,6.0,164.141,147.528,181.71
1957.0,7.0,126.532,110.133,142.835
1957.0,8.0,30.968,14.355,46.119
1957.0,9.0,48.188,29.976,65.288
1957.0,10.0,53.448,36.086,70.88
1957.0,11.0,77.094,59.514,95.83
1957.0,12.0,59.57,41.637,76.661
1958.0,1.0,32.891,14.325,50.49
1958.0,2.0,9.528,-6.164,24.181
1958.0,3.0,54.184,39.784,67.394
1958.0,4.0,81.786,66.649,96.472
1958.0,5.0,69.356,54.217,84.639
1958.0,6.0,105.694,88.632,124.131
1958.0,7.0,100.466,83.534,117.794
1958.0,8.0,47.586,31.99,63.728
1958.0,9.0,62.611,45.159,79.564
1958.0,10.0,35.944,18.152,53.944
1958.0,11.0,1.132,-17.383,21.235
1958.0,12.0,-34.517,-52.146,-16.57
1959.0,1.0,28.009,10.883,45.223
1959.0,2.0,60.418,44.813,75.583
1959.0,3.0,110.909,95.021,127.14
1959.0,4.0,233.427,215.486,249.994
