Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,104.7,99.4,110.0
1950.0,2.0,65.8,61.6,70.6
1950.0,3.0,81.9,76.8,87.1
1950.0,4.0,125.2,119.2,132.5
1950.0,5.0,110.9,104.8,117.8
1950.0,6.0,66.5,62.3,70.8
1950.0,7.0,50.2,46.4,53.4
1950.0,8.0,38.5,35.0,41.4
1950.0,9.0,38.2,34.9,41.8
1950.0,10.0,40.5,36.0,45.9
1950.0,11.0,54.8,49.9,60.5
1950.0,12.0,61.1,56.2,66.9
1951.0,1.0,69.6,64.7,75.4
1951.0,2.0,59.1,54.9,64.5
1951.0,3.0,90.4,85.1,95.5
1951.0,4.0,155.8,149.7,162.5
1951.0,5.0,98.8,92.7,105.6
1951.0,6.0,66.7,62.4,70.8
1951.0,7.0,54.6,50.9,57.9
1951.0,8.0,40.8,37.4,43.9
1951.0,9.0,39.3,36.0,42.7
1951.0,10.0,78.5,73.7,83.6
1951.0,11.0,98.4,93.3,103.9
1951.0,12.0,80.4,74.9,85.9
1952.0,1.0,87.7,82.9,93.3
1952.0,2.0,71.3,66.3,75.8
1952.0,3.0,75.5,70.1,80.6
1952.0,4.0,118.1,111.8,125.2
1952.0,5.0,78.8,72.2,85.3
1952.0,6.0,57.7,53.5,62.1
1952.0,7.0,49.8,46.1,53.1
1952.0,8.0,40.4,36.7,43.2
1952.0,9.0,32.5,29.1,36.3
1952.0,10.0,35.3,30.8,40.4
1952.0,11.0,57.3,52.1,63.1
1952.0,12.0,80.3,74.9,85.8
1953.0,1.0,69.3,63.9,74.5
1953.0,2.0,62.8,58.0,67.1
1953.0,3.0,95.8,90.4,100.8
1953.0,4.0,110.0,103.6,117.0
1953.0,5.0,92.5,86.5,99.2
1953.0,6.0,67.2,62.9,71.5
1953.0,7.0,50.5,46.4,53.5
1953.0,8.0,39.1,35.9,41.9
1953.0,9.0,33.2,30.2,37.0
1953.0,10.0,39.3,34.7,44.7
1953.0,11.0,44.6,39.3,49.9
1953.0,12.0,61.2,55.9,66.8
1954.0,1.0,67.9,62.9,72.9
1954.0,2.0,76.7,71.7,81.3
1954.0,3.0,95.6,90.0,100.4
1954.0,4.0,123.3,116.9,130.1
1954.0,5.0,106.1,99.5,112.6
1954.0,6.0,80.6,75.5,84.5
1954.0,7.0,53.2,49.3,56.2
1954.0,8.0,39.8,36.7,42.7
1954.0,9.0,43.4,39.5,46.7
1954.0,10.0,119.9,115.0,125.0
1954.0,11.0,82.6,76.8,87.9
1954.0,12.0,68.7,63.8,74.4
1955.0,1.0,65.4,60.4,71.0
1955.0,2.0,51.1,46.2,55.7
