Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,307.598,275.42,337.347
1950.0,2.0,158.645,127.174,185.674
1950.0,3.0,223.517,195.493,256.206
1950.0,4.0,326.204,295.828,357.883
1950.0,5.0,168.3,140.155,197.372
1950.0,6.0,130.542,101.905,158.42
1950.0,7.0,91.743,64.297,119.137
1950.0,8.0,74.366,50.638,99.904
1950.0,9.0,23.252,-2.628,50.794
1950.0,10.0,146.229,116.403,175.065
1950.0,11.0,192.401,160.095,222.858
1950.0,12.0,177.055,146.533,208.33
1951.0,1.0,206.159,176.371,236.101
1951.0,2.0,218.583,190.093,250.752
1951.0,3.0,335.529,303.631,365.993
1951.0,4.0,427.323,396.691,460.9
1951.0,5.0,209.0,179.258,237.368
1951.0,6.0,175.132,145.19,205.89
1951.0,7.0,163.038,134.283,191.9
1951.0,8.0,29.05,5.476,56.743
1951.0,9.0,38.052,13.702,63.319
1951.0,10.0,69.35,42.569,99.912
1951.0,11.0,127.636,97.706,158.142
1951.0,12.0,156.222,128.304,186.425
1952.0,1.0,218.043,188.812,248.834
1952.0,2.0,171.681,141.856,202.361
1952.0,3.0,221.266,190.347,251.505
1952.0,4.0,309.894,280.727,340.273
1952.0,5.0,267.651,236.182,297.308
1952.0,6.0,101.716,73.475,129.872
1952.0,7.0,74.835,47.179,104.289
1952.0,8.0,32.187,6.702,59.513
1952.0,9.0,41.433,15.959,67.337
1952.0,10.0,37.052,10.585,65.388
1952.0,11.0,89.268,63.198,117.524
1952.0,12.0,171.627,141.166,201.658
1953.0,1.0,140.906,109.659,168.525
1953.0,2.0,104.405,74.209,132.972
1953.0,3.0,256.388,225.453,286.173
1953.0,4.0,181.618,153.4,209.805
1953.0,5.0,346.932,315.549,376.573
1953.0,6.0,130.05,102.88,159.853
1953.0,7.0,60.458,34.037,88.739
1953.0,8.0,48.804,23.162,75.516
1953.0,9.0,47.224,23.6,73.49
1953.0,10.0,41.246,14.067,68.483
1953.0,11.0,55.173,27.242,84.097
1953.0,12.0,103.053,73.105,132.788
1954.0,1.0,81.443,52.107,109.673
1954.0,2.0,252.259,222.339,282.962
1954.0,3.0,263.909,233.239,292.926
1954.0,4.0,385.254,355.77,416.414
1954.0,5.0,233.107,203.022,264.012
1954.0,6.0,148.989,118.011,178.402
1954.0,7.0,25.646,0.89,51.767
1954.0,8.0,46.55,20.284,71.466
1954.0,9.0,83.148,58.176,109.426
1954.0,10.0,182.992,153.903,215.17
1954.0,11.0,153.61,124.448,185.833
1954.0,12.0,146.842,116.683,173.723
1955.0,1.0,117.143,88.656,148.673
1955.0,2.0,105.521,75.619,134.844
1955.0,3.0,338.923,307.536,369.74
1955.0,4.0,310.634,276.522,339.63
1955.0,5.0,156.998,128.079,187.28
1955.0,6.0,69.785,44.129,97.598
1955.0,7.0,39.737,13.896,67.624
1955.0,8.0,77.238,52.232,104.848
1955.0,9.0,11.264,-14.927,36.162
1955.0,10.0,410.525,376.989,443.458
1955.0,11.0,136.996,107.827,166.089
1955.0,12.0,57.81,26.038,87.507
1956.0,1.0,52.057,22.611,79.69
1956.0,2.0,109.593,79.833,138.786
1956.0,3.0,233.487,202.789,263.649
1956.0,4.0,378.895,348.315,410.245
1956.0,5.0,376.212,348.058,408.31
1956.0,6.0,148.551,118.961,176.391
1956.0,7.0,97.269,70.085,124.293
1956.0,8.0,101.469,74.386,128.02
1956.0,9.0,50.994,23.536,77.812
1956.0,10.0,64.702,40.201,93.487
1956.0,11.0,25.49,-1.991,53.663
1956.0,12.0,97.531,67.068,130.287
1957.0,1.0,99.738,71.586,128.0
1957.0,2.0,120.239,93.817,150.029
1957.0,3.0,174.678,145.003,203.647
1957.0,4.0,221.812,192.388,252.287
1957.0,5.0,204.761,175.357,234.243
1957.0,6.0,176.806,147.4,207.2
1957.0,7.0,91.005,63.854,119.443
1957.0,8.0,-13.521,-36.718,12.451
1957.0,9.0,64.864,37.487,92.818
1957.0,10.0,33.84,9.271,61.884
1957.0,11.0,70.405,39.787,101.104
1957.0,12.0,162.861,133.159,193.235
1958.0,1.0,86.968,56.986,115.438
1958.0,2.0,79.308,50.862,107.348
1958.0,3.0,198.214,168.566,226.113
1958.0,4.0,219.226,191.149,247.327
1958.0,5.0,177.441,151.196,207.262
1958.0,6.0,144.313,116.853,174.565
1958.0,7.0,110.662,83.389,139.138
1958.0,8.0,55.54,30.609,79.328
1958.0,9.0,105.026,77.623,133.7
1958.0,10.0,94.6,69.474,125.382
1958.0,11.0,87.987,58.971,119.012
1958.0,12.0,19.25,-10.849,49.378
1959.0,1.0,132.657,101.455,162.474
1959.0,2.0,120.122,90.334,151.054
1959.0,3.0,203.621,171.441,230.735
1959.0,4.0,391.847,361.551,423.621
1959.0,5.0,222.15,190.559,251.311
1959.0,6.0,108.343,82.434,137.905
1959.0,7.0,120.406,91.64,146.705
1959.0,8.0,41.014,17.443,67.024
1959.0,9.0,8.283,-15.042,33.399
1959.0,10.0,193.612,163.574,223.82
1959.0,11.0,135.785,104.338,166.848
1959.0,12.0,248.534,216.622,279.496
1960.0,1.0,131.392,103.032,162.197
1960.0,2.0,214.131,183.483,244.391
1960.0,3.0,98.683,70.307,127.442
1960.0,4.0,462.186,430.639,494.747
1960.0,5.0,338.796,310.442,370.726
1960.0,6.0,195.487,166.31,226.92
1960.0,7.0,69.453,43.713,97.135
1960.0,8.0,37.674,13.247,63.375
1960.0,9.0,-10.751,-32.621,11.499
1960.0,10.0,54.796,28.599,83.016
1960.0,11.0,62.38,33.113,92.801
1960.0,12.0,-28.091,-54.706,1.947
1961.0,1.0,1.891,-25.478,28.347
1961.0,2.0,132.413,103.152,161.246
1961.0,3.0,234.206,205.279,263.666
1961.0,4.0,304.316,274.418,332.286
1961.0,5.0,251.026,218.277,278.327
1961.0,6.0,211.108,179.63,240.343
1961.0,7.0,117.5,90.495,146.483
1961.0,8.0,40.623,16.853,66.087
1961.0,9.0,-1.66,-23.447,23.63
1961.0,10.0,27.978,0.666,54.316
1961.0,11.0,77.557,48.508,104.944
1961.0,12.0,63.975,32.774,92.78
1962.0,1.0,57.833,26.738,84.92
1962.0,2.0,89.849,61.69,119.399
1962.0,3.0,155.556,126.965,186.072
1962.0,4.0,264.033,232.556,293.419
1962.0,5.0,168.054,138.267,197.02
1962.0,6.0,111.396,82.56,138.142
1962.0,7.0,49.183,24.478,76.87
1962.0,8.0,60.003,35.32,87.8
1962.0,9.0,59.843,34.307,83.699
1962.0,10.0,133.472,102.427,161.672
1962.0,11.0,99.472,71.314,127.124
1962.0,12.0,53.285,23.845,83.684
1963.0,1.0,22.498,-6.554,51.781
1963.0,2.0,20.411,-7.392,47.068
1963.0,3.0,185.795,158.128,215.715
1963.0,4.0,327.104,294.056,355.058
1963.0,5.0,246.43,217.351,277.787
1963.0,6.0,81.493,54.513,108.689
1963.0,7.0,60.16,35.308,84.746
1963.0,8.0,43.819,18.469,71.84
1963.0,9.0,2.174,-21.433,29.059
1963.0,10.0,25.401,-0.956,51.826
1963.0,11.0,160.584,131.05,189.774
1963.0,12.0,101.374,74.37,134.261
1964.0,1.0,123.326,91.375,152.633
1964.0,2.0,80.772,51.653,108.418
1964.0,3.0,227.605,198.036,256.972
1964.0,4.0,256.705,227.374,287.526
1964.0,5.0,182.021,150.222,214.06
1964.0,6.0,86.405,60.498,115.426
1964.0,7.0,76.249,49.342,105.011
1964.0,8.0,61.715,33.54,86.94
1964.0,9.0,-6.836,-29.853,16.979
1964.0,10.0,25.585,-0.531,53.548
1964.0,11.0,47.273,20.841,74.593
1964.0,12.0,108.284,77.625,137.779
1965.0,1.0,91.389,61.65,122.237
1965.0,2.0,201.052,170.913,230.812
1965.0,3.0,138.241,109.368,165.321
1965.0,4.0,262.522,231.993,294.134
1965.0,5.0,149.131,120.499,180.95
1965.0,6.0,99.652,71.785,127.901
1965.0,7.0,73.834,47.08,100.89
1965.0,8.0,63.588,36.488,89.645
1965.0,9.0,80.412,53.915,106.068
1965.0,10.0,131.074,99.655,160.532
1965.0,11.0,191.794,159.936,222.996
1965.0,12.0,175.02,146.47,206.19
1966.0,1.0,88.533,58.813,114.661
1966.0,2.0,153.495,123.443,183.063
1966.0,3.0,281.017,248.324,311.333
1966.0,4.0,168.351,138.222,196.726
1966.0,5.0,149.795,122.103,177.614
1966.0,6.0,129.082,99.857,156.988
1966.0,7.0,38.916,14.728,65.305
1966.0,8.0,42.881,19.548,67.599
1966.0,9.0,45.236,21.198,72.373
1966.0,10.0,34.543,7.736,63.191
1966.0,11.0,173.806,142.393,205.431
1966.0,12.0,183.363,153.624,212.404
1967.0,1.0,125.454,95.685,154.063
1967.0,2.0,48.105,21.514,74.15
1967.0,3.0,100.988,74.385,128.904
1967.0,4.0,246.347,215.665,277.182
1967.0,5.0,224.357,194.144,254.399
1967.0,6.0,156.02,127.189,183.384
1967.0,7.0,87.023,60.607,115.194
1967.0,8.0,47.146,21.383,72.306
1967.0,9.0,86.428,59.324,113.483
1967.0,10.0,205.238,174.867,234.471
1967.0,11.0,226.25,197.084,260.03
1967.0,12.0,152.978,123.863,181.508
1968.0,1.0,111.035,79.536,139.923
