Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,125.357918,105.702546,143.298088
1950.0,2.0,70.413371,52.795122,89.245118
1950.0,3.0,42.505142,24.517149,58.937478
1950.0,4.0,25.310708,9.210088,41.361794
1950.0,5.0,-8.965747,-19.170108,1.87555
1950.0,6.0,-11.957904,-25.073592,0.991929
1950.0,7.0,-10.641426,-27.660063,5.093667
1950.0,8.0,5.157661,-14.382299,23.171803
1950.0,9.0,22.438937,3.98824,39.37333
1950.0,10.0,51.557999,34.18936,67.806845
1950.0,11.0,113.452701,93.523649,132.147752
1950.0,12.0,120.302412,100.220016,139.502605
1951.0,1.0,97.150958,80.4978,114.393799
1951.0,2.0,37.374421,18.724664,56.121966
1951.0,3.0,36.415908,18.168946,54.245759
1951.0,4.0,6.5691,-10.084606,21.837255
1951.0,5.0,1.012616,-8.848787,10.692654
1951.0,6.0,-2.599786,-15.775667,10.793922
1951.0,7.0,0.193243,-14.382011,16.571855
1951.0,8.0,6.377124,-13.601813,24.192616
1951.0,9.0,41.737385,23.702952,60.706147
1951.0,10.0,65.237288,48.348473,82.085717
1951.0,11.0,114.281656,96.646117,133.097837
1951.0,12.0,105.076621,85.559591,124.14548
1952.0,1.0,91.791756,74.587549,109.854973
1952.0,2.0,65.244314,48.898313,83.666763
1952.0,3.0,42.580379,25.825866,58.897417
1952.0,4.0,12.850289,-1.708578,28.689365
1952.0,5.0,8.46919,-1.820982,18.494989
1952.0,6.0,-5.161783,-18.029796,7.214255
1952.0,7.0,-14.270232,-32.157526,2.02265
1952.0,8.0,10.364755,-7.473794,27.478157
1952.0,9.0,45.255104,29.990467,62.934018
1952.0,10.0,127.424718,110.094076,143.239522
1952.0,11.0,92.796463,74.767869,110.556133
1952.0,12.0,101.794806,83.181433,121.249747
1953.0,1.0,97.206634,78.739008,114.593776
1953.0,2.0,69.243473,48.616654,88.613979
1953.0,3.0,41.295073,24.482128,57.251459
1953.0,4.0,26.808398,11.822374,42.012335
1953.0,5.0,-1.156941,-10.553956,9.515617
1953.0,6.0,-10.136574,-23.428585,2.244215
1953.0,7.0,6.791381,-9.071435,23.381246
1953.0,8.0,11.157788,-6.672782,28.234829
1953.0,9.0,75.146107,57.203677,92.532686
1953.0,10.0,67.680224,51.062488,84.978339
1953.0,11.0,101.79929,83.206023,121.072
1953.0,12.0,126.234011,108.12014,144.583727
1954.0,1.0,127.241842,107.611922,144.215191
1954.0,2.0,56.435059,38.535277,73.702738
1954.0,3.0,74.688864,57.140348,91.087023
1954.0,4.0,25.217393,11.505552,40.542139
1954.0,5.0,2.206087,-7.685939,11.759847
1954.0,6.0,-5.2586,-18.121329,7.738718
1954.0,7.0,6.967177,-7.537789,21.54972
1954.0,8.0,34.80684,18.724976,52.657398
1954.0,9.0,50.465655,33.30322,67.449325
1954.0,10.0,87.833415,72.124949,105.539117
1954.0,11.0,89.496715,71.780365,108.716891
1954.0,12.0,118.157338,99.445184,135.936374
1955.0,1.0,122.813308,104.514331,139.720059
1955.0,2.0,78.32917,60.197659,96.57119
1955.0,3.0,75.651615,58.845895,93.638537
1955.0,4.0,7.783794,-7.313017,21.323649
1955.0,5.0,6.615079,-2.63003,16.534738
1955.0,6.0,4.76422,-6.478353,17.520881
1955.0,7.0,8.736869,-7.288032,23.986638
1955.0,8.0,25.743443,8.559725,43.082481
1955.0,9.0,73.727031,56.047944,91.588784
1955.0,10.0,76.790861,59.506868,93.718698
1955.0,11.0,127.444273,107.729958,146.097867
1955.0,12.0,137.445025,117.61903,155.006411
1956.0,1.0,87.49844,70.739124,105.126694
1956.0,2.0,88.35375,72.003278,105.545398
1956.0,3.0,57.525393,42.81459,75.089229
1956.0,4.0,33.566896,20.094579,49.839077
1956.0,5.0,-0.639213,-10.787681,8.835376
1956.0,6.0,2.183457,-10.930254,15.515589
1956.0,7.0,-1.583256,-18.683643,15.535608
1956.0,8.0,19.289953,2.636331,37.084782
1956.0,9.0,58.659838,42.577615,75.80381
1956.0,10.0,62.067963,43.967749,77.907033
1956.0,11.0,117.816004,98.839478,136.105798
1956.0,12.0,115.587966,97.023863,133.151864
1957.0,1.0,127.762424,111.39043,144.300151
1957.0,2.0,55.833051,40.037397,73.981539
1957.0,3.0,24.955692,7.827264,42.352206
1957.0,4.0,13.601552,-2.499619,26.797831
1957.0,5.0,9.252982,0.346597,18.326582
1957.0,6.0,-1.979027,-15.378485,10.38658
1957.0,7.0,3.449769,-9.928807,18.218599
1957.0,8.0,26.415473,10.084653,44.37779
1957.0,9.0,59.57118,42.304454,78.603695
1957.0,10.0,77.461927,60.235083,93.00939
1957.0,11.0,110.962255,91.431015,129.008881
1957.0,12.0,118.393133,98.364102,137.631077
1958.0,1.0,85.054062,67.379003,103.141905
1958.0,2.0,87.336709,69.152324,105.730856
1958.0,3.0,38.80272,23.398633,55.852186
1958.0,4.0,33.730984,20.122616,48.048769
1958.0,5.0,9.514944,-0.030889,19.154382
1958.0,6.0,-0.946197,-13.162864,12.650665
1958.0,7.0,3.702536,-12.526477,19.036911
1958.0,8.0,40.272449,23.018804,56.777562
1958.0,9.0,43.037378,23.984201,60.609026
1958.0,10.0,72.950968,56.677093,89.616288
1958.0,11.0,122.030146,103.399476,140.344787
1958.0,12.0,146.704394,127.007377,165.95482
1959.0,1.0,119.497384,101.794308,136.116086
1959.0,2.0,60.680174,45.137674,78.776897
1959.0,3.0,34.38556,18.317352,50.605662
1959.0,4.0,18.643848,5.561865,33.189597
1959.0,5.0,-0.527596,-10.447801,9.469132
1959.0,6.0,-3.502736,-16.097304,9.388241
1959.0,7.0,7.19013,-7.496358,23.324937
1959.0,8.0,5.592301,-12.503578,24.03905
1959.0,9.0,50.201587,32.494594,68.71884
1959.0,10.0,98.531582,81.273537,115.304945
1959.0,11.0,143.930314,125.320834,162.307091
1959.0,12.0,104.40025,87.235092,123.66186
1960.0,1.0,97.481026,80.492645,115.328966
1960.0,2.0,83.753733,67.2806,101.141955
1960.0,3.0,57.58416,41.059009,72.86188
1960.0,4.0,15.320805,0.538339,29.697484
1960.0,5.0,0.942101,-9.158916,10.558136
1960.0,6.0,1.515711,-11.356572,12.907561
1960.0,7.0,5.026811,-11.516022,20.653064
1960.0,8.0,19.83826,3.014584,36.345964
1960.0,9.0,63.587915,45.00238,81.395288
1960.0,10.0,87.978862,71.32763,105.862003
1960.0,11.0,99.545495,80.780109,118.502764
1960.0,12.0,147.150826,127.949645,166.0978
1961.0,1.0,107.696979,90.034052,124.448353
1961.0,2.0,52.738878,32.538561,71.086157
1961.0,3.0,40.378042,23.482811,57.405767
