Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,91.03,72.71,111.52
1950.0,2.0,64.88,47.37,81.51
1950.0,3.0,77.05,57.97,95.55
1950.0,4.0,84.7,67.68,104.22
1950.0,5.0,55.79,39.55,72.99
1950.0,6.0,94.57,75.54,114.63
1950.0,7.0,90.96,72.5,110.31
1950.0,8.0,76.89,61.02,96.16
1950.0,9.0,76.46,58.97,96.39
1950.0,10.0,69.41,51.8,87.77
1950.0,11.0,88.19,69.76,110.25
1950.0,12.0,82.39,63.24,99.8
1951.0,1.0,66.93,51.15,83.06
1951.0,2.0,71.8,55.41,89.14
1951.0,3.0,82.18,64.43,101.35
1951.0,4.0,118.23,99.41,136.39
1951.0,5.0,63.47,46.51,79.57
1951.0,6.0,65.67,47.8,83.11
1951.0,7.0,114.95,98.43,133.47
1951.0,8.0,94.2,78.09,110.62
1951.0,9.0,89.63,73.02,108.39
1951.0,10.0,146.88,128.01,165.06
1951.0,11.0,99.66,82.17,118.97
1951.0,12.0,78.5,62.3,94.96
1952.0,1.0,83.71,67.39,101.07
1952.0,2.0,39.69,26.0,54.63
1952.0,3.0,70.54,53.81,87.01
1952.0,4.0,98.01,79.39,115.21
1952.0,5.0,86.51,68.53,103.93
1952.0,6.0,75.08,59.02,91.96
1952.0,7.0,129.58,112.34,147.58
1952.0,8.0,89.57,73.26,105.37
1952.0,9.0,53.68,37.61,69.84
1952.0,10.0,33.64,19.37,50.47
1952.0,11.0,84.02,68.06,101.81
1952.0,12.0,51.26,35.98,67.18
1953.0,1.0,51.64,36.53,67.09
1953.0,2.0,58.49,42.2,74.98
1953.0,3.0,64.99,49.6,81.75
1953.0,4.0,59.34,43.99,74.03
1953.0,5.0,88.1,70.95,105.16
1953.0,6.0,91.43,73.71,108.91
1953.0,7.0,74.4,58.43,92.27
1953.0,8.0,72.98,58.29,87.8
1953.0,9.0,69.75,52.77,88.41
1953.0,10.0,53.49,37.47,70.16
1953.0,11.0,39.17,24.75,57.59
1953.0,12.0,55.32,39.69,72.12
1954.0,1.0,41.54,27.53,56.59
1954.0,2.0,53.02,38.49,69.95
1954.0,3.0,51.5,34.97,68.02
1954.0,4.0,96.34,79.76,114.65
1954.0,5.0,67.73,51.29,83.62
1954.0,6.0,130.27,113.35,147.63
1954.0,7.0,70.33,55.14,86.19
1954.0,8.0,70.64,55.0,84.83
1954.0,9.0,113.13,95.9,130.06
1954.0,10.0,165.45,147.21,184.09
1954.0,11.0,58.04,41.06,74.87
1954.0,12.0,58.48,43.14,75.04
1955.0,1.0,69.62,52.53,86.74
1955.0,2.0,44.2,29.47,59.58
1955.0,3.0,50.28,33.47,68.08
1955.0,4.0,82.08,66.47,98.82
1955.0,5.0,64.36,48.66,80.79
1955.0,6.0,48.45,33.89,65.05
1955.0,7.0,45.39,32.7,60.04
1955.0,8.0,57.98,43.78,73.05
1955.0,9.0,36.22,22.13,51.61
1955.0,10.0,100.71,83.47,118.6
1955.0,11.0,73.71,56.73,90.79
1955.0,12.0,51.17,35.47,66.73
1956.0,1.0,38.62,24.97,52.94
1956.0,2.0,50.72,35.82,65.53
1956.0,3.0,65.53,48.88,82.43
