Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,75.883804,57.686208,93.140494
1950.0,2.0,77.272852,60.698286,93.573283
1950.0,3.0,43.856645,29.903715,57.061429
1950.0,4.0,17.753245,3.110932,31.701048
1950.0,5.0,2.194818,-12.32787,17.652295
1950.0,6.0,25.560308,10.214335,40.933151
1950.0,7.0,44.932861,28.320118,62.430332
1950.0,8.0,62.589691,46.28605,77.83688
1950.0,9.0,85.826744,69.575457,101.635242
1950.0,10.0,69.536194,54.578349,86.416825
1950.0,11.0,88.477187,70.420081,106.551194
1950.0,12.0,82.498522,61.792211,100.442181
1951.0,1.0,75.731616,57.294475,93.996422
1951.0,2.0,40.71258,22.979921,58.985829
1951.0,3.0,35.556353,20.861693,50.787858
1951.0,4.0,7.308702,-7.905748,21.69522
1951.0,5.0,7.840404,-6.136513,22.023946
1951.0,6.0,26.655048,10.350099,43.258893
1951.0,7.0,52.997006,36.563815,68.968692
1951.0,8.0,79.063961,60.662944,94.276384
1951.0,9.0,93.467716,76.249053,109.481455
1951.0,10.0,76.180371,59.039365,91.760216
1951.0,11.0,96.385287,79.177457,112.257091
1951.0,12.0,87.966346,70.09028,104.879361
1952.0,1.0,68.635917,51.753327,86.434043
1952.0,2.0,50.290469,32.589372,67.091364
1952.0,3.0,34.514393,19.818302,48.760413
1952.0,4.0,10.530416,-4.28444,26.484517
1952.0,5.0,22.299395,6.592559,36.626809
1952.0,6.0,32.462759,14.961691,48.001726
1952.0,7.0,60.797731,43.231639,77.95644
1952.0,8.0,79.234532,60.7703,94.467123
1952.0,9.0,91.907985,75.356336,106.290245
1952.0,10.0,117.012154,100.199742,131.955784
1952.0,11.0,70.379814,52.747974,88.833674
1952.0,12.0,85.03088,66.900208,104.054617
1953.0,1.0,79.071305,62.562937,96.90726
1953.0,2.0,70.786327,53.319008,86.5048
1953.0,3.0,44.058544,30.143501,58.496508
1953.0,4.0,42.948149,29.072471,58.019252
1953.0,5.0,18.231647,2.245767,32.770257
1953.0,6.0,25.208393,7.461024,41.219494
1953.0,7.0,62.60411,44.902175,78.968721
1953.0,8.0,73.614056,58.473931,89.913415
1953.0,9.0,103.059713,87.533643,117.042764
1953.0,10.0,74.956426,59.168438,90.600489
1953.0,11.0,72.183878,54.781668,89.401465
1953.0,12.0,101.985086,83.675564,120.626029
1954.0,1.0,103.760884,86.873382,120.120046
1954.0,2.0,48.574903,31.726481,66.331657
1954.0,3.0,52.971864,38.393477,66.435859
1954.0,4.0,20.095786,5.511711,35.031217
1954.0,5.0,26.650292,11.939992,40.319969
1954.0,6.0,28.293626,10.912908,42.875675
1954.0,7.0,62.98759,45.313915,79.181524
1954.0,8.0,86.452961,69.619759,102.418989
1954.0,9.0,79.253016,64.456502,93.088117
1954.0,10.0,70.89528,55.918989,85.373542
1954.0,11.0,70.395121,53.482544,87.60643
1954.0,12.0,93.698793,76.197096,111.537078
1955.0,1.0,94.436716,76.998053,111.857285
1955.0,2.0,55.985206,40.082649,73.574348
1955.0,3.0,43.581048,28.032077,57.654713
1955.0,4.0,9.327027,-5.514871,23.759862
1955.0,5.0,22.462246,7.288649,36.131851
1955.0,6.0,38.303922,21.417252,53.871348
1955.0,7.0,66.962658,49.073077,84.031139
1955.0,8.0,86.037928,68.659499,100.893539
1955.0,9.0,94.968178,79.102922,111.263623
1955.0,10.0,84.620644,68.56242,100.744797
1955.0,11.0,119.010895,102.445871,136.147552
1955.0,12.0,125.149945,106.710093,144.614377
1956.0,1.0,98.154949,79.28324,115.435328
1956.0,2.0,57.643553,41.475944,75.556273
1956.0,3.0,48.314581,31.789354,62.942315
1956.0,4.0,8.324937,-6.019761,22.645975
1956.0,5.0,-0.176042,-15.678943,13.790258
1956.0,6.0,13.342339,-2.554172,29.435944
1956.0,7.0,42.73823,25.916869,60.461242
1956.0,8.0,56.32928,40.097115,71.841413
1956.0,9.0,91.752946,77.017735,107.952007
1956.0,10.0,66.580208,51.147768,80.337452
1956.0,11.0,93.228777,75.939764,111.130266
1956.0,12.0,100.515174,80.288398,118.936657
1957.0,1.0,114.535505,95.837558,131.409047
1957.0,2.0,47.669093,30.43744,64.599446
1957.0,3.0,39.950555,24.893786,53.641987
1957.0,4.0,20.511079,4.810697,35.420499
1957.0,5.0,12.926443,-1.656277,27.027182
1957.0,6.0,14.422142,-1.442921,30.195499
1957.0,7.0,49.53901,32.887111,64.675915
1957.0,8.0,88.224201,72.323401,104.909299
1957.0,9.0,81.067702,64.53862,96.870117
1957.0,10.0,87.869024,73.895002,102.752601
1957.0,11.0,96.334174,76.342298,112.899799
1957.0,12.0,99.17038,81.874519,115.735604
1958.0,1.0,117.11004,100.402819,136.076372
1958.0,2.0,84.122216,66.5818,101.709835
1958.0,3.0,32.979249,19.390977,48.321901
1958.0,4.0,16.415455,1.852209,31.427044
1958.0,5.0,17.073548,2.282515,31.455476
1958.0,6.0,38.367124,21.237901,53.63059
1958.0,7.0,32.514098,15.570815,50.408477
1958.0,8.0,73.737812,57.51696,89.758043
1958.0,9.0,73.042493,58.009741,89.161598
1958.0,10.0,91.851781,75.998032,107.381159
1958.0,11.0,99.669556,81.330561,117.825634
1958.0,12.0,140.815279,121.230824,157.060758
1959.0,1.0,97.245894,77.762658,114.185496
1959.0,2.0,62.339444,44.037368,79.719647
1959.0,3.0,37.946713,23.492452,52.15058
1959.0,4.0,8.590333,-7.05794,23.681283
1959.0,5.0,-4.507437,-18.434686,10.712244
1959.0,6.0,6.907364,-8.522722,24.015233
1959.0,7.0,31.824917,14.825243,48.425471
1959.0,8.0,54.554826,38.312811,71.021768
1959.0,9.0,97.29244,82.743805,111.856346
1959.0,10.0,106.545971,90.494407,122.164946
1959.0,11.0,110.849058,93.461685,129.065956
1959.0,12.0,90.365916,72.099942,108.124413
1960.0,1.0,96.565868,79.283682,113.903703
1960.0,2.0,57.701233,40.100258,74.32881
1960.0,3.0,57.536095,41.248662,71.773057
1960.0,4.0,3.429753,-11.26157,18.20801
1960.0,5.0,-6.702194,-20.645014,7.300222
1960.0,6.0,8.258837,-8.758311,25.093509
