Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,33.2,29.4,38.0
1950.0,2.0,25.5,22.2,30.3
1950.0,3.0,31.0,26.2,36.6
1950.0,4.0,48.1,42.1,55.0
1950.0,5.0,115.5,108.3,123.6
1950.0,6.0,68.9,63.9,74.6
1950.0,7.0,47.7,42.8,52.8
1950.0,8.0,34.0,30.6,38.6
1950.0,9.0,31.1,27.4,36.0
1950.0,10.0,53.8,48.9,59.9
1950.0,11.0,46.5,42.1,51.6
1950.0,12.0,37.1,33.1,42.4
1951.0,1.0,31.1,27.5,35.6
1951.0,2.0,27.3,24.0,31.9
1951.0,3.0,36.9,32.1,42.2
1951.0,4.0,91.0,84.8,97.7
1951.0,5.0,87.1,80.5,94.5
1951.0,6.0,60.2,55.1,66.0
1951.0,7.0,44.7,39.9,49.7
1951.0,8.0,34.2,30.5,38.6
1951.0,9.0,47.6,42.7,52.1
1951.0,10.0,57.0,51.5,62.8
1951.0,11.0,56.8,51.7,62.4
1951.0,12.0,47.6,42.9,52.0
1952.0,1.0,36.8,32.6,40.9
1952.0,2.0,29.4,24.8,33.2
1952.0,3.0,32.8,27.8,38.3
1952.0,4.0,76.4,70.4,82.6
1952.0,5.0,59.8,52.9,67.0
1952.0,6.0,50.1,45.0,55.7
1952.0,7.0,48.7,44.3,53.8
1952.0,8.0,36.1,32.5,40.1
1952.0,9.0,31.1,27.2,36.2
1952.0,10.0,32.4,27.4,38.2
1952.0,11.0,34.7,30.6,40.1
1952.0,12.0,37.0,32.6,41.6
1953.0,1.0,31.6,28.1,36.2
1953.0,2.0,25.3,22.0,30.2
1953.0,3.0,42.8,37.2,48.3
1953.0,4.0,69.5,63.4,76.4
1953.0,5.0,77.6,70.6,86.2
1953.0,6.0,76.2,71.0,81.5
1953.0,7.0,52.3,47.3,57.1
1953.0,8.0,39.9,35.8,44.0
1953.0,9.0,33.9,30.0,38.5
1953.0,10.0,37.3,32.3,43.0
1953.0,11.0,39.2,34.6,44.1
1953.0,12.0,42.7,38.2,47.6
1954.0,1.0,33.4,29.8,38.0
1954.0,2.0,29.9,25.9,33.8
1954.0,3.0,39.3,34.1,44.6
1954.0,4.0,84.2,77.7,90.9
1954.0,5.0,111.7,105.0,119.5
1954.0,6.0,74.9,69.3,80.4
1954.0,7.0,43.9,39.4,48.8
1954.0,8.0,34.1,30.2,37.9
1954.0,9.0,35.4,30.8,40.1
1954.0,10.0,52.1,46.5,57.4
1954.0,11.0,44.7,39.8,49.1
1954.0,12.0,38.3,33.4,42.5
1955.0,1.0,32.7,29.0,37.0
1955.0,2.0,27.2,23.4,31.9
1955.0,3.0,32.1,27.4,37.8
1955.0,4.0,84.7,78.7,91.6
1955.0,5.0,65.2,58.5,72.5
1955.0,6.0,46.7,41.5,51.9
1955.0,7.0,39.1,34.9,44.1
1955.0,8.0,33.4,29.9,37.7
1955.0,9.0,35.0,30.7,39.6
1955.0,10.0,51.8,46.1,57.5
1955.0,11.0,52.2,47.5,57.6
1955.0,12.0,39.0,34.7,43.8
1956.0,1.0,32.6,29.0,36.7
1956.0,2.0,26.4,22.9,30.9
1956.0,3.0,28.5,23.8,33.8
1956.0,4.0,59.4,53.3,66.5
1956.0,5.0,71.3,64.9,78.5
1956.0,6.0,62.3,56.9,67.8
1956.0,7.0,45.1,40.3,50.2
1956.0,8.0,32.7,29.2,37.2
1956.0,9.0,32.4,28.4,37.0
1956.0,10.0,34.6,29.9,40.3
1956.0,11.0,37.8,33.5,42.6
1956.0,12.0,32.6,28.9,37.9
