Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,111.8,94.7,128.0
1950.0,2.0,88.8,70.6,102.4
1950.0,3.0,71.4,54.2,86.8
1950.0,4.0,60.1,44.3,78.2
1950.0,5.0,52.9,37.8,69.4
1950.0,6.0,71.7,56.3,89.5
1950.0,7.0,79.1,62.4,96.7
1950.0,8.0,93.1,76.8,108.3
1950.0,9.0,53.5,40.1,69.0
1950.0,10.0,104.2,86.6,120.6
1950.0,11.0,112.0,92.1,127.9
1950.0,12.0,65.6,51.7,85.7
1951.0,1.0,74.7,59.8,90.2
1951.0,2.0,80.4,64.4,96.6
1951.0,3.0,101.2,83.1,116.6
1951.0,4.0,113.1,97.6,132.5
1951.0,5.0,48.2,32.8,66.6
1951.0,6.0,95.5,77.7,113.6
1951.0,7.0,126.6,109.9,144.0
1951.0,8.0,61.6,48.1,78.0
1951.0,9.0,79.4,63.3,95.3
1951.0,10.0,67.1,51.5,84.2
1951.0,11.0,85.9,68.8,102.5
1951.0,12.0,99.3,84.0,114.7
1952.0,1.0,76.5,60.8,94.5
1952.0,2.0,63.9,47.6,77.8
1952.0,3.0,69.3,53.1,87.7
1952.0,4.0,67.8,52.0,85.8
1952.0,5.0,109.6,90.0,126.0
1952.0,6.0,34.8,20.0,52.0
1952.0,7.0,70.5,53.0,87.7
1952.0,8.0,66.7,52.3,83.9
1952.0,9.0,80.9,62.8,95.1
1952.0,10.0,59.9,41.3,75.6
1952.0,11.0,68.7,54.4,85.9
1952.0,12.0,65.8,48.5,78.9
1953.0,1.0,66.5,50.6,81.3
1953.0,2.0,41.2,28.8,56.5
1953.0,3.0,85.9,67.3,100.3
1953.0,4.0,54.0,34.6,69.9
1953.0,5.0,127.4,108.1,144.6
1953.0,6.0,52.9,37.5,71.4
1953.0,7.0,61.7,46.5,79.3
1953.0,8.0,67.1,51.5,81.5
1953.0,9.0,96.3,76.8,110.2
1953.0,10.0,43.9,29.1,62.4
1953.0,11.0,53.6,39.2,70.3
1953.0,12.0,62.2,47.5,77.5
1954.0,1.0,63.6,47.8,78.3
1954.0,2.0,84.4,68.1,100.3
1954.0,3.0,83.9,65.7,98.7
1954.0,4.0,99.9,82.8,116.8
1954.0,5.0,47.6,32.1,64.0
1954.0,6.0,76.6,59.7,94.6
1954.0,7.0,33.8,19.7,51.3
1954.0,8.0,92.4,75.0,107.4
1954.0,9.0,90.1,71.9,105.6
1954.0,10.0,124.2,108.1,142.1
1954.0,11.0,89.1,74.6,107.7
1954.0,12.0,94.9,76.7,109.2
1955.0,1.0,53.6,39.3,70.6
1955.0,2.0,55.7,40.3,70.5
1955.0,3.0,97.6,80.3,114.7
1955.0,4.0,69.0,52.6,85.7
1955.0,5.0,65.5,45.8,81.7
1955.0,6.0,34.5,20.7,51.7
1955.0,7.0,55.9,40.2,73.1
1955.0,8.0,116.7,98.9,130.8
1955.0,9.0,65.6,49.8,79.9
1955.0,10.0,229.9,205.7,247.5
1955.0,11.0,41.7,29.0,56.8
1955.0,12.0,48.8,35.9,64.8
1956.0,1.0,51.6,37.9,66.8
1956.0,2.0,60.7,44.7,74.2
1956.0,3.0,79.0,63.0,94.9
1956.0,4.0,101.3,84.9,120.6
1956.0,5.0,118.1,102.9,136.8
1956.0,6.0,43.8,29.0,61.1
1956.0,7.0,75.5,58.2,93.6
1956.0,8.0,109.1,91.0,124.9
1956.0,9.0,79.1,61.2,93.5
1956.0,10.0,50.8,36.4,70.8
1956.0,11.0,54.0,39.2,71.2
1956.0,12.0,62.2,48.7,79.7
1957.0,1.0,79.0,63.4,95.2
1957.0,2.0,54.1,40.0,68.8
1957.0,3.0,36.8,23.6,51.6
1957.0,4.0,71.2,53.2,86.1
1957.0,5.0,78.8,60.4,94.4
1957.0,6.0,100.2,82.6,117.1
1957.0,7.0,68.1,51.8,84.9
1957.0,8.0,32.2,20.7,48.6
1957.0,9.0,98.3,79.9,113.6
1957.0,10.0,54.7,38.2,70.5
1957.0,11.0,60.9,47.0,78.0
1957.0,12.0,81.7,64.5,97.4
1958.0,1.0,67.0,49.3,81.5
1958.0,2.0,76.5,56.1,90.3
1958.0,3.0,24.2,13.8,38.1
1958.0,4.0,60.8,43.0,77.0
1958.0,5.0,48.7,34.0,65.6
1958.0,6.0,78.7,61.5,94.8
1958.0,7.0,85.3,66.4,102.5
1958.0,8.0,84.4,67.2,98.9
1958.0,9.0,110.9,92.8,125.3
1958.0,10.0,80.9,63.9,97.2
1958.0,11.0,70.4,55.1,86.9
1958.0,12.0,55.0,40.7,73.5
1959.0,1.0,102.1,86.8,117.9
1959.0,2.0,81.1,67.5,97.1
1959.0,3.0,59.1,43.8,78.3
1959.0,4.0,73.9,59.0,90.9
1959.0,5.0,60.4,44.4,79.5
1959.0,6.0,41.9,27.1,59.8
1959.0,7.0,92.7,73.0,108.7
1959.0,8.0,50.6,36.4,65.4
1959.0,9.0,67.0,51.1,81.9
1959.0,10.0,123.0,100.5,140.7
1959.0,11.0,70.4,54.0,86.5
1959.0,12.0,110.6,92.6,127.1
1960.0,1.0,77.1,64.5,94.7
1960.0,2.0,107.8,89.6,120.8
1960.0,3.0,42.4,27.1,57.5
1960.0,4.0,83.5,67.6,105.1
1960.0,5.0,107.6,90.3,126.9
1960.0,6.0,80.7,64.3,98.1
1960.0,7.0,51.9,36.8,68.3
1960.0,8.0,60.7,45.3,76.3
1960.0,9.0,31.0,19.8,45.4
1960.0,10.0,81.1,63.5,100.1
1960.0,11.0,47.7,32.6,64.0
1960.0,12.0,38.3,26.2,53.9
1961.0,1.0,38.7,26.9,54.0
1961.0,2.0,76.8,58.2,90.0
1961.0,3.0,58.9,41.4,72.5
1961.0,4.0,100.8,79.7,115.6
1961.0,5.0,75.2,57.8,91.2
1961.0,6.0,108.5,89.4,123.7
1961.0,7.0,79.4,61.0,96.4
1961.0,8.0,70.7,52.4,84.9
