Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,271.8,247.2,296.7
1950.0,2.0,147.1,123.3,170.2
1950.0,3.0,196.6,173.3,222.1
1950.0,4.0,283.2,258.8,309.7
1950.0,5.0,117.2,96.0,141.1
1950.0,6.0,83.4,64.0,104.8
1950.0,7.0,57.7,41.3,74.6
1950.0,8.0,43.7,29.7,60.0
1950.0,9.0,55.2,38.0,74.2
1950.0,10.0,112.1,89.9,133.0
1950.0,11.0,168.7,145.5,192.4
1950.0,12.0,192.0,170.1,217.3
1951.0,1.0,207.5,183.9,231.6
1951.0,2.0,178.5,156.5,207.2
1951.0,3.0,270.1,244.8,294.9
1951.0,4.0,320.6,296.5,348.2
1951.0,5.0,167.5,145.4,191.6
1951.0,6.0,105.8,85.1,128.3
1951.0,7.0,89.9,68.7,110.6
1951.0,8.0,45.1,31.7,62.4
1951.0,9.0,51.6,36.1,70.5
1951.0,10.0,77.8,59.9,101.4
1951.0,11.0,137.2,115.9,162.4
1951.0,12.0,145.3,123.6,167.7
1952.0,1.0,209.7,187.3,235.2
1952.0,2.0,157.8,136.4,182.9
1952.0,3.0,184.8,162.9,211.8
1952.0,4.0,252.4,230.2,277.9
1952.0,5.0,180.6,156.3,206.3
1952.0,6.0,98.7,78.2,120.1
1952.0,7.0,64.6,48.2,82.8
1952.0,8.0,44.1,30.8,61.2
1952.0,9.0,52.1,35.2,70.0
1952.0,10.0,95.3,71.5,116.9
1952.0,11.0,91.1,69.7,113.5
1952.0,12.0,192.7,165.0,213.4
1953.0,1.0,153.6,128.4,175.8
1953.0,2.0,133.2,107.6,154.1
1953.0,3.0,215.8,189.3,238.8
1953.0,4.0,171.0,147.2,195.1
1953.0,5.0,237.3,214.0,260.5
1953.0,6.0,101.9,80.0,123.5
1953.0,7.0,60.9,45.2,80.2
1953.0,8.0,55.3,38.8,74.1
1953.0,9.0,54.9,36.1,71.6
1953.0,10.0,71.2,52.9,93.3
1953.0,11.0,73.6,55.1,95.9
1953.0,12.0,142.8,119.6,164.0
1954.0,1.0,122.6,99.4,144.1
1954.0,2.0,216.3,193.6,242.3
1954.0,3.0,233.6,210.8,255.5
1954.0,4.0,306.0,282.5,329.9
1954.0,5.0,211.5,186.7,235.5
1954.0,6.0,99.4,79.9,123.1
1954.0,7.0,53.6,39.6,70.3
1954.0,8.0,40.2,28.5,57.5
1954.0,9.0,72.4,53.5,92.0
1954.0,10.0,129.7,108.7,153.4
1954.0,11.0,134.4,112.7,159.6
1954.0,12.0,144.9,123.1,168.8
1955.0,1.0,156.9,135.7,182.1
1955.0,2.0,106.4,82.4,129.5
1955.0,3.0,284.6,261.4,308.4
1955.0,4.0,250.6,224.7,273.1
1955.0,5.0,114.3,91.8,136.8
1955.0,6.0,73.0,53.7,93.5
1955.0,7.0,50.6,36.7,68.4
1955.0,8.0,47.2,33.2,64.2
1955.0,9.0,40.9,26.7,57.8
1955.0,10.0,266.4,233.5,290.9
1955.0,11.0,214.7,189.5,237.8
1955.0,12.0,134.0,111.5,155.3
1956.0,1.0,98.3,78.8,120.6
1956.0,2.0,107.9,83.7,131.0
1956.0,3.0,202.7,180.1,225.9
1956.0,4.0,285.1,260.2,313.4
1956.0,5.0,257.4,235.9,284.9
1956.0,6.0,117.4,95.0,139.1
1956.0,7.0,63.9,46.8,82.9
1956.0,8.0,47.9,32.9,66.4
1956.0,9.0,64.5,44.8,84.2
