Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,-2.9981,-24.8129,18.9253
1950.0,2.0,-7.9694,-29.8307,13.0288
1950.0,3.0,50.9702,29.8346,71.3708
1950.0,4.0,112.4691,89.4246,134.1876
1950.0,5.0,272.3905,252.3579,293.9236
1950.0,6.0,209.1873,190.051,229.8196
1950.0,7.0,165.8268,144.8336,187.4408
1950.0,8.0,120.3303,98.3241,143.4207
1950.0,9.0,91.8139,69.8422,113.4099
1950.0,10.0,106.3858,84.0818,129.1089
1950.0,11.0,52.5526,29.851,76.7368
1950.0,12.0,-26.3586,-49.014,-4.4629
1951.0,1.0,-27.3908,-46.9346,-9.1144
1951.0,2.0,66.447,46.572,84.8614
1951.0,3.0,78.213,58.9922,97.2932
1951.0,4.0,170.2626,150.6865,188.7014
1951.0,5.0,151.5938,134.8525,168.65
1951.0,6.0,176.95,159.9369,193.2909
1951.0,7.0,105.4489,86.2924,123.4552
1951.0,8.0,141.5589,120.9008,161.24
1951.0,9.0,150.7168,130.0879,170.8289
1951.0,10.0,105.2185,85.6512,124.0408
1951.0,11.0,15.9304,-4.0615,38.0568
1951.0,12.0,6.6875,-13.883,27.1498
1952.0,1.0,-1.5403,-17.5208,16.2418
1952.0,2.0,-14.4895,-32.7593,4.018
1952.0,3.0,34.2528,16.897,52.8639
1952.0,4.0,124.8954,107.5185,142.5389
1952.0,5.0,93.1022,77.524,108.5288
1952.0,6.0,169.9254,153.7773,185.8587
1952.0,7.0,208.7138,190.0257,226.9106
1952.0,8.0,111.6377,90.9115,130.0814
1952.0,9.0,37.94,19.2417,56.6488
1952.0,10.0,-45.6265,-63.81,-26.1539
1952.0,11.0,0.5138,-17.5041,20.0355
1952.0,12.0,-24.6234,-45.0621,-4.4379
1953.0,1.0,-12.7216,-31.5223,5.1021
1953.0,2.0,12.1545,-5.8243,30.3699
1953.0,3.0,52.5883,36.5035,70.7123
1953.0,4.0,108.6425,92.1856,126.3357
1953.0,5.0,208.5794,192.511,225.3851
1953.0,6.0,209.525,192.1249,225.7218
1953.0,7.0,139.7772,122.7465,157.7703
1953.0,8.0,119.0085,100.2057,139.4729
1953.0,9.0,41.9158,22.5133,61.297
1953.0,10.0,21.6139,1.61,41.0488
1953.0,11.0,-9.1704,-29.697,9.2901
1953.0,12.0,-5.5688,-26.5566,13.3388
1954.0,1.0,-24.3835,-43.392,-6.7215
1954.0,2.0,9.5755,-6.108,28.1235
1954.0,3.0,12.4692,-4.5017,29.8162
1954.0,4.0,163.7098,145.233,181.2035
1954.0,5.0,229.4822,213.4075,246.5339
1954.0,6.0,172.4147,155.8062,190.0423
1954.0,7.0,79.9946,63.2956,97.2115
1954.0,8.0,44.6222,26.6911,62.8071
1954.0,9.0,79.4844,60.8184,100.518
1954.0,10.0,43.82,24.67,64.2549
1954.0,11.0,-0.9539,-19.2796,19.1296
1954.0,12.0,-56.0642,-75.7996,-37.5628
1955.0,1.0,-47.6947,-65.679,-30.5752
1955.0,2.0,-3.3843,-22.0565,12.9955
1955.0,3.0,42.4442,24.7125,60.9943
1955.0,4.0,140.7967,123.2117,159.0147
1955.0,5.0,120.4081,105.771,136.821
1955.0,6.0,91.3704,76.1783,107.8202
1955.0,7.0,110.7443,92.8556,129.292
1955.0,8.0,96.9471,78.0224,114.0416
1955.0,9.0,57.6178,37.5353,77.4193
1955.0,10.0,86.9076,67.9088,106.1555
1955.0,11.0,29.9416,9.4146,49.4399
1955.0,12.0,-37.3854,-57.7771,-18.3038
1956.0,1.0,-12.7372,-29.879,4.7502
1956.0,2.0,-39.8135,-57.3946,-22.3965
1956.0,3.0,-5.8699,-23.0458,11.9572
1956.0,4.0,61.3793,44.3174,79.5715
1956.0,5.0,186.6728,171.8271,203.0614
1956.0,6.0,122.4266,105.6255,138.1783
1956.0,7.0,136.5927,119.4017,153.8209
1956.0,8.0,78.0273,60.2779,96.3971
1956.0,9.0,51.9643,32.8227,70.3269
1956.0,10.0,32.0714,12.642,50.8492
1956.0,11.0,-15.0553,-35.0662,6.2616
1956.0,12.0,-13.9629,-33.6123,7.0794
1957.0,1.0,-63.6098,-80.7974,-46.3664
1957.0,2.0,0.2565,-18.0246,17.2684
1957.0,3.0,50.5923,33.8611,68.7362
1957.0,4.0,123.9568,107.0407,140.9571
1957.0,5.0,118.9311,104.1142,134.9664
1957.0,6.0,156.1589,139.301,170.4893
1957.0,7.0,102.9489,85.3932,120.4513
1957.0,8.0,49.5502,33.5185,68.2239
1957.0,9.0,75.4119,56.7585,93.4991
1957.0,10.0,16.2361,-1.9984,35.6169
1957.0,11.0,30.9383,10.5161,49.8272
1957.0,12.0,-33.1362,-52.1372,-13.1353
1958.0,1.0,-7.2515,-25.8806,9.5541
1958.0,2.0,-28.8447,-47.7512,-10.5409
1958.0,3.0,15.4812,-1.5242,31.7198
1958.0,4.0,54.4661,39.184,72.1964
1958.0,5.0,84.094,68.3742,99.7028
1958.0,6.0,141.4546,122.9439,158.077
1958.0,7.0,145.0399,127.1167,162.9666
1958.0,8.0,92.8086,74.2066,110.2125
1958.0,9.0,89.993,69.9698,109.2037
1958.0,10.0,41.6777,22.5937,61.1543
1958.0,11.0,24.8183,4.8113,44.1957
