Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,1.0,88.75,70.39,106.86
1950.0,2.0,36.98,21.31,53.45
1950.0,3.0,62.08,42.0,81.61
1950.0,4.0,89.29,68.59,110.11
1950.0,5.0,147.6,126.84,169.37
1950.0,6.0,127.64,107.94,148.22
1950.0,7.0,107.44,87.52,128.33
1950.0,8.0,90.56,70.96,112.37
1950.0,9.0,82.82,63.13,102.85
1950.0,10.0,103.75,82.45,124.66
1950.0,11.0,119.58,99.97,138.65
1950.0,12.0,56.57,38.09,75.74
1951.0,1.0,38.52,24.68,53.25
1951.0,2.0,75.8,56.52,95.76
1951.0,3.0,77.51,59.18,97.24
1951.0,4.0,85.82,65.33,106.29
1951.0,5.0,65.49,49.98,81.23
1951.0,6.0,114.02,94.57,132.87
1951.0,7.0,61.01,43.79,78.2
1951.0,8.0,113.3,93.78,133.54
1951.0,9.0,145.09,125.28,166.47
1951.0,10.0,112.79,93.24,133.95
1951.0,11.0,73.72,56.21,92.0
1951.0,12.0,64.36,46.44,82.49
1952.0,1.0,53.92,38.43,70.06
1952.0,2.0,21.12,9.2,35.42
1952.0,3.0,43.59,27.29,61.9
1952.0,4.0,61.18,43.6,80.55
1952.0,5.0,41.41,27.63,55.52
1952.0,6.0,114.89,98.11,131.11
1952.0,7.0,145.33,124.88,165.7
1952.0,8.0,85.46,66.01,103.89
1952.0,9.0,52.59,35.06,69.63
1952.0,10.0,49.46,32.75,67.63
1952.0,11.0,58.58,41.75,76.55
1952.0,12.0,39.97,24.29,55.66
1953.0,1.0,52.91,36.75,69.53
1953.0,2.0,55.92,37.42,74.27
1953.0,3.0,51.32,33.8,69.16
1953.0,4.0,65.68,47.28,86.45
1953.0,5.0,129.96,114.25,147.28
1953.0,6.0,123.07,103.76,141.81
1953.0,7.0,94.05,77.3,112.75
1953.0,8.0,89.79,69.02,109.52
1953.0,9.0,82.47,64.74,102.17
1953.0,10.0,52.3,34.63,70.37
1953.0,11.0,53.56,37.11,70.54
1953.0,12.0,77.49,59.27,97.22
1954.0,1.0,68.49,52.68,85.88
1954.0,2.0,36.27,20.87,53.01
1954.0,3.0,47.3,31.52,65.78
1954.0,4.0,104.39,85.73,123.94
1954.0,5.0,119.72,103.79,136.68
1954.0,6.0,92.2,75.64,112.14
1954.0,7.0,42.4,27.32,59.91
1954.0,8.0,45.45,29.29,60.6
1954.0,9.0,94.79,76.75,115.13
1954.0,10.0,79.81,60.75,98.5
1954.0,11.0,43.81,28.45,61.17
1954.0,12.0,23.65,12.08,37.41
1955.0,1.0,41.71,28.29,56.65
1955.0,2.0,47.38,30.19,65.68
1955.0,3.0,86.29,68.32,105.68
1955.0,4.0,63.46,45.31,81.62
1955.0,5.0,61.95,47.23,78.02
1955.0,6.0,49.4,34.9,64.84
1955.0,7.0,80.05,61.61,99.32
1955.0,8.0,89.09,69.36,106.54
1955.0,9.0,96.91,77.17,114.99
1955.0,10.0,111.96,91.64,131.98
1955.0,11.0,105.12,86.96,124.87
1955.0,12.0,60.48,43.38,78.84
1956.0,1.0,42.28,27.8,58.05
1956.0,2.0,21.61,10.33,35.81
1956.0,3.0,23.11,10.88,37.64
1956.0,4.0,35.25,19.63,53.23
1956.0,5.0,114.89,99.1,131.71
1956.0,6.0,61.82,45.44,79.66
1956.0,7.0,89.79,71.34,109.59
1956.0,8.0,64.69,46.88,83.1
1956.0,9.0,77.83,60.01,97.65
1956.0,10.0,58.88,41.98,78.26
1956.0,11.0,65.19,48.36,84.2
1956.0,12.0,68.75,51.02,87.42
1957.0,1.0,35.26,22.39,50.03
1957.0,2.0,32.55,17.41,48.43
1957.0,3.0,45.78,30.28,63.69
1957.0,4.0,73.79,55.95,91.88
1957.0,5.0,42.99,29.56,57.88
1957.0,6.0,89.63,71.79,107.09
1957.0,7.0,55.94,39.77,74.08
1957.0,8.0,43.91,29.86,61.39
1957.0,9.0,93.54,75.05,112.96
1957.0,10.0,53.33,35.64,71.81
1957.0,11.0,93.04,73.31,112.97
1957.0,12.0,43.77,26.06,60.31
1958.0,1.0,42.36,28.36,56.97
1958.0,2.0,28.55,15.01,45.11
1958.0,3.0,17.63,8.76,31.39
1958.0,4.0,29.25,14.34,45.85
1958.0,5.0,44.06,30.03,58.43
1958.0,6.0,90.7,74.85,109.21
1958.0,7.0,99.87,81.65,119.92
1958.0,8.0,99.74,80.96,117.74
1958.0,9.0,93.24,73.61,113.22
1958.0,10.0,73.32,55.12,92.64
1958.0,11.0,98.03,79.54,116.75
1958.0,12.0,62.55,44.78,80.92
1959.0,1.0,45.89,31.38,62.06
1959.0,2.0,26.05,13.22,40.91
1959.0,3.0,32.79,17.56,49.37
1959.0,4.0,39.42,23.61,57.74
1959.0,5.0,123.75,106.97,140.7
1959.0,6.0,72.39,56.08,89.99
1959.0,7.0,53.98,37.61,73.13
1959.0,8.0,156.75,137.11,175.91
1959.0,9.0,139.79,120.98,160.5
1959.0,10.0,123.01,102.52,143.82
1959.0,11.0,58.51,39.92,75.57
1959.0,12.0,44.14,26.74,61.12
1960.0,1.0,48.74,34.54,65.75
1960.0,2.0,25.48,12.55,41.02
1960.0,3.0,29.55,16.06,46.33
1960.0,4.0,123.16,105.23,141.85
1960.0,5.0,114.99,98.33,130.23
1960.0,6.0,63.59,46.47,80.57
1960.0,7.0,75.73,57.87,93.58
1960.0,8.0,59.75,42.49,77.55
1960.0,9.0,72.87,54.85,91.33
1960.0,10.0,76.53,59.19,95.24
1960.0,11.0,91.75,74.65,110.67
1960.0,12.0,36.65,21.04,53.76
1961.0,1.0,36.11,23.8,51.03
1961.0,2.0,40.61,25.77,58.42
1961.0,3.0,52.27,35.76,69.01
1961.0,4.0,46.53,29.65,65.07
1961.0,5.0,68.7,54.19,86.07
1961.0,6.0,57.35,41.39,74.93
1961.0,7.0,55.29,38.75,72.11
1961.0,8.0,36.41,21.1,52.58
1961.0,9.0,121.46,101.09,143.63
1961.0,10.0,90.07,71.45,110.53
1961.0,11.0,55.2,38.45,73.4
1961.0,12.0,58.08,41.31,75.33
1962.0,1.0,42.7,28.18,60.17
1962.0,2.0,60.18,40.68,77.26
1962.0,3.0,19.91,9.07,34.71
1962.0,4.0,37.54,21.84,54.83
1962.0,5.0,95.72,78.96,112.12
1962.0,6.0,44.32,29.75,60.19
1962.0,7.0,53.49,37.69,71.41
1962.0,8.0,85.91,67.02,103.71
1962.0,9.0,96.38,77.09,115.41
1962.0,10.0,48.11,31.35,65.65
1962.0,11.0,33.91,22.12,50.32
1962.0,12.0,55.01,37.34,73.81
1963.0,1.0,56.34,40.11,73.49
1963.0,2.0,30.47,15.17,46.58
1963.0,3.0,48.25,31.73,64.61
1963.0,4.0,65.23,46.5,83.11
1963.0,5.0,56.61,41.26,71.78
1963.0,6.0,116.51,97.78,133.97
1963.0,7.0,51.21,34.99,67.94
1963.0,8.0,67.36,50.98,86.2
1963.0,9.0,64.1,45.85,85.08
1963.0,10.0,53.66,37.42,72.13
1963.0,11.0,62.33,45.66,81.21
1963.0,12.0,50.89,32.45,68.58
1964.0,1.0,46.74,31.7,63.56
1964.0,2.0,28.18,13.69,44.74
1964.0,3.0,39.56,24.23,55.85
1964.0,4.0,102.01,82.22,121.48
1964.0,5.0,119.08,102.09,135.44
1964.0,6.0,85.85,69.18,103.51
1964.0,7.0,59.45,40.69,77.2
1964.0,8.0,108.4,88.39,127.65
1964.0,9.0,121.78,101.81,142.33
1964.0,10.0,72.62,54.2,91.23
1964.0,11.0,71.27,52.08,88.97
1964.0,12.0,70.26,52.15,89.41
1965.0,1.0,47.69,32.5,63.35
1965.0,2.0,56.94,40.36,74.85
1965.0,3.0,40.77,24.87,57.36
1965.0,4.0,51.82,35.0,71.51
1965.0,5.0,110.76,92.96,127.24
1965.0,6.0,66.1,49.31,83.14
1965.0,7.0,84.74,66.87,103.28
1965.0,8.0,83.58,64.93,102.12
1965.0,9.0,143.92,123.55,162.78
1965.0,10.0,95.82,77.61,114.66
1965.0,11.0,117.01,98.27,136.35
1965.0,12.0,60.08,43.08,79.43
1966.0,1.0,63.77,48.09,80.67
1966.0,2.0,31.05,15.95,46.43
1966.0,3.0,58.7,41.82,76.82
1966.0,4.0,45.74,29.34,63.89
1966.0,5.0,74.62,57.64,91.2
1966.0,6.0,52.82,36.11,70.11
1966.0,7.0,65.56,47.42,84.86
1966.0,8.0,97.33,77.21,114.16
1966.0,9.0,64.39,47.33,82.44
1966.0,10.0,118.29,99.2,137.8
1966.0,11.0,72.96,55.1,91.73
1966.0,12.0,65.97,46.85,84.41
