# Probabilities of exceedance values for ERI
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.99",-924,-821,395,180,192,-133,-618,-1086,-1400,-1738,-1218,-1040
"0.98",-646,-512,638,340,268,-72,-586,-1035,-1365,-1535,-1175,-762
"0.97",-392,-349,709,412,317,-16,-546,-965,-1331,-1458,-1148,-657
"0.96",-331,-233,730,546,368,0,-530,-892,-1262,-1430,-1140,-630
"0.95",-312,-214,808,678,402,14,-526,-878,-1218,-1404,-1124,-626
"0.94",-267,-186,880,759,414,43,-510,-830,-1201,-1318,-1065,-557
"0.93",-243,-166,880,804,420,74,-483,-823,-1190,-1236,-1020,-463
"0.92",-231,-132,908,848,429,98,-452,-820,-1153,-1201,-983,-441
"0.91",-188,-74,933,898,486,103,-408,-800,-1148,-1170,-908,-437
"0.9",-176,-28,958,980,528,144,-380,-788,-1128,-1162,-864,-400
"0.89",-157,3,983,1053,540,180,-337,-764,-1110,-1150,-804,-332
"0.88",-141,36,1008,1069,566,189,-312,-734,-1110,-1124,-800,-301
"0.87",-129,92,1024,1116,601,210,-269,-729,-1100,-1096,-780,-269
"0.86",-109,128,1057,1182,614,214,-260,-716,-1096,-1066,-758,-242
"0.85",-42,196,1070,1220,638,244,-254,-698,-1090,-1054,-714,-204
"0.84",7,237,1070,1228,650,260,-242,-682,-1082,-1033,-710,-183
"0.83",21,241,1092,1242,690,280,-239,-680,-1069,-1020,-678,-150
"0.82",43,250,1116,1276,693,286,-227,-680,-1054,-1017,-640,-144
"0.81",81,272,1152,1332,717,306,-220,-669,-1040,-999,-620,-130
"0.8",138,362,1186,1366,738,326,-212,-652,-1032,-990,-588,-114
"0.79",170,391,1200,1380,741,360,-200,-649,-1019,-979,-570,-88
"0.78",183,410,1203,1383,768,376,-197,-617,-992,-957,-564,-50
"0.77",216,426,1231,1400,790,395,-185,-605,-960,-950,-545,-40
"0.76",248,440,1288,1410,798,408,-157,-592,-950,-927,-525,-22
"0.75",250,470,1310,1450,820,430,-130,-580,-940,-920,-520,0
"0.74",295,472,1342,1462,860,455,-118,-575,-935,-908,-500,30
"0.73",324,494,1393,1480,860,480,-110,-555,-915,-900,-470,40
"0.72",347,524,1454,1490,867,512,-103,-543,-888,-871,-470,50
"0.71",350,530,1470,1528,899,520,-90,-530,-870,-850,-460,60
"0.7",360,532,1522,1532,912,538,-78,-530,-866,-848,-458,70
"0.69",369,558,1543,1540,920,574,-66,-526,-846,-840,-446,74
"0.68",387,607,1567,1547,954,580,-46,-520,-840,-833,-420,100
"0.67",390,638,1570,1559,988,589,-31,-511,-840,-812,-410,165
"0.66",412,662,1590,1562,1000,602,-28,-504,-828,-798,-400,183
"0.65",428,670,1594,1570,1004,614,-20,-466,-816,-786,-400,204
"0.64",440,683,1606,1576,1010,620,-14,-460,-804,-774,-381,210
"0.63",449,716,1628,1615,1019,629,-10,-451,-800,-761,-370,219
"0.62",460,755,1631,1620,1024,641,32,-440,-779,-740,-369,221
"0.61",460,790,1640,1638,1072,654,54,-440,-766,-740,-356,237
"0.6",466,814,1640,1670,1110,660,72,-434,-760,-740,-344,292
"0.59",470,889,1665,1712,1110,660,88,-430,-743,-706,-332,320
"0.58",473,932,1680,1742,1120,661,90,-419,-719,-698,-320,350
"0.57",516,953,1686,1760,1123,673,93,-410,-697,-667,-317,376
"0.56",530,971,1700,1766,1136,680,106,-399,-670,-660,-310,452
"0.55",562,980,1732,1786,1148,680,110,-390,-662,-636,-278,470
"0.54",571,991,1762,1790,1152,681,110,-389,-650,-620,-238,500
"0.53",596,1013,1803,1793,1208,706,123,-370,-642,-620,-200,516
"0.52",620,1020,1820,1805,1235,720,130,-365,-594,-615,-190,530
"0.51",638,1028,1853,1833,1248,743,145,-345,-570,-610,-172,553
"0.5",660,1040,1870,1850,1270,760,160,-340,-560,-610,-170,560
"0.49",682,1062,1882,1872,1272,765,170,-338,-550,-600,-153,570
"0.48",695,1075,1909,1894,1280,804,184,-311,-545,-595,-130,570
"0.47",714,1087,1930,1932,1287,844,207,-268,-540,-576,-116,570
"0.46",730,1100,1968,1950,1309,869,220,-231,-530,-570,-100,637
"0.45",760,1148,1982,1974,1326,874,220,-210,-516,-568,-88,656
"0.44",764,1184,1994,1999,1354,894,224,-210,-500,-560,-80,684
"0.43",797,1197,2014,2010,1367,900,230,-196,-500,-540,-80,704
"0.42",819,1228,2020,2019,1407,900,239,-190,-491,-512,-71,719
"0.41",820,1245,2038,2036,1412,920,242,-185,-490,-508,-58,722
"0.4",832,1270,2100,2082,1436,920,250,-148,-482,-500,-34,738
"0.39",869,1276,2130,2106,1479,926,256,-124,-464,-494,-10,769
"0.38",889,1298,2148,2110,1516,983,260,-102,-451,-481,16,842
