# Probabilities of exceedance values for MIH
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.99",-1608,-1225,1217,3754,2362,2890,951,-1538,-3472,-3654,-2494,-2255
"0.98",-934,-775,1459,3892,2888,2914,1109,-1471,-2677,-3236,-2186,-1871
"0.97",-801,-474,1699,4039,3666,2969,1190,-1339,-2529,-3008,-2078,-1807
"0.96",-588,-143,1866,4108,3836,2990,1277,-1271,-2336,-2922,-1964,-1704
"0.95",-558,-58,1922,4408,4004,3080,1322,-1026,-2146,-2832,-1872,-1610
"0.94",-418,157,2045,4666,4184,3209,1352,-988,-2099,-2596,-1738,-1526
"0.93",-300,458,2235,4886,4197,3234,1434,-940,-2053,-2463,-1633,-1463
"0.92",-236,629,2298,5005,4301,3286,1589,-755,-1967,-2386,-1556,-1359
"0.91",-210,678,2336,5170,4330,3336,1605,-699,-1924,-2136,-1500,-1326
"0.9",-198,884,2410,5256,4342,3378,1674,-636,-1862,-2010,-1328,-1242
"0.89",-180,909,2547,5374,4386,3435,1759,-572,-1801,-1984,-1278,-1185
"0.88",-145,938,2669,5524,4638,3522,1814,-434,-1790,-1952,-1242,-1054
"0.87",-38,974,2711,5608,4720,3731,2048,-397,-1572,-1949,-1230,-1009
"0.86",-16,1004,2745,5720,4738,3747,2114,-293,-1481,-1940,-1131,-942
"0.85",44,1100,2820,5840,4794,3766,2138,-238,-1424,-1880,-978,-834
"0.84",147,1177,2848,5860,4902,3804,2310,-202,-1412,-1832,-910,-771
"0.83",191,1202,3052,5946,5130,3893,2342,-184,-1219,-1805,-759,-638
"0.82",206,1239,3096,6036,5152,3936,2396,-110,-1188,-1747,-724,-604
"0.81",226,1314,3175,6087,5206,4045,2467,-79,-1118,-1678,-659,-590
"0.8",294,1364,3218,6252,5234,4128,2528,2,-1100,-1502,-594,-558
"0.79",420,1390,3293,6312,5403,4171,2591,41,-1069,-1468,-579,-427
"0.78",438,1396,3395,6367,5473,4200,2616,129,-1039,-1414,-547,-347
"0.77",548,1441,3465,6426,5480,4242,2651,306,-963,-1369,-530,-298
"0.76",698,1493,3485,6455,5518,4310,2685,330,-776,-1325,-497,-184
"0.75",740,1510,3600,6500,5630,4490,2760,410,-710,-1280,-460,-160
"0.74",764,1547,3702,6507,5722,4552,2770,447,-678,-1070,-428,-110
"0.73",815,1610,3720,6535,5774,4579,2775,470,-630,-1051,-406,-66
"0.72",849,1642,3773,6583,5819,4614,2787,506,-598,-1030,-332,-36
"0.71",898,1650,3828,6610,5916,4687,2809,616,-571,-982,-281,66
"0.7",914,1652,3904,6722,6020,4770,2860,744,-500,-926,-240,108
"0.69",948,1664,3938,6748,6024,4836,2882,875,-416,-888,-182,144
"0.68",1011,1738,3960,6824,6037,4897,2951,927,-403,-806,-153,170
"0.67",1030,1788,3969,6896,6058,4938,2970,958,-345,-725,-122,281
"0.66",1056,1792,3983,7092,6092,4972,2982,1145,-308,-670,-18,313
"0.65",1156,1804,4004,7214,6100,5000,3006,1170,-296,-604,148,338
"0.64",1193,1823,4016,7233,6170,5036,3056,1176,-245,-567,233,376
"0.63",1253,1839,4046,7240,6316,5066,3079,1198,-88,-516,258,390
"0.62",1271,1894,4092,7254,6369,5088,3092,1247,-44,-456,326,413
"0.61",1298,1931,4128,7294,6521,5154,3187,1314,14,-350,374,514
"0.6",1342,1956,4262,7326,6570,5166,3200,1346,82,-302,410,532
"0.59",1358,1960,4473,7355,6590,5262,3208,1350,110,-245,438,599
"0.58",1402,2007,4536,7382,6605,5372,3214,1373,231,-165,506,623
"0.57",1423,2093,4603,7464,6670,5523,3260,1423,246,-88,586,666
