# Probabilities of exceedance values for ONT
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.99",-166,-28,819,862,605,292,-68,-426,-600,-565,-422,-270
"0.98",-55,-15,924,964,644,360,4,-370,-551,-545,-257,-235
"0.97",29,26,940,1115,692,425,40,-353,-516,-533,-210,-180
"0.96",98,88,959,1218,748,450,50,-331,-491,-530,-181,-141
"0.95",156,208,992,1226,768,468,80,-326,-466,-464,-164,-120
"0.94",193,249,1044,1290,813,509,89,-288,-432,-436,-122,-62
"0.93",237,274,1057,1394,830,527,120,-253,-410,-396,-100,14
"0.92",259,298,1115,1438,867,539,158,-241,-401,-334,-82,49
"0.91",272,352,1134,1522,876,550,163,-195,-395,-298,-68,53
"0.9",292,376,1214,1542,910,550,200,-158,-366,-282,-56,82
"0.89",329,406,1226,1560,916,556,230,-140,-341,-251,-37,113
"0.88",340,419,1239,1639,929,560,230,-131,-321,-240,-21,129
"0.87",351,451,1261,1671,952,564,231,-98,-310,-206,10,161
"0.86",360,464,1281,1698,974,594,244,-76,-306,-176,14,177
"0.85",372,488,1312,1736,1004,624,262,-70,-294,-158,38,214
"0.84",388,525,1328,1757,1020,648,270,-62,-282,-142,50,230
"0.83",411,541,1332,1770,1041,652,281,-48,-258,-130,51,260
"0.82",433,553,1360,1880,1050,670,293,-30,-237,-130,60,260
"0.81",460,560,1386,1886,1050,681,300,-24,-230,-124,66,266
"0.8",468,584,1398,1898,1058,698,324,-20,-222,-120,134,278
"0.79",470,600,1410,1921,1060,720,340,0,-210,-99,160,300
"0.78",480,608,1418,1943,1073,720,350,0,-194,-70,173,308
"0.77",490,635,1440,1950,1085,736,355,5,-175,-65,180,335
"0.76",515,655,1440,2041,1105,750,360,10,-162,-60,180,348
"0.75",540,680,1440,2080,1110,750,390,10,-150,-60,190,370
"0.74",547,700,1482,2102,1122,752,390,32,-138,-48,207,377
"0.73",575,705,1490,2115,1140,765,400,40,-116,-40,235,400
"0.72",587,710,1490,2120,1164,777,417,47,-100,-40,240,414
"0.71",600,710,1500,2158,1199,818,420,50,-100,-30,250,430
"0.7",620,720,1542,2160,1212,822,420,72,-90,-28,268,456
"0.69",629,729,1576,2169,1220,834,429,80,-86,-16,304,489
"0.68",647,740,1630,2194,1227,860,440,87,-73,-3,317,514
"0.67",650,758,1640,2200,1230,916,458,90,-70,0,329,520
"0.66",660,762,1640,2213,1240,920,462,100,-68,10,353,550
"0.65",664,778,1656,2230,1244,924,474,100,-60,14,378,570
"0.64",676,809,1686,2243,1256,936,486,100,-60,20,396,606
"0.63",680,829,1743,2338,1278,940,499,118,-51,29,400,628
"0.62",691,834,1751,2402,1315,950,510,120,-40,30,400,640
"0.61",704,860,1767,2427,1350,950,510,124,-36,34,400,647
"0.6",722,866,1780,2440,1350,962,522,142,-24,40,412,684
"0.59",730,870,1780,2448,1358,970,547,167,-20,48,437,700
"0.58",751,881,1791,2451,1370,1002,552,170,-9,51,450,710
"0.57",763,890,1803,2460,1373,1030,570,173,3,63,456,713
"0.56",770,896,1832,2466,1386,1061,570,180,21,81,476,726
"0.55",786,948,1858,2470,1398,1070,586,180,30,98,480,730
"0.54",800,970,1870,2511,1411,1070,591,180,50,110,500,730
"0.53",816,976,1886,2536,1433,1080,620,190,60,123,511,740
"0.52",840,1006,1905,2560,1440,1085,625,195,70,135,540,756
"0.51",858,1028,1925,2578,1440,1090,630,200,80,140,540,800
"0.5",870,1030,1950,2580,1460,1090,640,200,80,140,570,830
"0.49",875,1052,1972,2632,1472,1105,640,205,95,170,572,870
"0.48",900,1100,2010,2645,1494,1125,645,225,110,205,580,889
"0.47",917,1117,2017,2657,1517,1130,657,230,117,217,587,924
"0.46",930,1149,2030,2660,1549,1140,660,230,130,220,600,930
"0.45",930,1152,2050,2674,1552,1144,674,244,142,222,610,932
"0.44",934,1164,2054,2690,1564,1160,694,260,150,230,654,949
"0.43",940,1177,2067,2690,1577,1174,714,260,150,230,674,960
"0.42",949,1180,2088,2754,1580,1180,720,269,150,239,680,988
"0.41",982,1190,2092,2763,1592,1192,720,270,152,263,692,1012
"0.4",994,1194,2104,2788,1608,1204,724,270,160,284,708,1020
"0.39",1006,1206,2110,2813,1633,1210,730,283,166,303,720,1033
"0.38",1010,1245,2163,2846,1640,1210,756,290,170,319,738,1049
"0.37",1027,1261,2181,2861,1652,1220,780,300,180,342,742,1052
"0.36",1084,1274,2194,2874,1674,1224,784,304,187,360,760,1070
"0.35",1090,1316,2200,2886,1698,1230,802,316,200,360,790,1082
"0.34",1115,1365,2217,2898,1727,1238,818,320,200,368,810,1098
"0.33",1162,1390,2241,2902,1731,1284,820,321,211,370,821,1130
"0.32",1193,1393,2253,2933,1743,1333,826,343,220,373,833,1133
"0.31",1206,1400,2266,2951,1750,1346,846,370,226,402,840,1146
"0.3",1218,1408,2294,2984,1774,1350,850,378,230,444,848,1158
"0.29",1232,1412,2320,2990,1806,1382,870,390,251,460,850,1161
"0.28",1273,1456,2331,3011,1948,1423,886,393,273,474,860,1183
"0.27",1285,1470,2365,3040,1975,1440,910,421,285,510,865,1195
"0.26",1389,1500,2370,3070,2010,1480,928,448,290,518,938,1208
"0.25",1420,1520,2390,3120,2050,1500,940,450,300,530,970,1230
"0.24",1442,1535,2422,3137,2091,1502,970,450,300,552,977,1242
"0.23",1450,1569,2484,3160,2209,1515,975,460,310,560,1010,1260
"0.22",1457,1590,2517,3167,2288,1520,987,470,320,567,1027,1277
"0.21",1479,1619,2597,3180,2320,1530,1019,480,320,599,1049,1280
"0.2",1592,1632,2620,3186,2324,1560,1020,500,332,608,1060,1300
"0.19",1609,1649,2629,3214,2344,1573,1024,504,349,644,1060,1313
