# Probabilities of exceedance values for SUP
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.99",-1913,-1866,-426,1061,2234,2092,1450,334,-1210,-1116,-1606,-2266
"0.98",-1890,-1530,-331,1484,2383,2114,1485,380,-787,-1030,-1546,-2134
"0.97",-1811,-1280,-310,1637,2466,2159,1526,574,-646,-962,-1458,-2018
"0.96",-1770,-1242,-204,1966,2499,2180,1540,832,-466,-911,-1411,-1991
"0.95",-1526,-1068,-170,2006,2616,2236,1610,860,-374,-880,-1280,-1878
"0.94",-1422,-971,-121,2114,2764,2358,1743,873,-279,-867,-1098,-1866
"0.93",-1265,-960,-90,2211,2770,2441,1851,910,-199,-836,-1056,-1778
"0.92",-1202,-942,-71,2331,2917,2498,1916,920,-134,-766,-1022,-1722
"0.91",-1138,-874,-25,2363,3022,2510,2014,998,-47,-703,-998,-1689
"0.9",-1114,-820,0,2384,3144,2554,2266,1044,184,-540,-966,-1630
"0.89",-1084,-790,0,2428,3156,2633,2399,1069,216,-504,-924,-1611
"0.88",-1010,-772,18,2547,3222,2675,2410,1106,239,-394,-911,-1600
"0.87",-989,-750,66,2646,3297,2761,2425,1130,391,-369,-839,-1484
"0.86",-969,-728,110,2719,3361,2799,2460,1218,407,-324,-742,-1345
"0.85",-944,-678,116,2770,3386,2856,2472,1262,456,-248,-704,-1294
"0.84",-923,-653,137,2812,3407,2860,2480,1304,539,-232,-675,-1265
"0.83",-888,-638,171,2894,3460,2939,2481,1324,604,-200,-667,-1259
"0.82",-860,-620,180,2959,3470,3046,2506,1386,766,-200,-624,-1240
"0.81",-860,-609,219,3006,3535,3082,2568,1420,791,-172,-588,-1220
"0.8",-796,-584,298,3042,3610,3156,2614,1468,880,-110,-562,-1204
"0.79",-780,-560,310,3081,3700,3253,2652,1551,921,-80,-525,-1139
"0.78",-774,-546,326,3121,3700,3326,2701,1587,958,-67,-404,-1104
"0.77",-750,-500,366,3150,3705,3376,2730,1640,985,-24,-390,-1085
"0.76",-740,-482,405,3173,3733,3410,2783,1665,998,18,-375,-1080
"0.75",-740,-480,530,3190,3760,3430,2800,1690,1040,30,-370,-1060
"0.74",-725,-473,582,3257,3804,3442,2814,1715,1062,82,-343,-1030
"0.73",-705,-445,624,3309,3864,3450,2865,1735,1105,90,-315,-1020
"0.72",-678,-433,682,3340,3902,3479,2870,1747,1117,104,-288,-1003
"0.71",-660,-430,690,3340,3996,3490,2880,1788,1139,110,-222,-981
"0.7",-660,-370,694,3356,4042,3516,2982,1808,1150,176,-210,-926
"0.69",-656,-357,710,3384,4094,3597,2990,1858,1185,213,-206,-884
"0.68",-643,-313,751,3431,4134,3690,3010,1921,1230,237,-200,-836
"0.67",-640,-300,788,3459,4159,3700,3029,1958,1230,323,-191,-830
"0.66",-627,-288,812,3490,4289,3712,3060,2086,1262,358,-190,-814
"0.65",-606,-276,828,3510,4402,3756,3068,2132,1274,400,-178,-764
"0.64",-594,-264,846,3553,4426,3823,3099,2150,1286,406,-147,-740
"0.63",-590,-198,850,3595,4439,3830,3128,2168,1343,436,-114,-740
"0.62",-589,-168,871,3634,4442,3888,3172,2222,1384,444,-95,-719
"0.61",-558,-146,950,3678,4471,3950,3204,2272,1497,481,-53,-696
"0.6",-514,-134,956,3722,4508,3962,3230,2342,1516,542,14,-658
"0.59",-502,-96,1002,3738,4562,3987,3255,2392,1528,578,58,-642
"0.58",-498,-86,1037,3754,4591,4004,3270,2440,1576,620,72,-618
"0.57",-470,-27,1126,3819,4632,4056,3276,2443,1643,649,100,-590
"0.56",-470,6,1185,3894,4706,4081,3290,2456,1661,732,131,-590
"0.55",-470,50,1228,3984,4718,4090,3306,2468,1686,774,156,-574
"0.54",-460,60,1252,4010,4940,4101,3321,2520,1693,793,160,-570
"0.53",-450,63,1293,4021,4953,4126,3361,2544,1763,868,178,-557
"0.52",-429,91,1300,4055,4986,4171,3390,2585,1770,890,210,-534
"0.51",-410,110,1308,4075,5040,4208,3405,2590,1778,890,220,-512
"0.5",-410,140,1320,4190,5060,4220,3420,2650,1800,890,240,-500
"0.49",-398,150,1322,4242,5092,4292,3440,2674,1882,932,252,-488
"0.48",-355,164,1335,4255,5105,4344,3480,2734,1920,1014,289,-480
"0.47",-343,230,1398,4274,5153,4446,3512,2757,1956,1080,356,-473
"0.46",-340,260,1430,4290,5208,4499,3539,2789,1989,1186,389,-460
"0.45",-338,270,1450,4300,5268,4522,3540,2800,1990,1214,436,-446
"0.44",-321,292,1454,4300,5300,4619,3566,2818,2016,1230,504,-426
"0.43",-296,320,1460,4361,5307,4650,3634,2854,2084,1250,537,-400
"0.42",-290,329,1488,4408,5347,4734,3650,2860,2100,1315,642,-381
"0.41",-277,335,1522,4454,5398,4745,3712,2906,2172,1336,692,-377
"0.4",-256,376,1530,4578,5448,4782,3732,2940,2204,1374,728,-356
"0.39",-205,400,1530,4656,5466,4800,3750,2959,2259,1412,789,-350
"0.38",-171,418,1574,4669,5549,4844,3829,3005,2270,1430,826,-332
"0.37",-146,424,1581,4684,5564,4872,3872,3042,2331,1438,861,-315
"0.36",-116,475,1594,4717,5597,4901,3890,3074,2340,1511,881,-273
"0.35",-110,532,1648,4730,5616,4962,3908,3100,2352,1572,900,-260
"0.34",-85,548,1714,4772,5620,5015,3937,3108,2402,1600,959,-243
"0.33",-29,552,1742,4785,5642,5072,3952,3152,2422,1624,1072,-230
"0.32",-14,570,1773,4843,5670,5090,3986,3180,2453,1680,1093,-220
"0.31",0,576,1786,4867,5746,5101,4048,3211,2460,1739,1100,-161
"0.3",0,620,1798,4888,5838,5206,4094,3228,2500,1786,1116,-122
"0.29",31,640,1812,4954,5913,5244,4173,3251,2533,1862,1160,-110
"0.28",68,650,1864,5066,6000,5348,4253,3270,2616,1906,1173,-104
"0.27",90,655,1910,5153,6060,5391,4270,3270,2666,1941,1196,-69
"0.26",105,668,1920,5220,6093,5425,4288,3270,2708,2028,1256,-35
"0.25",120,670,1960,5320,6100,5490,4300,3350,2730,2080,1390,-30
"0.24",142,695,2001,5400,6172,5580,4314,3401,2915,2102,1397,-8
"0.23",164,729,2140,5430,6282,5585,4379,3514,2973,2177,1439,59
"0.22",187,757,2164,5437,6389,5604,4414,3537,3042,2279,1482,169
"0.21",200,789,2180,5469,6448,5620,4439,3550,3127,2367,1509,258
"0.2",260,804,2208,5532,6472,5642,4520,3626,3222,2430,1540,276
"0.19",269,869,2258,5624,6550,5703,4613,3659,3239,2474,1558,340
"0.18",287,921,2300,5637,6708,5768,4644,3677,3291,2487,1614,354
"0.17",308,949,2310,5649,6749,5845,4687,3689,3347,2499,1648,369
"0.16",343,995,2312,5658,6775,5858,4718,3720,3368,2506,1666,424
"0.15",372,1044,2344,5740,6804,5908,4776,3748,3414,2616,1704,512
"0.14",403,1106,2482,5819,6829,5939,4819,3809,3503,2749,1710,530
"0.13",428,1129,2610,5865,7042,6003,4856,3943,3779,2795,1736,539
"0.12",441,1142,2672,6033,7113,6020,4915,3987,3812,2830,1908,554
"0.11",457,1167,2771,6155,7323,6124,5008,4080,3895,2943,1977,591
"0.1",476,1204,2808,6224,7430,6310,5116,4204,4022,3032,2020,622
"0.09",522,1220,2870,6316,7458,6377,5187,4257,4072,3057,2116,706
"0.08",532,1259,2936,6441,7486,6482,5216,4289,4105,3073,2242,722
"0.07",588,1370,3052,6576,7592,6558,5312,4403,4176,3158,2273,776
"0.06",698,1440,3185,6629,7666,6725,5408,4469,4238,3305,2319,858
"0.05",744,1520,3252,6668,7710,6912,5590,4540,4572,3444,2446,960
"0.04",780,1718,3483,6872,7880,6964,5680,4885,4676,4031,3042,1081
"0.03",842,2223,3708,7498,8155,7099,5938,5323,4878,4108,3100,1170
"0.02",1224,2446,4111,7750,8348,7216,5965,5593,5239,4526,3405,1438
"0.01",1529,2503,4176,7788,8663,8142,6396,5678,6418,4990,4012,1657
