# Average areal snow water equivalent (SWE) in mm for the Great Lakes
# Calculated from SNODAS data provided by NSIDC
# For SNODAS documentation see http://nsidc.org/data/g02158.html
# File last modified 2025-05-23 11:13:09 by DA9
#
"year","month","day","SUP","MIC","HUR","STC","ERI","ONT"
"2009","12","9","22.3731","14.1388","8.58775","4.53533","8.24258","4.39615"
"2009","12","10","36.3622","36.5674","26.1338","9.09126","3.00901","21.6621"
"2009","12","11","37.1931","32.7766","27.7088","5.6224","2.36405","15.4454"
"2009","12","12","39.4995","33.6565","29.1669","5.99744","3.02232","19.4665"
"2009","12","13","39.6111","33.6486","28.7304","5.31649","3.02908","20.3163"
"2009","12","14","40.8189","34.6349","31.2162","10.7235","3.86274","25.5595"
"2009","12","15","40.1653","30.938","25.2966","3.9191","1.52274","18.3362"
"2009","12","16","42.9607","32.4284","27.9539","5.06868","1.36609","18.0305"
"2009","12","17","44.3463","32.687","27.9009","4.56582","1.70276","19.4833"
"2009","12","18","44.7631","32.8427","27.7696","4.51344","1.73718","20.3962"
"2009","12","19","44.7145","32.8375","27.6014","4.70853","1.74517","20.234"
"2009","12","20","46.2155","35.7306","28.5185","6.78978","7.50296","19.6987"
"2009","12","21","48.4591","36.3369","28.4587","6.58119","8.28731","19.4708"
"2009","12","22","42.3283","30.0424","26.2527","4.53626","6.96528","20.6158"
"2009","12","23","42.379","30.3334","26.2989","4.54767","7.54208","20.7894"
"2009","12","24","42.5062","30.6318","26.1918","4.39262","7.22701","21.7898"
"2009","12","25","56.6779","37.5322","26.7116","4.23082","6.77196","21.687"
"2009","12","26","73.2985","41.1228","31.3615","9.15865","2.11314","23.5401"
"2009","12","27","76.8761","43.7323","31.0863","7.98103","1.78254","23.9867"
"2009","12","28","79.1903","46.2981","32.6342","9.50821","6.00647","22.0649"
"2009","12","29","76.86","42.2588","31.355","9.89373","10.226","33.1875"
"2009","12","30","77.4655","42.188","31.1187","9.38273","10.0077","34.9338"
"2009","12","31","79.7951","43.6959","32.0511","10.939","9.99284","34.8062"
"2010","1","1","81.7627","45.7225","34.9645","13.3789","12.8413","38.3173"
"2010","1","2","85.0472","47.6739","35.8432","13.7318","13.8449","43.106"
"2010","1","3","88.0588","48.6683","35.902","13.2632","14.2312","47.0299"
"2010","1","4","90.271","49.7151","36.837","13.5401","15.2458","53.4904"
"2010","1","5","91.4763","51.7063","38.4926","15.1498","18.0993","55.3952"
"2010","1","6","83.4322","45.0546","29.6445","8.16727","20.074","59.0567"
"2010","1","7","84.5105","45.8099","29.7829","8.1377","21.5201","57.937"
"2010","1","8","87.8996","52.8814","35.0132","16.8042","28.7092","58.9442"
"2010","1","9","89.8027","54.2236","37.0598","22.5538","32.1896","63.2198"
"2010","1","10","89.8711","54.0862","37.1565","23.0365","32.2966","63.9151"
"2010","1","11","91.4836","54.5484","36.5178","22.3683","32.1071","63.6527"
"2010","1","12","92.8447","56.3958","41.5379","27.7012","33.4953","65.2118"
"2010","1","13","92.61","51.6645","35.7264","22.2909","26.8","52.3348"
"2010","1","14","92.4394","51.2465","35.2369","21.6413","26.256","52.5101"
"2010","1","15","92.3272","50.786","34.1899","20.8454","25.2949","51.6331"
"2010","1","16","92.1095","50.546","33.8827","20.6116","24.5842","50.3592"
"2010","1","17","91.486","50.3072","33.5594","20.2549","24.4188","49.888"
"2010","1","18","91.1681","50.1411","33.4498","20.282","25.1217","51.4781"
"2010","1","19","91.6002","50.0985","33.4054","20.3158","24.57","50.4779"
"2010","1","20","92.2251","50.1375","34.4239","20.365","24.8331","53.1142"
"2010","1","21","92.1225","43.4086","26.8275","13.5253","10.6369","37.2443"
"2010","1","22","91.8915","42.9519","26.4849","13.0861","11.3718","37.0317"
"2010","1","23","91.6514","42.6501","26.1371","12.9286","11.4978","36.691"
"2010","1","24","95.7498","41.8121","25.8767","12.5197","7.61418","36.1786"
"2010","1","25","111.764","38.7215","20.1424","1.36515","2.67073","35.3297"
"2010","1","26","117.256","38.4267","18.1081","0.444186","1.68228","16.0805"
"2010","1","27","118.863","40.107","18.9872","1.5756","2.54894","16.2461"
"2010","1","28","120.531","40.6482","19.8873","1.35339","3.65722","16.9356"
"2010","1","29","122.911","41.4084","20.3899","1.57805","5.10929","20.5915"
"2010","1","30","123.488","41.5992","20.4575","1.29228","5.14047","21.2606"
"2010","1","31","123.525","41.3922","20.4089","1.13316","4.8888","21.471"
"2010","2","1","125.053","41.3826","20.4776","0.839018","4.58021","22.2522"
"2010","2","2","125.36","41.2818","20.2513","0.680363","4.37445","22.3356"
"2010","2","3","127.872","45.3935","22.6905","3.71668","5.71075","23.4011"
"2010","2","4","111.105","41.7294","22.5363","3.90676","6.38767","27.8077"
"2010","2","5","110.959","41.4743","22.2895","3.53998","6.1325","27.4535"
"2010","2","6","108.067","41.7301","21.935","2.97893","19.5467","27.2261"
"2010","2","7","108.083","41.2449","21.6833","2.43976","24.3556","27.0257"
"2010","2","8","109.5","41.1723","21.4724","2.30788","24.2003","27.1939"
"2010","2","9","113.317","41.9839","21.1788","1.82132","16.8752","27.7358"
"2010","2","10","116.349","52.2488","28.7201","15.3859","28.6968","28.8566"
"2010","2","11","117.736","55.389","34.0744","22.1277","32.9464","33.419"
"2010","2","12","117.769","55.5536","34.0343","22.201","32.1203","33.0001"
"2010","2","13","117.616","55.4065","33.7474","21.9219","32.0805","32.7939"
"2010","2","14","118.144","56.0977","33.9965","22.3792","32.3837","33.8883"
"2010","2","15","121.086","57.1639","34.3728","23.4101","32.597","37.189"
"2010","2","16","122.482","59.5858","36.0463","23.0965","34.105","37.9188"
"2010","2","17","123.293","61.9298","40.8954","27.8376","37.5143","39.7157"
"2010","2","18","123.23","62.1361","41.2953","27.961","38.531","44.2184"
"2010","2","19","122.782","61.5065","40.8019","27.3248","37.8207","40.8433"
"2010","2","20","122.483","60.9679","40.1491","26.4948","37.3171","42.7154"
"2010","2","21","122.23","61.0601","39.7724","26.0184","37.0349","43.0593"
"2010","2","22","122.001","61.7331","39.2887","25.4951","39.0338","42.7449"
"2010","2","23","122.613","68.0796","47.584","47.381","47.498","51.3256"
"2010","2","24","126.436","69.5275","47.6931","48.3766","46.3016","56.7799"
"2010","2","25","127.692","73.2761","48.2947","49.6799","48.208","61.2432"
"2010","2","26","128.155","73.4601","49.6026","52.1362","50.3585","90.0808"
"2010","2","27","127.871","75.0774","52.0237","54.4719","60.2269","100.449"
"2010","2","28","127.735","75.0047","52.5381","56.9328","62.8359","107.512"
"2010","3","1","127.999","75.8867","52.1433","56.3018","63.0034","109.332"
"2010","3","2","127.846","60.5465","34.523","35.5786","46.144","109.306"
"2010","3","3","127.658","60.1688","34.2047","35.3608","46.0029","109.153"
"2010","3","4","127.379","59.5041","33.5206","34.641","34.7202","74.5975"
"2010","3","5","127.108","58.992","33.037","33.9151","33.8762","73.7175"
"2010","3","6","125.831","58.5028","32.7055","33.4874","33.4735","72.8872"
"2010","3","7","123.338","57.1353","30.0759","32.5548","32.7727","71.8812"
"2010","3","8","120.218","54.3713","23.9484","25.3178","30.2455","68.5799"
"2010","3","9","115.631","48.0873","16.1647","17.6847","25.6898","61.0616"
"2010","3","10","108.586","37.8597","12.055","10.514","17.7856","55.3251"
"2010","3","11","101.526","26.1358","8.55616","2.26819","7.45591","46.512"
"2010","3","12","89.8978","17.3497","4.98006","0.0542428","2.12854","32.109"
"2010","3","13","78.8289","12.4396","3.46541","0.00256082","0.293025","20.7357"
"2010","3","14","67.8057","9.17716","1.60818","0","0.216378","15.6611"
"2010","3","15","54.1078","7.07043","0.68389","0","0.119779","12.6742"
"2010","3","16","45.3441","6.22586","0.342143","0","0.0833236","10.0494"
"2010","3","17","39.1764","5.59481","0.228146","0","0.0583473","7.94758"
"2010","3","18","25.1349","4.60307","0.0949822","0","0.0368331","7.11384"
"2010","3","19","16.9853","3.70501","0.0201413","0","0.014538","4.64474"
"2010","3","20","15.5099","3.43012","0.00879944","0","0.00286335","2.88664"
"2010","3","21","15.3987","3.97823","0.258716","0.0135025","0.000611716","2.12373"
"2010","3","22","14.4225","3.5219","0.0676704","0","2.6e-05","1.7491"
"2010","3","23","13.2225","3.1475","0.0035624","0","0","1.51473"
"2010","3","24","11.8399","3.02008","0.0018421","0","0.0260565","1.04768"
"2010","3","25","10.5584","2.82835","0.000700301","0","0","0.800006"
"2010","3","26","10.6903","2.88834","0.000700301","0","1.66238","0.970324"
"2010","3","27","10.5438","2.86358","0.00065463","0","1.21145","0.80969"
