month,superior_lake_precipitation,michigan-huron_lake_precipitation,erie_lake_precipitation,ontario_lake_precipitation,superior_land_precipitation,michigan-huron_land_precipitation,erie_land_precipitation,ontario_land_precipitation,superior_lake_evaporation,michigan-huron_lake_evaporation,erie_lake_evaporation,ontario_lake_evaporation,superior_land_evaporation,michigan-huron_land_evaporation,erie_land_evaporation,ontario_land_evaporation,superior_lake_air_temperature,michigan-huron_lake_air_temperature,erie_lake_air_temperature,ontario_lake_air_temperature,superior_land_air_temperature,michigan-huron_land_air_temperature,erie_land_air_temperature,ontario_land_air_temperature
1,72.12131950211561,82.56383904491749,92.47515948424797,103.71393992446829,63.37836615829629,79.39738762260536,90.13363429785066,103.71393992446829,86.75681386142477,72.379050141856,46.12718761765762,75.87564976512179,25.09344699406868,26.42057838873034,25.70541054070774,75.87564976512179,265.5976738925203,268.6883997954635,270.27846071892355,269.77175674474495,259.84451441004137,265.2543454526357,268.72641118587956,269.77175674474495
2,56.154483941971925,68.57464800030982,82.48526523828757,84.52110532323942,53.88682221660262,67.42007540489297,81.27438494975821,84.52110532323942,60.11476230958304,48.952179267559735,27.93000662157198,52.12049503760246,26.662141896768766,27.4250734719403,26.614226303779624,52.12049503760246,266.3273822678574,268.9878052999323,270.3645092356316,269.8072900112465,261.61459619917457,266.2269989591935,269.6552667342014,269.8072900112465
3,73.64502718839408,85.54777285596785,99.88347677457892,95.87078915136361,76.72757961339492,87.78927429012138,102.91561581774934,95.87078915136361,39.074209926096245,29.60536485578295,12.227728141083244,30.953001763429054,40.744650031992016,42.209349991211866,45.92298510447525,30.953001763429054,269.6732152025256,272.12198774247673,273.5520273765965,273.2841374192176,267.0724484612512,271.0672597358347,274.2902648274927,273.2841374192176
4,80.1900305534653,98.77877694772049,109.10722905488146,106.95121979365811,85.22458699294923,101.6323515935571,114.5442870991969,106.95121979365811,14.379649611930288,10.739466483635265,5.0530298467571475,10.230252046109594,53.58014816900723,63.98034037027909,77.6751083864916,10.230252046109594,274.65461371448606,276.8366136639461,278.8204027404381,278.26357902705126,274.97031801813625,278.06913719897153,280.5907386812558,278.26357902705126
5,92.69647815147376,94.06498358490575,99.6023084564384,98.80607652978301,94.57138465151363,100.88790246267119,114.53548464270025,98.80607652978301,0.48526926116914654,3.502276717077652,11.431074421953271,3.1433091120612078,71.61966967224204,98.34559432112763,111.9064252555937,3.1433091120612078,278.93511254874016,281.2343626214112,284.90660906631507,283.21050260576214,282.7625494572405,284.8196747158205,286.97960066207895,283.21050260576214
6,85.09270744176962,86.68660956695452,94.44154801023464,95.27881871415832,87.97860131652443,92.68571538506005,104.83480599156043,95.27881871415832,-6.799560487033759,7.649109524706785,28.818340657175124,16.85643989357412,86.8722428662127,119.4410200925873,129.71745548931116,16.85643989357412,282.0582820419155,286.52826249288495,291.0134864355059,289.4131720880893,288.11457984079874,290.17000559118065,292.270359454099,289.4131720880893
7,71.05486561680603,64.15681639176513,86.87875034415543,83.35602443466361,77.2682785060468,70.92004517480622,91.73562439393791,83.35602443466361,-2.112538925885382,32.8444355051315,57.01769715377604,45.8679626557617,94.80808880052734,111.76333302767853,123.67657321066204,45.8679626557617,285.81949169515525,291.7650266498699,294.8592985889293,294.04068166519795,291.2443222558666,293.3614926596327,295.0334152606359,294.04068166519795
8,53.03585276651582,64.96333818515504,71.33512641773294,76.19122362510412,60.215854951241795,66.11620799486579,68.45426094051963,76.19122362510412,20.839826730246095,60.131956349064055,78.96309187109998,77.03383324328742,76.71238916656313,80.38276823324472,88.67824278522139,77.03383324328742,288.7596694966569,292.62715528022807,294.79126890593875,294.3464220224584,290.41329680511615,292.4733172686454,294.0520114129001,294.3464220224584
9,75.04796127031945,79.23668913474654,84.41183147736831,94.0818297704064,79.74406519577596,76.19589095453189,75.85921811338085,94.0818297704064,40.32638954410846,77.56201157742547,93.33457635609993,88.40924258865809,54.65022075381243,55.48542558661313,59.72496014660759,88.40924258865809,285.8435849217681,289.14517042986245,291.2174024962288,290.52877454745766,285.0966122783223,287.8397859776419,289.72290101939893,290.52877454745766
10,96.78271041923024,87.02288062248849,88.7539606598052,98.64135910524713,98.10011516762582,87.29724655217487,80.93715911095266,98.64135910524713,49.422198077819914,76.3568547138163,100.43842913152343,86.24065978374104,41.19246538034027,41.50915087378444,43.3283429534098,86.24065978374104,279.9963330724008,282.96996099683656,285.11367449004547,284.22927168000336,278.12912108366794,281.257786485767,283.37036975875503,284.22927168000336
11,82.35305518985477,93.74150748773853,100.78006871071227,109.67477124650075,82.1241769796652,94.72849340390226,97.69664108892698,109.67477124650075,64.37019466176302,69.96235127693464,77.99185131630051,71.66662215910712,31.70759105450416,30.340494621742838,32.424721995579965,71.66662215910712,274.3299068476781,277.15182652652754,279.29502948835875,278.54053690621276,271.1565023243732,274.99270718274295,277.4686991510496,278.54053690621276
12,74.02504342076259,88.1346268468309,105.15483522004541,110.29681401791208,67.7044485683687,83.73676036932959,97.7825682284848,110.29681401791208,86.25274570315413,77.49993801195143,66.01007287337227,79.85961270428056,27.412991171134177,27.269193126013477,26.39523447526531,79.85961270428056,268.64300344537014,271.59403339511914,273.52983180893,272.9682609004719,263.64830008166865,268.56294224209415,271.50543020004574,272.9682609004719
