model	year_month	superior_evaporation	superior_precipitation	superior_runoff	erie_evaporation	erie_precipitation	erie_runoff	ontario_evaporation	ontario_precipitation	ontario_runoff	michigan-huron_evaporation	michigan-huron_precipitation	michigan-huron_runoff	superior_cnbs	erie_cnbs	ontario_cnbs	michigan-huron_cnbs	superior_evaporation_obs	superior_precipitation_obs	superior_runoff_obs	erie_evaporation_obs	erie_precipitation_obs	erie_runoff_obs	ontario_evaporation_obs	ontario_precipitation_obs	ontario_runoff_obs	michigan-huron_evaporation_obs	michigan-huron_precipitation_obs	michigan-huron_runoff_obs	superior_cnbs_obs	michigan-huron_cnbs_obs	erie_cnbs_obs	ontario_cnbs_obs
GP	2012-01	42.21303477719521	33.603582335608486	27.953909058329522	9.273941524710644	35.64631861876062	78.55503784548839	43.00245684162114	33.4927701089409	135.85234495112175	33.36433974045289	32.473721467859725	51.62379641934558	21.50427007998254	105.75116103105033	124.98606325703987	47.6797801085465	122.22	55.21	28.0	46.940187	84.22	137.58	90.93479	91.6	181.6	81.91747	58.01	59.2	-670.0	1780.0	1940.0	1430.0
GP	2012-02	37.57438983252485	23.50064906968886	29.65869145236678	6.222166813956818	36.01981220787257	77.72357025210617	37.610025059048425	32.1876105347859	128.9880097323562	29.5253341251007	26.618690184493673	50.15776950345217	13.819512451374463	108.84209977775654	120.62628700496522	47.241451118261494	57.98	28.39	22.8	29.852452	33.82	85.34	61.62168	39.6	155.0	46.982035	24.84	49.6	-480.0	1250.0	1020.0	1250.0
GP	2012-03	39.481405239873965	38.098476851270675	42.28195315369559	24.617435491589667	50.903142706548316	91.58379486227001	41.184991101154665	40.98459774028734	160.76203980093538	34.21979144774893	45.10695275286848	70.0716756869319	39.5255839754056	115.31735860064671	159.09616270428205	80.29984224749248	21.551	59.42	57.9	23.876201	71.18	118.54	43.25911	47.6	166.3	22.230859	67.08	87.4	3260.0	7140.0	1470.0	1490.0
GP	2012-04	37.600393311185194	39.95411210805266	55.93724101565573	47.101910939390365	56.29258940601905	85.77407131252788	42.896835758394815	42.83923090877799	161.54644950288537	36.166721291123544	44.24407242637891	78.28828909965188	58.06787506745094	94.79103268088224	162.28360882896004	87.67597888365293	22.885	45.24	62.1	36.17657	28.98	51.55	52.08509	46.4	128.2	38.110865	37.56	72.7	2360.0	2930.0	320.0	940.0
GP	2012-05	28.18416120464142	55.472621486568755	58.51114150042257	74.4406802344594	65.87892930912807	63.76842158371359	47.3382567334135	48.86669563990971	122.69801857815295	31.5513795731706	59.77579824908239	70.53352747767323	87.05384385492106	56.35701514195882	121.95979003754105	99.90595928355141	2.6113	84.59	74.1	28.639145	57.08	50.18	18.44232	52.9	137.4	15.983586	44.13	68.0	5300.0	4270.0	660.0	1260.0
GP	2012-06	19.822968348457465	66.34755343724677	47.10496836846788	87.48148306892027	70.5344113893182	38.98577980344372	50.96300662527645	51.10819812386984	77.7177640521489	28.284964414805135	69.80040467168446	52.43127452375796	93.82584460304895	23.12216286312033	76.55715702691947	94.1007017247459	-4.1878	104.12	81.8	66.503248	64.69	28.29	51.72469	71.3	76.2	14.759991	64.02	48.4	6010.0	4220.0	-30.0	640.0
GP	2012-07	17.089847088428456	66.84980478917984	40.660749414990704	90.88894978328841	72.40129233357946	28.955374142180005	52.326931122826444	50.93960745561151	60.388581829985014	27.626157421761178	71.72827249756956	44.366791455774	90.28504047370524	10.590109711458098	58.79693832297691	88.53905244510734	5.0828	65.62	45.6	107.306515	74.56	21.9	75.16045	52.0	39.7	42.60346	58.27	36.1	2480.0	1140.0	-400.0	-80.0
GP	2012-08	20.15997306630607	69.66591775899721	42.01360945878035	90.96184895973347	70.0035048670664	26.102140479511675	52.87739567420144	51.2599870090548	62.45479954134926	28.483690193772613	69.99615560594818	43.54094168874803	90.91009856505752	4.886640252484398	60.90317874119377	84.5471539115347	58.178	51.28	33.4	145.654077	79.82	27.32	92.41459	61.4	38.4	88.476523	58.03	34.9	380.0	-1580.0	-380.0	-330.0
GP	2012-09	35.941392820034665	70.74052510318239	49.56112518683183	93.46961718345307	66.84024158450443	36.024331446462604	52.50293526977918	53.973656615423465	88.38724648669445	38.606396590949736	67.29200746962326	53.55250787758204	82.95479549835608	7.1861639351346795	86.76617771337914	81.35836394100265	115.55	53.42	28.1	191.236597	107.69	39.53	99.11827	111.5	62.4	121.142773	56.37	34.0	-1780.0	-3810.0	-480.0	120.0
GP	2012-10	53.35601878207904	51.51507402225933	50.84014166715721	84.73379019375732	57.80125685604017	55.86194364718675	54.50898059050627	52.364724855622164	128.89158535269416	50.88674237516354	52.06799881486638	63.803085723903905	47.928828276470156	27.441800400541897	124.95152968421293	63.792504786730895	84.719	95.07	36.3	187.28589	146.85	61.43	74.35749	99.0	83.1	116.043591	104.54	56.6	1430.0	160.0	150.0	460.0
GP	2012-11	58.51643800734024	32.71582001137713	41.26384736752476	53.764226875410486	47.11088001378737	72.09141531820859	53.2132705439835	43.76045901715705	143.22533265287774	52.35782754056077	36.802454363946474	61.70031711092176	12.897410829859595	64.56117940608303	132.63762618581922	44.17927115417931	122.45	51.06	40.9	127.33506	31.13	73.63	97.06518	34.8	101.2	101.026664	33.71	58.3	-990.0	-630.0	-140.0	-60.0
GP	2012-12	52.53493585021148	24.10836096232885	29.86523390438362	24.70325392848345	37.18550771084958	70.73430386042851	49.49678411757232	37.442081644744405	128.88213660618914	44.449742326960134	27.035465858287125	50.35871501703765	-1.0924740727086082	84.17071151147877	116.5210880249184	30.874822316201566	102.13	43.22	38.0	85.319342	88.24	71.09	90.86923	108.1	142.0	92.235678	68.08	56.8	260.0	2100.0	570.0	1230.0
GP	2013-01	44.44982523029383	21.451529473852545	25.07671374897365	6.908871537758955	30.480008450143586	61.97140562061783	45.18317464805403	30.895034104019672	109.43903885191864	35.57651816464329	23.30896986896164	43.95089475299568	1.6429805252167533	86.7017597849696	96.09121585258973	30.484932409895052	114.07	60.86	31.6	51.008416	68.62	100.88	100.92317	62.3	162.0	96.121194	87.84	55.2	-360.0	2320.0	760.0	1290.0
